ts,step,dt_ms,tok_per_s,loss,peak_gib
1787724262.986,1,227.1,4508,13.6184,3.98
1787724263.023,2,36.8,27842,13.4380,4.01
1787724263.060,3,36.3,28181,13.3031,4.01
1787724263.096,4,36.3,28210,13.1860,4.01
1787724263.133,5,36.4,28165,13.0996,4.01
1787724263.169,6,36.4,28148,13.0115,4.01
1787724263.206,7,36.5,28081,12.8890,4.01
1787724263.242,8,36.3,28174,12.8406,4.01
1787724263.279,9,36.3,28195,12.7803,4.01
1787724263.315,10,36.3,28208,12.7029,4.01
1787724263.352,11,36.3,28201,12.6813,4.01
1787724263.391,12,39.4,25969,12.5723,4.01
1787724263.428,13,36.4,28097,12.4613,4.01
1787724263.464,14,36.4,28158,12.4612,4.01
1787724263.501,15,36.5,28049,12.4394,4.01
1787724263.537,16,36.3,28171,12.4218,4.01
1787724263.574,17,36.3,28203,12.3696,4.01
1787724263.610,18,36.3,28204,12.3204,4.01
1787724263.647,19,36.4,28155,12.2735,4.01
1787724263.683,20,36.5,28090,12.2571,4.01
1787724263.720,21,36.4,28159,12.2761,4.01
1787724263.756,22,36.4,28153,12.2538,4.01
1787724263.793,23,36.3,28191,12.2585,4.01
1787724263.829,24,36.3,28202,12.1757,4.01
1787724263.866,25,36.3,28188,12.1755,4.01
1787724263.903,26,37.5,27341,12.1463,4.01
1787724263.940,27,36.6,28013,12.1670,4.01
1787724263.978,28,37.4,27349,12.1461,4.01
1787724264.016,29,37.9,27031,12.1373,4.01
1787724264.054,30,37.8,27097,12.1107,4.01
1787724264.092,31,37.8,27118,12.0903,4.01
1787724264.130,32,37.7,27179,12.0990,4.01
1787724264.168,33,37.4,27396,12.1154,4.01
1787724264.204,34,36.5,28074,12.1049,4.01
1787724264.241,35,36.3,28184,12.0921,4.01
1787724264.277,36,36.3,28176,12.1069,4.01
1787724264.314,37,36.3,28191,12.0866,4.01
1787724264.350,38,36.2,28255,12.0754,4.01
1787724264.387,39,36.4,28166,12.0611,4.01
1787724264.423,40,36.4,28159,12.0603,4.01
1787724264.460,41,36.3,28193,12.1059,4.01
1787724264.496,42,36.3,28238,12.0554,4.01
1787724264.532,43,36.3,28202,12.0444,4.01
1787724264.569,44,36.4,28167,12.0696,4.01
1787724264.605,45,36.3,28224,12.0544,4.01
1787724264.642,46,36.3,28174,12.0593,4.01
1787724264.678,47,36.4,28113,12.0676,4.01
1787724264.715,48,36.3,28205,12.0510,4.01
1787724264.751,49,36.5,28074,12.0585,4.01
1787724264.788,50,36.4,28148,12.0407,4.01
1787724264.824,51,36.4,28144,12.0432,4.01
1787724264.861,52,36.3,28171,12.0372,4.01
1787724264.897,53,36.4,28151,12.0219,4.01
1787724264.934,54,36.3,28203,12.0110,4.01
1787724264.970,55,36.4,28133,12.0187,4.01
1787724265.007,56,36.3,28206,12.0157,4.01
1787724265.043,57,36.3,28209,12.0223,4.01
1787724265.080,58,36.3,28174,12.0161,4.01
1787724265.116,59,36.3,28224,12.0115,4.01
1787724265.153,60,36.4,28146,12.0109,4.01
1787724265.189,61,36.4,28165,12.0252,4.01
1787724265.229,62,39.6,25871,12.0193,4.01
1787724265.268,63,39.2,26120,12.0313,4.01
1787724265.308,64,39.5,25938,11.9875,4.01
1787724265.349,65,40.5,25299,11.9962,4.01
1787724265.391,66,41.4,24730,11.9949,4.01
1787724265.431,67,40.0,25568,11.9849,4.01
1787724265.474,68,42.4,24154,12.0054,4.01
1787724265.516,69,42.4,24162,11.9884,4.01
1787724265.561,70,43.7,23407,11.9937,4.01
1787724265.606,71,44.9,22823,11.9980,4.01
1787724265.650,72,43.5,23513,12.0284,4.01
1787724265.691,73,40.5,25265,11.9981,4.01
1787724265.731,74,40.5,25309,11.9935,4.01
1787724265.771,75,39.7,25808,12.0012,4.01
1787724265.812,76,40.0,25625,11.9963,4.01
1787724265.852,77,39.9,25670,11.9938,4.01
1787724265.892,78,40.0,25588,11.9931,4.01
1787724265.932,79,40.1,25513,11.9990,4.01
1787724265.973,80,40.0,25605,11.9886,4.01
1787724266.013,81,40.0,25610,12.0030,4.01
1787724266.053,82,39.8,25740,11.9923,4.01
1787724266.095,83,41.9,24465,11.9937,4.01
1787724266.136,84,40.4,25354,12.0009,4.01
1787724266.176,85,40.1,25546,11.9853,4.01
1787724266.217,86,40.0,25574,11.9871,4.01
1787724266.257,87,39.9,25677,11.9907,4.01
1787724266.297,88,40.0,25600,11.9814,4.01
1787724266.337,89,39.5,25911,11.9762,4.01
1787724266.378,90,41.4,24734,11.9852,4.01
1787724266.420,91,41.1,24901,11.9822,4.01
1787724266.461,92,40.7,25183,11.9811,4.01
1787724266.502,93,40.8,25093,11.9781,4.01
1787724266.542,94,40.3,25403,11.9819,4.01
1787724266.583,95,40.2,25490,11.9509,4.01
1787724266.623,96,40.5,25311,11.9930,4.01
1787724266.668,97,44.1,23213,11.9859,4.01
1787724266.724,98,54.1,18923,11.9918,4.01
1787724266.766,99,41.4,24724,11.9735,4.01
1787724266.810,100,43.9,23325,11.9852,4.01
1787724266.851,101,40.2,25462,11.9789,4.01
1787724266.891,102,40.1,25563,11.9776,4.01
1787724266.931,103,40.0,25587,11.9577,4.01
1787724266.971,104,39.8,25732,11.9781,4.01
1787724267.012,105,40.0,25585,11.9665,4.01
1787724267.052,106,39.8,25705,11.9552,4.01
1787724267.092,107,40.0,25608,11.9846,4.01
1787724267.132,108,40.0,25608,11.9814,4.01
1787724267.173,109,40.0,25579,11.9839,4.01
1787724267.212,110,39.7,25793,11.9990,4.01
1787724267.253,111,40.1,25532,11.9863,4.01
1787724267.293,112,40.2,25494,11.9803,4.01
1787724267.333,113,40.1,25557,11.9855,4.01
1787724267.373,114,39.7,25821,11.9745,4.01
1787724267.414,115,40.0,25619,11.9803,4.01
1787724267.454,116,40.0,25607,11.9731,4.01
1787724267.494,117,40.0,25583,11.9593,4.01
1787724267.534,118,40.2,25491,11.9496,4.01
1787724267.574,119,39.7,25770,11.9721,4.01
1787724267.615,120,39.9,25674,11.9760,4.01
1787724267.655,121,40.0,25611,11.9600,4.01
1787724267.695,122,40.3,25389,11.9720,4.01
1787724267.736,123,40.0,25568,11.9645,4.01
1787724267.776,124,39.9,25644,11.9705,4.01
1787724267.816,125,39.8,25699,11.9566,4.01
1787724267.856,126,39.7,25763,11.9816,4.01
1787724267.896,127,40.2,25488,11.9687,4.01
1787724267.937,128,39.9,25634,11.9608,4.01
1787724267.977,129,39.9,25693,11.9748,4.01
1787724268.017,130,40.0,25571,11.9655,4.01
1787724268.057,131,40.1,25546,11.9722,4.01
1787724268.098,132,40.4,25360,11.9754,4.01
1787724268.138,133,40.2,25458,11.9534,4.01
1787724268.179,134,40.2,25487,11.9577,4.01
1787724268.219,135,40.3,25405,11.9607,4.01
1787724268.262,136,42.9,23866,11.9723,4.01
1787724268.307,137,44.2,23153,11.9767,4.01
1787724268.352,138,44.6,22966,11.9661,4.01
1787724268.395,139,42.6,24011,11.9672,4.01
1787724268.439,140,44.2,23182,11.9581,4.01
1787724268.482,141,42.3,24190,11.9557,4.01
1787724268.525,142,42.5,24074,11.9728,4.01
1787724268.567,143,41.0,24979,11.9592,4.01
1787724268.608,144,41.3,24800,11.9644,4.01
1787724268.651,145,41.7,24546,11.9607,4.01
1787724268.692,146,41.0,24948,11.9634,4.01
1787724268.732,147,39.7,25802,11.9629,4.01
1787724268.772,148,39.8,25718,11.9648,4.01
1787724268.812,149,39.9,25691,11.9560,4.01
1787724268.852,150,39.9,25650,11.9602,4.01
1787724268.893,151,40.1,25510,11.9586,4.01
1787724268.933,152,40.0,25597,11.9724,4.01
1787724268.973,153,39.9,25662,11.9610,4.01
1787724269.013,154,39.9,25636,11.9695,4.01
1787724269.053,155,39.9,25666,11.9594,4.01
1787724269.093,156,40.0,25624,11.9613,4.01
1787724269.134,157,40.1,25524,11.9519,4.01
1787724269.174,158,39.9,25632,11.9623,4.01
1787724269.214,159,40.0,25584,11.9538,4.01
1787724269.255,160,40.0,25615,11.9610,4.01
1787724269.295,161,39.9,25662,11.9619,4.01
1787724269.335,162,40.0,25613,11.9581,4.01
1787724269.375,163,40.0,25623,11.9617,4.01
1787724269.417,164,41.6,24623,11.9653,4.01
1787724269.457,165,40.0,25582,11.9544,4.01
1787724269.498,166,40.3,25405,11.9515,4.01
1787724269.538,167,40.1,25509,11.9493,4.01
1787724269.579,168,40.2,25483,11.9752,4.01
1787724269.619,169,40.0,25579,11.9524,4.01
1787724269.660,170,40.9,25034,11.9632,4.01
1787724269.701,171,40.7,25146,11.9561,4.01
1787724269.742,172,40.1,25541,11.9491,4.01
1787724269.783,173,41.0,25003,11.9508,4.01
1787724269.824,174,41.2,24855,11.9649,4.01
1787724269.866,175,41.2,24862,11.9658,4.01
1787724269.910,176,43.1,23752,11.9645,4.01
1787724269.955,177,44.7,22897,11.9487,4.01
1787724269.998,178,42.5,24076,11.9722,4.01
1787724270.039,179,40.7,25158,11.9601,4.01
1787724270.079,180,40.3,25428,11.9649,4.01
1787724270.120,181,40.1,25539,11.9617,4.01
1787724270.160,182,40.1,25554,11.9554,4.01
1787724270.200,183,39.9,25666,11.9615,4.01
1787724270.240,184,39.9,25633,11.9478,4.01
1787724270.281,185,40.1,25525,11.9593,4.01
1787724270.321,186,40.4,25373,11.9555,4.01
1787724270.362,187,40.1,25533,11.9509,4.01
1787724270.402,188,39.8,25756,11.9515,4.01
1787724270.442,189,39.9,25663,11.9623,4.01
1787724270.482,190,40.2,25501,11.9794,4.01
1787724270.522,191,39.8,25726,11.9563,4.01
1787724270.562,192,39.9,25690,11.9580,4.01
1787724270.603,193,40.0,25590,11.9453,4.01
1787724270.643,194,39.9,25640,11.9607,4.01
1787724270.683,195,39.7,25778,11.9510,4.01
1787724270.723,196,40.2,25503,11.9488,4.01
1787724270.763,197,39.8,25708,11.9463,4.01
1787724270.803,198,39.8,25757,11.9521,4.01
1787724270.843,199,39.8,25707,11.9518,4.01
1787724270.883,200,39.8,25704,11.9564,4.01
1787724270.924,201,40.0,25627,11.9488,4.01
1787724270.964,202,40.0,25620,11.9582,4.01
1787724271.004,203,40.0,25629,11.9545,4.01
1787724271.044,204,39.9,25673,11.9511,4.01
1787724271.084,205,39.8,25734,11.9625,4.01
1787724271.124,206,39.8,25714,11.9464,4.01
1787724271.165,207,40.2,25449,11.9491,4.01
1787724271.205,208,40.0,25578,11.9525,4.01
1787724271.245,209,39.9,25640,11.9604,4.01
1787724271.318,210,72.0,14223,11.9587,4.01
1787724271.375,211,55.4,18491,11.9475,4.01
1787724271.418,212,42.5,24101,11.9615,4.01
1787724271.459,213,40.7,25160,11.9591,4.01
1787724271.502,214,42.7,23977,11.9587,4.01
1787724271.546,215,43.7,23445,11.9540,4.01
1787724271.586,216,40.1,25519,11.9492,4.01
1787724271.626,217,40.0,25624,11.9469,4.01
1787724271.667,218,40.2,25498,11.9488,4.01
1787724271.707,219,39.7,25815,11.9546,4.01
1787724271.747,220,40.1,25557,11.9487,4.01
1787724271.787,221,40.0,25611,11.9435,4.01
1787724271.827,222,40.0,25626,11.9517,4.01
1787724271.868,223,40.2,25491,11.9576,4.01
1787724271.908,224,40.1,25541,11.9538,4.01
1787724271.949,225,40.5,25309,11.9501,4.01
1787724271.989,226,40.0,25626,11.9572,4.01
1787724272.030,227,40.0,25591,11.9566,4.01
1787724272.070,228,40.2,25472,11.9570,4.01
1787724272.110,229,40.0,25620,11.9475,4.01
1787724272.151,230,40.0,25568,11.9400,4.01
1787724272.191,231,40.1,25505,11.9496,4.01
1787724272.231,232,40.1,25560,11.9621,4.01
1787724272.272,233,40.3,25378,11.9507,4.01
1787724272.312,234,39.7,25765,11.9501,4.01
1787724272.352,235,40.0,25588,11.9520,4.01
1787724272.392,236,40.0,25617,11.9492,4.01
1787724272.432,237,40.0,25627,11.9378,4.01
1787724272.473,238,40.0,25613,11.9518,4.01
1787724272.513,239,39.9,25649,11.9582,4.01
1787724272.553,240,39.9,25664,11.9539,4.01
1787724272.593,241,40.1,25516,11.9517,4.01
1787724272.634,242,39.9,25684,11.9562,4.01
1787724272.674,243,40.1,25533,11.9648,4.01
1787724272.714,244,39.8,25741,11.9540,4.01
1787724272.754,245,39.9,25659,11.9462,4.01
1787724272.794,246,40.1,25540,11.9632,4.01
1787724272.834,247,39.8,25746,11.9447,4.01
1787724272.875,248,39.9,25643,11.9590,4.01
1787724272.915,249,39.8,25733,11.9547,4.01
1787724272.953,250,38.0,26962,11.9562,4.01
1787724272.992,251,38.9,26311,11.9416,4.01
1787724273.032,252,39.8,25731,11.9537,4.01
1787724273.077,253,44.6,22983,11.9490,4.01
1787724273.121,254,43.4,23594,11.9532,4.01
1787724273.164,255,43.3,23641,11.9460,4.01
1787724273.209,256,44.3,23125,11.9561,4.01
1787724273.249,257,40.1,25566,11.9483,4.01
1787724273.290,258,40.0,25602,11.9502,4.01
1787724273.330,259,40.2,25461,11.9447,4.01
1787724273.370,260,40.0,25598,11.9421,4.01
1787724273.411,261,40.1,25526,11.9597,4.01
1787724273.451,262,39.7,25795,11.9469,4.01
1787724273.491,263,40.0,25620,11.9462,4.01
1787724273.531,264,39.9,25677,11.9501,4.01
1787724273.571,265,39.8,25704,11.9491,4.01
1787724273.611,266,39.7,25783,11.9630,4.01
1787724273.652,267,40.2,25465,11.9597,4.01
1787724273.692,268,40.0,25601,11.9516,4.01
1787724273.732,269,40.0,25630,11.9419,4.01
1787724273.772,270,39.9,25653,11.9580,4.01
1787724273.813,271,40.2,25484,11.9554,4.01
1787724273.852,272,39.6,25833,11.9471,4.01
1787724273.893,273,40.1,25536,11.9514,4.01
1787724273.933,274,39.9,25652,11.9552,4.01
1787724273.973,275,40.0,25613,11.9564,4.01
1787724274.013,276,39.9,25647,11.9540,4.01
1787724274.053,277,39.8,25759,11.9447,4.01
1787724274.094,278,40.0,25592,11.9487,4.01
1787724274.134,279,40.2,25465,11.9565,4.01
1787724274.174,280,39.9,25672,11.9578,4.01
1787724274.215,281,40.0,25625,11.9462,4.01
1787724274.255,282,40.1,25543,11.9497,4.01
1787724274.295,283,39.6,25869,11.9456,4.01
1787724274.334,284,39.2,26123,11.9607,4.01
1787724274.375,285,40.6,25204,11.9508,4.01
1787724274.416,286,40.5,25310,11.9607,4.01
1787724274.456,287,40.1,25519,11.9545,4.01
