ts,step,dt_ms,tok_per_s,loss,peak_gib,gated_ms
1787729320.638,1,199.2,5141,12.2742,1.50,1.2
1787729320.655,2,15.8,64613,12.3251,1.52,3.3
1787729320.670,3,14.5,70452,12.1466,1.52,4.1
1787729320.684,4,14.7,69564,12.1254,1.52,4.4
1787729320.699,5,14.8,69354,12.0319,1.52,4.2
1787729320.714,6,14.8,69159,12.1055,1.52,4.3
1787729320.729,7,14.8,69070,12.0303,1.52,4.1
1787729320.744,8,14.9,68676,11.9971,1.52,4.3
1787729320.759,9,14.9,68917,11.8876,1.52,4.3
1787729320.774,10,14.9,68896,11.7886,1.52,4.3
1787729320.789,11,14.8,68969,11.8631,1.52,4.3
1787729320.804,12,14.9,68792,11.7446,1.52,4.3
1787729320.819,13,14.8,68959,11.7028,1.52,4.2
1787729320.834,14,14.9,68926,11.7006,1.52,4.3
1787729320.849,15,14.5,70504,11.6018,1.52,4.4
1787729320.863,16,14.6,70365,11.5398,1.52,4.6
1787729320.878,17,14.7,69519,11.5755,1.52,4.4
1787729320.893,18,14.5,70464,11.5254,1.52,4.3
1787729320.908,19,14.6,70311,11.4889,1.52,4.3
1787729320.922,20,14.6,69953,11.4569,1.52,4.4
1787729320.937,21,14.7,69480,11.4343,1.52,4.4
1787729320.952,22,14.8,69143,11.4396,1.52,4.4
1787729320.967,23,14.8,68974,11.3767,1.52,4.3
1787729320.982,24,14.9,68937,11.3957,1.52,4.3
1787729320.997,25,14.9,68900,11.3714,1.52,4.4
1787729321.012,26,14.9,68781,11.2729,1.52,4.3
1787729321.027,27,14.9,68865,11.2962,1.52,4.4
1787729321.042,28,14.9,68876,11.3133,1.52,4.2
1787729321.057,29,14.9,68935,11.2522,1.52,4.4
1787729321.072,30,14.9,68816,11.2406,1.52,4.3
1787729321.087,31,14.8,69066,11.1711,1.52,4.3
1787729321.102,32,14.9,68822,11.1616,1.52,4.3
1787729321.117,33,14.9,68848,11.1788,1.52,4.3
1787729321.132,34,14.8,69008,11.2055,1.52,4.2
