ts,step,dt_ms,tok_per_s,loss,peak_gib,gated_ms
1787731009.825,1,1137.1,901,12.2742,1.50,0.0
1787731009.843,2,16.8,60888,12.3291,1.52,0.0
1787731009.858,3,15.0,68400,12.1472,1.52,0.0
1787731009.873,4,15.0,68442,12.1322,1.52,0.0
1787731009.888,5,15.0,68142,12.0270,1.52,0.0
1787731009.903,6,14.4,71142,12.1041,1.52,0.0
1787731009.917,7,14.3,71780,12.0265,1.52,0.0
1787731009.931,8,14.2,72112,11.9940,1.52,0.0
1787731009.946,9,14.3,71767,11.8917,1.52,0.0
1787731009.960,10,14.2,71929,11.7924,1.52,0.0
1787731009.974,11,14.2,71957,11.8568,1.52,0.0
1787731009.989,12,14.3,71677,11.7441,1.52,0.0
1787731010.003,13,14.2,72011,11.7072,1.52,0.0
1787731010.017,14,14.2,71900,11.6953,1.52,0.0
1787731010.032,15,14.3,71832,11.6090,1.52,0.0
1787731010.046,16,14.2,71875,11.5440,1.52,0.0
1787731010.060,17,14.2,72000,11.5822,1.52,0.0
1787731010.075,18,14.3,71850,11.5315,1.52,0.0
1787731010.089,19,14.2,71917,11.4769,1.52,0.0
1787731010.103,20,14.2,72028,11.4567,1.52,0.0
1787731010.118,21,14.2,72049,11.4382,1.52,0.0
1787731010.132,22,14.3,71827,11.4413,1.52,0.0
1787731010.146,23,14.2,72192,11.3771,1.52,0.0
1787731010.161,24,14.3,71855,11.3962,1.52,0.0
1787731010.175,25,14.2,71864,11.3723,1.52,0.0
1787731010.189,26,14.2,72052,11.2756,1.52,0.0
1787731010.204,27,14.2,71891,11.2915,1.52,0.0
1787731010.218,28,14.3,71719,11.3098,1.52,0.0
1787731010.233,29,14.3,71797,11.2484,1.52,0.0
1787731010.247,30,14.2,72116,11.2398,1.52,0.0
1787731010.261,31,14.3,71693,11.1734,1.52,0.0
1787731010.276,32,14.2,71993,11.1573,1.52,0.0
1787731010.290,33,14.2,71929,11.1819,1.52,0.0
1787731010.304,34,14.2,72126,11.2070,1.52,0.0
1787731010.319,35,14.4,71300,11.1422,1.52,0.0
1787731010.333,36,14.2,72072,11.1030,1.52,0.0
1787731010.347,37,14.2,72123,11.1742,1.52,0.0
1787731010.362,38,14.2,72057,11.1478,1.52,0.0
1787731010.376,39,14.2,72108,11.0960,1.52,0.0
1787731010.390,40,14.2,72158,11.1287,1.52,0.0
1787731010.405,41,14.2,71871,11.1410,1.52,0.0
1787731011.005,42,600.0,1707,11.1097,1.52,0.0
1787731011.022,43,17.1,59967,11.0949,1.52,0.0
1787731011.040,44,17.2,59558,11.1334,1.52,0.0
1787731011.057,45,17.1,59847,11.1275,1.52,0.0
1787731011.075,46,17.7,57858,11.0843,1.52,0.0
1787731011.093,47,17.7,57902,11.0581,1.52,0.0
1787731011.110,48,16.8,61102,11.0585,1.52,0.0
1787731011.127,49,16.8,60998,11.0497,1.52,0.0
1787731011.143,50,16.7,61333,11.0569,1.52,0.0
1787731011.160,51,16.8,61070,11.1083,1.52,0.0
1787731011.177,52,16.1,63703,11.0785,1.52,0.0
1787731011.193,53,16.1,63509,11.0480,1.52,0.0
1787731011.210,54,16.5,62066,11.0446,1.52,0.0
1787731011.228,55,17.7,57734,11.0657,1.52,0.0
1787731011.245,56,17.0,60271,11.0536,1.52,0.0
1787731011.262,57,17.1,59929,11.0370,1.52,0.0
1787731011.280,58,17.3,59185,11.0651,1.52,0.0
1787731012.433,59,1153.3,888,11.0197,1.52,0.0
1787731012.775,60,341.5,2998,11.0095,1.52,0.0
1787731012.828,61,52.6,19459,11.0397,1.52,0.0
1787731012.864,62,36.1,28391,11.0034,1.52,0.0
1787731012.882,63,17.2,59636,11.0397,1.52,0.0
1787731012.898,64,16.1,63543,11.0651,1.52,0.0
1787731012.915,65,16.6,61638,10.9976,1.52,0.0
1787731012.932,66,16.9,60606,11.0397,1.52,0.0
1787731012.950,67,18.1,56510,11.0126,1.52,0.0
1787731012.968,68,17.8,57373,11.0150,1.52,0.0
1787731012.987,69,18.3,55854,10.9947,1.52,0.0
1787731013.591,70,604.2,1695,10.9861,1.52,0.0
1787731014.771,71,1179.5,868,11.0383,1.52,0.0
1787731014.809,72,38.2,26783,10.9826,1.52,0.0
1787731014.849,73,39.9,25683,10.9619,1.52,0.0
1787731014.865,74,15.8,64995,11.0096,1.52,0.0
1787731014.881,75,16.0,64191,10.9880,1.52,0.0
1787731014.897,76,15.2,67493,11.0164,1.52,0.0
1787731014.912,77,15.2,67522,10.9834,1.52,0.0
1787731014.927,78,15.4,66638,10.9938,1.52,0.0
1787731014.943,79,15.2,67482,10.9977,1.52,0.0
1787731014.958,80,15.1,67640,10.9920,1.52,0.0
1787731014.973,81,15.3,66816,11.0043,1.52,0.0
1787731014.989,82,15.1,67904,11.0176,1.52,0.0
1787731015.004,83,15.2,67495,10.9827,1.52,0.0
1787731015.019,84,15.4,66624,11.0201,1.52,0.0
1787731015.035,85,15.1,67804,11.0147,1.52,0.0
1787731015.050,86,15.1,67910,10.9901,1.52,0.0
1787731015.065,87,15.4,66588,10.9981,1.52,0.0
1787731015.081,88,15.1,67661,10.9761,1.52,0.0
1787731015.096,89,15.2,67253,10.9953,1.52,0.0
1787731015.111,90,15.4,66626,10.9910,1.52,0.0
1787731015.127,91,15.1,67789,10.9715,1.52,0.0
1787731015.142,92,15.1,67918,10.9913,1.52,0.0
1787731015.157,93,15.4,66590,10.9943,1.52,0.0
1787731015.173,94,15.1,67696,10.9639,1.52,0.0
1787731015.188,95,15.3,66741,11.0177,1.52,0.0
1787731015.203,96,15.3,66821,10.9860,1.52,0.0
1787731015.218,97,14.8,68964,10.9895,1.52,0.0
1787731015.234,98,15.2,67424,10.9937,1.52,0.0
1787731015.249,99,15.5,66105,10.9931,1.52,0.0
1787731015.265,100,15.0,68061,11.0016,1.52,0.0
1787731015.280,101,15.1,67648,10.9923,1.52,0.0
1787731015.295,102,15.3,66793,11.0208,1.52,0.0
1787731015.311,103,15.2,67361,11.0058,1.52,0.0
1787731015.326,104,15.1,67955,11.0067,1.52,0.0
1787731015.341,105,15.4,66664,10.9825,1.52,0.0
1787731015.357,106,15.2,67487,10.9816,1.52,0.0
1787731015.372,107,15.1,67749,10.9691,1.52,0.0
1787731015.387,108,15.4,66301,11.0028,1.52,0.0
1787731015.403,109,15.1,67748,10.9821,1.52,0.0
1787731016.010,110,607.7,1685,10.9637,1.52,0.0
1787731016.062,111,50.9,20113,10.9904,1.52,0.0
1787731016.106,112,43.7,23443,11.0154,1.52,0.0
1787731016.121,113,15.5,66040,10.9910,1.52,0.0
1787731016.137,114,15.2,67396,11.0157,1.52,0.0
