ts,step,dt_ms,tok_per_s,loss,peak_gib,gated_ms
1787730911.564,1,186.5,5490,12.2742,1.50,0.0
1787730911.580,2,15.3,67074,12.3281,1.52,0.0
1787730911.594,3,13.9,73875,12.1536,1.52,0.0
1787730911.608,4,13.8,73984,12.1328,1.52,0.0
1787730911.622,5,13.9,73877,12.0316,1.52,0.0
1787730911.636,6,13.8,74132,12.0973,1.52,0.0
1787730911.649,7,13.8,73948,12.0238,1.52,0.0
1787730911.663,8,13.8,73991,12.0035,1.52,0.0
1787730911.677,9,13.8,74063,11.8879,1.52,0.0
1787730911.691,10,13.9,73907,11.7927,1.52,0.0
1787730911.705,11,13.8,74123,11.8547,1.52,0.0
1787730911.719,12,13.8,73940,11.7434,1.52,0.0
1787730911.733,13,13.9,73917,11.7075,1.52,0.0
1787730911.747,14,13.8,74015,11.6934,1.52,0.0
1787730911.761,15,13.8,73985,11.6109,1.52,0.0
1787730911.775,16,13.9,73900,11.5426,1.52,0.0
1787730911.789,17,13.9,73837,11.5853,1.52,0.0
1787730911.803,18,13.8,73990,11.5249,1.52,0.0
1787730911.817,19,13.9,73889,11.4798,1.52,0.0
1787730911.831,20,13.8,74082,11.4503,1.52,0.0
1787730911.845,21,13.9,73768,11.4315,1.52,0.0
1787730911.859,22,13.9,73929,11.4421,1.52,0.0
1787730911.873,23,13.8,73994,11.3740,1.52,0.0
1787730911.887,24,13.8,74084,11.4033,1.52,0.0
1787730911.901,25,13.8,73962,11.3646,1.52,0.0
1787730911.915,26,13.9,73906,11.2778,1.52,0.0
1787730911.929,27,13.8,73989,11.2992,1.52,0.0
1787730911.942,28,13.8,74077,11.3154,1.52,0.0
1787730911.956,29,13.8,73980,11.2520,1.52,0.0
1787730911.970,30,13.8,73936,11.2431,1.52,0.0
1787730911.984,31,13.8,74051,11.1733,1.52,0.0
1787730911.998,32,13.8,74070,11.1608,1.52,0.0
1787730912.012,33,13.8,74037,11.1749,1.52,0.0
1787730912.026,34,13.8,73982,11.1989,1.52,0.0
1787730912.040,35,13.9,73889,11.1531,1.52,0.0
1787730912.054,36,13.9,73864,11.0958,1.52,0.0
1787730912.068,37,13.9,73795,11.1650,1.52,0.0
1787730912.082,38,13.8,73942,11.1561,1.52,0.0
1787730912.096,39,13.9,73800,11.1055,1.52,0.0
1787730912.110,40,13.8,73942,11.1269,1.52,0.0
1787730912.124,41,13.8,73945,11.1406,1.52,0.0
1787730912.138,42,13.8,74009,11.1113,1.52,0.0
1787730912.152,43,13.8,74009,11.1136,1.52,0.0
1787730912.166,44,13.9,73761,11.1263,1.52,0.0
1787730912.180,45,13.8,73992,11.1318,1.52,0.0
1787730912.194,46,13.8,74035,11.0885,1.52,0.0
1787730912.208,47,13.9,73880,11.0538,1.52,0.0
1787730912.221,48,13.8,74065,11.0624,1.52,0.0
1787730912.235,49,13.9,73784,11.0328,1.52,0.0
1787730912.249,50,13.8,73973,11.0537,1.52,0.0
1787730912.263,51,13.8,73942,11.0966,1.52,0.0
1787730912.277,52,13.8,73963,11.0786,1.52,0.0
1787730912.291,53,13.9,73789,11.0700,1.52,0.0
1787730912.305,54,13.8,74022,11.0397,1.52,0.0
1787730912.319,55,13.9,73723,11.0632,1.52,0.0
1787730912.333,56,13.8,74065,11.0504,1.52,0.0
1787730912.347,57,13.8,74074,11.0367,1.52,0.0
1787730912.361,58,13.8,74121,11.0777,1.52,0.0
1787730912.375,59,13.8,73952,11.0270,1.52,0.0
1787730912.389,60,13.8,74014,11.0108,1.52,0.0
