ts,step,dt_ms,tok_per_s,loss,peak_gib,gated_ms
1787730930.948,1,266.3,3845,12.2742,1.50,0.0
1787730930.986,2,36.8,27858,12.3169,1.52,0.0
1787730931.000,3,14.3,71717,12.1428,1.52,0.0
1787730931.034,4,34.3,29836,12.1271,1.52,0.0
1787730931.049,5,14.7,69500,12.0318,1.52,0.0
1787730931.084,6,34.8,29401,12.0968,1.52,0.0
1787730931.099,7,14.4,71344,12.0255,1.52,0.0
1787730931.134,8,34.7,29538,11.9969,1.52,0.0
1787730931.148,9,14.7,69811,11.8926,1.52,0.0
1787730931.181,10,32.3,31737,11.7953,1.52,0.0
1787730931.195,11,14.2,72004,11.8585,1.52,0.0
1787730931.230,12,34.6,29633,11.7500,1.52,0.0
1787730931.245,13,14.6,69922,11.7003,1.52,0.0
1787730931.280,14,34.8,29454,11.7055,1.52,0.0
1787730931.294,15,14.7,69627,11.6069,1.52,0.0
1787730931.329,16,34.8,29393,11.5396,1.52,0.0
1787730931.344,17,14.4,71276,11.5780,1.52,0.0
1787730931.379,18,34.7,29510,11.5255,1.52,0.0
1787730931.394,19,14.7,69705,11.4856,1.52,0.0
1787730931.428,20,34.4,29738,11.4557,1.52,0.0
1787730931.444,21,15.4,66359,11.4346,1.52,0.0
1787730931.480,22,35.7,28663,11.4353,1.52,0.0
1787730931.495,23,14.8,68992,11.3788,1.52,0.0
1787730931.529,24,34.8,29439,11.3925,1.52,0.0
1787730931.544,25,14.7,69621,11.3672,1.52,0.0
1787730931.579,26,34.8,29421,11.2833,1.52,0.0
1787730931.594,27,14.4,71155,11.2919,1.52,0.0
1787730931.629,28,34.7,29484,11.3030,1.52,0.0
1787730931.644,29,14.7,69759,11.2501,1.52,0.0
1787730931.678,30,34.8,29417,11.2367,1.52,0.0
1787730931.693,31,14.8,69255,11.1744,1.52,0.0
1787730931.728,32,34.7,29485,11.1613,1.52,0.0
1787730931.743,33,14.4,71198,11.1734,1.52,0.0
1787730931.778,34,35.0,29273,11.2010,1.52,0.0
1787730931.793,35,14.9,68908,11.1406,1.52,0.0
1787730931.828,36,34.7,29522,11.0995,1.52,0.0
1787730931.843,37,14.7,69567,11.1709,1.52,0.0
1787730931.878,38,34.8,29406,11.1582,1.52,0.0
1787730931.892,39,14.7,69474,11.1038,1.52,0.0
1787730931.928,40,35.0,29276,11.1299,1.52,0.0
1787730931.942,41,14.2,71929,11.1371,1.52,0.0
1787730931.976,42,34.2,29924,11.1129,1.52,0.0
