ts,step,dt_ms,tok_per_s,loss,peak_gib
1787726026.142,1,185.0,5534,12.2742,1.50
1787726026.157,2,14.3,71452,12.3138,1.52
1787726026.171,3,13.9,73907,12.1399,1.52
1787726026.185,4,13.9,73920,12.1281,1.52
1787726026.199,5,13.8,74066,12.0279,1.52
1787726026.213,6,13.8,74089,12.0990,1.52
1787726026.227,7,13.9,73544,12.0361,1.52
1787726026.241,8,13.8,73963,11.9967,1.52
1787726026.255,9,13.9,73864,11.8930,1.52
1787726026.269,10,13.8,74031,11.8053,1.52
1787726026.283,11,13.8,74029,11.8537,1.52
1787726026.296,12,13.8,74315,11.7415,1.52
1787726026.310,13,13.8,74298,11.7070,1.52
1787726026.324,14,13.8,74093,11.6986,1.52
1787726026.338,15,13.8,74101,11.6109,1.52
1787726026.352,16,13.9,73633,11.5416,1.52
1787726026.366,17,13.8,74151,11.5778,1.52
1787726026.380,18,13.8,74146,11.5241,1.52
1787726026.394,19,13.8,74035,11.4902,1.52
1787726026.408,20,13.8,74162,11.4621,1.52
1787726026.422,21,13.8,74027,11.4278,1.52
1787726026.436,22,13.8,74143,11.4371,1.52
1787726026.450,23,13.8,74114,11.3797,1.52
1787726026.464,24,13.8,74210,11.3994,1.52
1787726026.478,25,13.8,74096,11.3764,1.52
1787726026.491,26,13.8,74093,11.2780,1.52
1787726026.505,27,13.8,74188,11.2913,1.52
1787726026.519,28,13.8,74130,11.3111,1.52
1787726026.533,29,13.8,74226,11.2490,1.52
1787726026.547,30,13.9,73776,11.2372,1.52
1787726026.561,31,13.8,73935,11.1729,1.52
1787726026.575,32,13.8,74075,11.1715,1.52
1787726026.589,33,13.8,73936,11.1796,1.52
1787726026.603,34,13.8,74111,11.1975,1.52
1787726026.617,35,13.8,74329,11.1423,1.52
1787726026.631,36,13.8,74082,11.0960,1.52
1787726026.645,37,13.8,74232,11.1630,1.52
1787726026.659,38,13.8,74235,11.1563,1.52
1787726026.672,39,13.8,74077,11.1042,1.52
1787726026.686,40,13.8,74189,11.1217,1.52
1787726026.700,41,13.8,73989,11.1400,1.52
1787726026.714,42,13.8,74013,11.1184,1.52
1787726026.728,43,13.8,74129,11.0967,1.52
1787726026.742,44,13.8,73989,11.1362,1.52
1787726026.756,45,13.8,74050,11.1374,1.52
1787726026.770,46,13.8,74029,11.0905,1.52
1787726026.784,47,13.9,73872,11.0541,1.52
1787726026.798,48,13.8,74265,11.0507,1.52
1787726026.812,49,13.8,74123,11.0496,1.52
1787726026.826,50,13.8,74209,11.0545,1.52
1787726026.840,51,13.8,74088,11.1050,1.52
1787726026.854,52,13.8,73994,11.0793,1.52
1787726026.868,53,13.8,74066,11.0493,1.52
1787726026.881,54,13.8,74129,11.0456,1.52
1787726026.895,55,13.8,74106,11.0619,1.52
1787726026.909,56,13.8,73943,11.0521,1.52
1787726026.923,57,13.8,74100,11.0506,1.52
1787726026.937,58,13.8,74029,11.0692,1.52
1787726026.951,59,13.8,74082,11.0185,1.52
1787726026.965,60,13.8,74212,11.0096,1.52
