ts,step,dt_ms,tok_per_s,loss,peak_gib
1787723910.903,1,336.8,3040,13.6184,3.98
1787723910.941,2,36.7,27926,13.4359,4.01
1787723910.977,3,36.3,28209,13.3029,4.01
1787723911.014,4,36.2,28296,13.1862,4.01
1787723911.050,5,36.2,28306,13.0991,4.01
1787723911.086,6,36.2,28273,13.0127,4.01
1787723911.123,7,36.2,28296,12.8902,4.01
1787723911.159,8,36.3,28217,12.8396,4.01
1787723911.195,9,36.2,28299,12.7798,4.01
1787723911.232,10,36.2,28300,12.7026,4.01
1787723911.268,11,36.2,28274,12.6804,4.01
1787723911.304,12,36.2,28253,12.5707,4.01
1787723911.341,13,36.2,28321,12.4630,4.01
1787723911.377,14,36.2,28309,12.4612,4.01
1787723911.413,15,36.2,28292,12.4404,4.01
1787723911.449,16,36.2,28306,12.4218,4.01
1787723911.486,17,36.2,28317,12.3696,4.01
1787723911.522,18,36.2,28323,12.3209,4.01
1787723911.558,19,36.2,28305,12.2743,4.01
1787723911.595,20,36.2,28318,12.2565,4.01
1787723911.631,21,36.3,28226,12.2755,4.01
1787723911.667,22,36.2,28257,12.2537,4.01
1787723911.704,23,36.2,28289,12.2592,4.01
1787723911.740,24,36.2,28314,12.1757,4.01
1787723911.776,25,36.3,28247,12.1756,4.01
1787723911.813,26,36.2,28280,12.1465,4.01
1787723911.849,27,36.3,28241,12.1673,4.01
1787723911.886,28,36.3,28241,12.1468,4.01
1787723911.922,29,36.2,28304,12.1374,4.01
1787723911.958,30,36.2,28277,12.1113,4.01
1787723911.994,31,36.2,28283,12.0905,4.01
1787723912.031,32,36.2,28283,12.0982,4.01
1787723912.067,33,36.2,28297,12.1154,4.01
1787723912.103,34,36.2,28275,12.1056,4.01
1787723912.140,35,36.2,28321,12.0922,4.01
1787723912.176,36,36.2,28271,12.1069,4.01
1787723912.212,37,36.2,28272,12.0860,4.01
1787723912.249,38,36.2,28299,12.0752,4.01
1787723912.285,39,36.2,28262,12.0625,4.01
1787723912.321,40,36.2,28309,12.0609,4.01
1787723912.358,41,36.2,28286,12.1061,4.01
1787723912.394,42,36.2,28292,12.0560,4.01
1787723912.430,43,36.2,28267,12.0454,4.01
1787723912.467,44,36.2,28288,12.0693,4.01
1787723912.503,45,36.2,28296,12.0534,4.01
1787723912.539,46,36.2,28275,12.0593,4.01
1787723912.576,47,36.2,28303,12.0682,4.01
1787723912.612,48,36.4,28153,12.0516,4.01
1787723912.649,49,36.2,28265,12.0584,4.01
1787723912.685,50,36.2,28279,12.0410,4.01
1787723912.721,51,36.2,28306,12.0431,4.01
1787723912.757,52,36.2,28285,12.0378,4.01
1787723912.794,53,36.2,28307,12.0219,4.01
1787723912.830,54,36.2,28304,12.0107,4.01
1787723912.867,55,36.4,28168,12.0187,4.01
1787723912.903,56,36.2,28268,12.0163,4.01
1787723912.939,57,36.2,28277,12.0220,4.01
1787723912.976,58,36.3,28210,12.0171,4.01
1787723913.012,59,36.3,28230,12.0116,4.01
1787723913.048,60,36.2,28306,12.0103,4.01
