ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1787723940.0,0,0.0000,0.0000,0.0000,164
1787723940.0,1,0.0000,0.0000,0.0000,17
1787723941.0,0,0.0000,0.0000,0.0000,164
1787723941.0,1,0.0000,0.0000,0.0000,17
1787723942.0,0,0.0000,0.0000,0.0000,164
1787723942.0,1,0.0000,0.0000,0.0000,17
1787723943.0,0,0.0000,0.0000,0.0000,164
1787723943.0,1,0.0000,0.0000,0.0000,17
1787723944.0,0,0.0000,0.0000,0.0000,164
1787723944.0,1,0.0000,0.0000,0.0000,17
1787723945.0,0,0.0000,0.0000,0.0000,164
1787723945.0,1,0.0000,0.0000,0.0000,17
1787723946.0,0,0.0000,0.0000,0.0000,164
1787723946.0,1,0.0000,0.0000,0.0000,17
1787723947.0,0,0.0000,0.0000,0.0000,164
1787723947.0,1,0.0000,0.0000,0.0000,17
1787723948.0,0,0.0000,0.0000,0.0000,164
1787723948.0,1,0.0000,0.0000,0.0000,17
1787723949.0,0,0.0000,0.0000,0.0000,164
1787723949.0,1,0.0000,0.0000,0.0000,17
1787723950.0,0,0.0000,0.0000,0.0000,2181
1787723950.0,1,0.0000,0.0000,0.0000,1795
1787723951.0,0,0.0000,0.0000,0.0000,16401
1787723951.0,1,0.0000,0.0000,0.0000,16015
1787723952.0,0,0.0000,0.0000,0.0010,16401
1787723952.0,1,0.0000,0.0000,0.0010,16015
1787723953.0,0,0.0000,0.0000,0.0010,16401
1787723953.0,1,0.0000,0.0000,0.0010,16015
1787723954.0,0,0.0000,0.0000,0.0010,16401
1787723954.0,1,0.0000,0.0000,0.0010,16015
1787723955.0,0,0.0000,0.0000,0.0020,16401
1787723955.0,1,0.0000,0.0000,0.0020,16015
1787723956.0,0,0.0000,0.0000,0.0020,16401
1787723956.0,1,0.0000,0.0000,0.0020,16015
1787723957.0,0,0.0000,0.0000,0.0020,16401
1787723957.0,1,0.0000,0.0000,0.0020,16015
1787723958.0,0,0.0000,0.0000,0.0000,16401
1787723958.0,1,0.0000,0.0000,0.0000,16015
1787723959.0,0,0.0000,0.0000,0.0000,16401
1787723959.0,1,0.0000,0.0000,0.0000,16015
1787723960.0,0,0.0000,0.0000,0.0000,16401
1787723960.0,1,0.0000,0.0000,0.0000,16015
1787723961.0,0,0.0000,0.0000,0.0000,16401
1787723961.0,1,0.0000,0.0000,0.0000,16015
1787723962.0,0,0.4940,0.0750,0.0710,21033
1787723962.0,1,0.1310,0.0190,0.0190,17287
1787723963.0,0,0.7550,0.1150,0.1110,21033
1787723963.0,1,0.0080,0.0030,0.0060,16087
1787723964.0,0,0.8670,0.1350,0.1380,21033
1787723964.0,1,0.0000,0.0000,0.0000,25087
1787723965.0,0,0.0000,0.0000,0.0030,16473
1787723965.0,1,0.3920,0.0530,0.1050,25275
1787723966.0,0,0.0000,0.0000,0.0000,16473
1787723966.0,1,0.5620,0.0690,0.2690,25417
1787723967.0,0,0.6260,0.0980,0.0960,27815
1787723967.0,1,0.4140,0.0450,0.2350,25475
1787723968.0,0,0.9840,0.1530,0.1530,27815
1787723968.0,1,0.2030,0.0190,0.1400,26665
1787723969.0,0,0.8170,0.1180,0.1750,23493
1787723969.0,1,0.0000,0.0000,0.0000,26665
1787723970.0,0,0.5570,0.0640,0.2430,23623
1787723970.0,1,0.0000,0.0000,0.0000,26665
1787723971.0,0,0.5300,0.0540,0.2720,23695
1787723971.0,1,0.0000,0.0000,0.0000,26665
1787723972.0,0,0.1610,0.0160,0.1080,24879
1787723972.0,1,0.0000,0.0000,0.0000,26665
1787723973.0,0,0.0000,0.0000,0.0000,24879
1787723973.0,1,0.0000,0.0000,0.0000,26665
1787723974.0,0,0.0000,0.0000,0.0000,24879
1787723974.0,1,0.0000,0.0000,0.0000,26665
1787723975.0,0,0.0000,0.0000,0.0000,24879
1787723975.0,1,0.0000,0.0000,0.0000,26665
1787723976.0,0,0.0000,0.0000,0.0000,24879
1787723976.0,1,0.0000,0.0000,0.0000,26665
1787723977.0,0,0.0000,0.0000,0.0000,24879
1787723977.0,1,0.0000,0.0000,0.0000,26665
1787723978.0,0,0.0000,0.0000,0.0000,24879
1787723978.0,1,0.0000,0.0000,0.0000,26665
1787723979.0,0,0.0000,0.0000,0.0000,24879
1787723979.0,1,0.0000,0.0000,0.0000,26665
1787723980.0,0,0.2740,0.0370,0.0370,24879
1787723980.0,1,0.0000,0.0000,0.0000,26665
1787723981.0,0,0.2020,0.0290,0.0290,24883
1787723981.0,1,0.4880,0.0640,0.1160,26673
1787723982.0,0,0.2710,0.0370,0.0370,24883
1787723982.0,1,0.0100,0.0010,0.0050,26673
1787723983.0,0,0.5610,0.0780,0.0790,25383
1787723983.0,1,0.0000,0.0000,0.0000,26673
1787723984.0,0,0.5630,0.0800,0.0810,25383
1787723984.0,1,0.0010,0.0000,0.0000,26673
1787723985.0,0,0.4760,0.0660,0.0660,25383
1787723985.0,1,0.0820,0.0090,0.0720,26673
1787723986.0,0,0.0000,0.0000,0.0000,25383
1787723986.0,1,0.1410,0.0120,0.0920,26675
1787723987.0,0,0.4660,0.0640,0.0660,25383
1787723987.0,1,0.2120,0.0290,0.0320,26675
1787723988.0,0,0.4720,0.0650,0.0650,25383
1787723988.0,1,0.2780,0.0350,0.0980,26675
1787723989.0,0,0.0250,0.0040,0.0040,25383
1787723989.0,1,0.4910,0.0640,0.1300,26675
