ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1787724224.8,0,0.0000,0.0000,0.0000,164
1787724224.8,1,0.0000,0.0000,0.0000,17
1787724225.8,0,0.0000,0.0000,0.0000,164
1787724225.8,1,0.0000,0.0000,0.0000,17
1787724226.8,0,0.0000,0.0000,0.0000,164
1787724226.8,1,0.0000,0.0000,0.0000,17
1787724227.8,0,0.0000,0.0000,0.0000,164
1787724227.8,1,0.0000,0.0000,0.0000,17
1787724228.8,0,0.0000,0.0000,0.0000,164
1787724228.8,1,0.0000,0.0000,0.0000,17
1787724229.8,0,0.0000,0.0000,0.0000,164
1787724229.8,1,0.0000,0.0000,0.0000,17
1787724230.8,0,0.0000,0.0000,0.0000,164
1787724230.8,1,0.0000,0.0000,0.0000,17
1787724231.8,0,0.0000,0.0000,0.0000,164
1787724231.8,1,0.0000,0.0000,0.0000,17
1787724232.8,0,0.0000,0.0000,0.0000,164
1787724232.8,1,0.0000,0.0000,0.0000,17
1787724233.8,0,0.0000,0.0000,0.0000,164
1787724233.8,1,0.0000,0.0000,0.0000,17
1787724234.8,0,0.0000,0.0000,0.0000,164
1787724234.8,1,0.0000,0.0000,0.0000,17
1787724235.8,0,0.0000,0.0000,0.0000,1081
1787724235.8,1,0.0000,0.0000,0.0000,695
1787724236.8,0,0.0000,0.0000,0.0000,16401
1787724236.8,1,0.0000,0.0000,0.0000,16015
1787724237.8,0,0.0000,0.0000,0.0060,16401
1787724237.8,1,0.0000,0.0000,0.0050,16015
1787724238.8,0,0.0000,0.0000,0.0030,16401
1787724238.8,1,0.0000,0.0000,0.0040,16015
1787724239.8,0,0.0000,0.0000,0.0000,16401
1787724239.8,1,0.0000,0.0000,0.0000,16015
1787724240.8,0,0.0000,0.0000,0.0000,16401
1787724240.8,1,0.0000,0.0000,0.0000,16015
1787724241.8,0,0.0000,0.0000,0.0000,16401
1787724241.8,1,0.0000,0.0000,0.0000,16015
1787724242.8,0,0.0000,0.0000,0.0000,16401
1787724242.8,1,0.0000,0.0000,0.0000,16015
1787724243.8,0,0.5240,0.0790,0.0740,21033
1787724243.8,1,0.1060,0.0150,0.0150,17287
1787724244.8,0,0.7490,0.1150,0.1120,21033
1787724244.8,1,0.0340,0.0060,0.0100,16087
1787724245.8,0,0.8460,0.1310,0.1350,21033
1787724245.8,1,0.0000,0.0000,0.0000,16087
1787724246.8,0,0.0000,0.0000,0.0030,16473
1787724246.8,1,0.2870,0.0400,0.0730,25277
1787724247.8,0,0.0000,0.0000,0.0000,16893
1787724247.8,1,0.5810,0.0760,0.2460,25389
1787724248.8,0,0.6480,0.1010,0.0980,27815
1787724248.8,1,0.4340,0.0470,0.2530,25467
1787724249.8,0,0.9840,0.1530,0.1530,27815
1787724249.8,1,0.2660,0.0230,0.1770,26665
1787724250.8,0,0.8150,0.1180,0.1760,23493
1787724250.8,1,0.0000,0.0000,0.0000,26665
1787724251.8,0,0.5570,0.0640,0.2440,23621
1787724251.8,1,0.0000,0.0000,0.0000,26665
1787724252.8,0,0.5250,0.0540,0.2690,23691
1787724252.8,1,0.0000,0.0000,0.0000,26665
1787724253.8,0,0.1620,0.0160,0.1080,24879
1787724253.8,1,0.0000,0.0000,0.0000,26665
1787724254.8,0,0.0000,0.0000,0.0000,24879
1787724254.8,1,0.0000,0.0000,0.0000,26665
1787724255.8,0,0.0000,0.0000,0.0000,24879
1787724255.8,1,0.0000,0.0000,0.0000,26665
1787724256.8,0,0.0000,0.0000,0.0000,24879
1787724256.8,1,0.0000,0.0000,0.0000,26665
1787724257.8,0,0.0000,0.0000,0.0000,24879
1787724257.8,1,0.0000,0.0000,0.0000,26665
1787724258.8,0,0.0000,0.0000,0.0000,24879
1787724258.8,1,0.0000,0.0000,0.0000,26665
1787724259.8,0,0.0000,0.0000,0.0000,24879
1787724259.8,1,0.0000,0.0000,0.0000,26665
1787724260.8,0,0.0000,0.0000,0.0000,24879
1787724260.8,1,0.0000,0.0000,0.0000,27168
1787724261.8,0,0.2960,0.0400,0.0400,24879
1787724261.8,1,0.0000,0.0000,0.0000,27168
1787724262.8,0,0.1840,0.0260,0.0260,24883
1787724262.8,1,0.4650,0.0620,0.0940,28258
1787724263.8,0,0.3060,0.0420,0.0420,24883
1787724263.8,1,0.4590,0.1120,0.2020,31716
1787724264.8,0,0.6770,0.0950,0.0950,25383
1787724264.8,1,0.5810,0.1480,0.2280,31716
1787724265.8,0,0.4250,0.0610,0.0610,25383
1787724265.8,1,0.5540,0.1420,0.2190,31716
1787724266.8,0,0.4750,0.0660,0.0660,25383
1787724266.8,1,0.5400,0.1380,0.2190,31716
1787724267.8,0,0.0000,0.0000,0.0000,25383
1787724267.8,1,0.5440,0.1360,0.2210,31716
1787724268.8,0,0.4720,0.0650,0.0660,25383
1787724268.8,1,0.5270,0.1350,0.2130,31716
1787724269.8,0,0.4760,0.0660,0.0660,25383
1787724269.8,1,0.5430,0.1390,0.2190,31716
1787724270.8,0,0.0570,0.0080,0.0080,25383
1787724270.8,1,0.5350,0.1370,0.2180,31716
1787724271.8,0,0.4140,0.0580,0.0590,25383
1787724271.8,1,0.5510,0.1350,0.2190,31718
1787724272.8,0,0.0000,0.0000,0.0000,25383
1787724272.8,1,0.5470,0.1390,0.2210,31718
1787724273.8,0,0.0000,0.0000,0.0000,25383
1787724273.8,1,0.5350,0.1370,0.2150,31718
1787724274.8,0,0.0000,0.0000,0.0000,25383
1787724274.8,1,0.5440,0.1370,0.2180,31718
1787724275.8,0,0.0000,0.0000,0.0000,25383
1787724275.8,1,0.5980,0.1360,0.2130,31718
1787724276.8,0,0.4140,0.0570,0.0570,25383
1787724276.8,1,0.6100,0.1350,0.2120,31718
1787724277.8,0,0.0660,0.0100,0.0090,25383
1787724277.8,1,0.5450,0.1390,0.2180,31718
1787724278.8,0,0.0000,0.0000,0.0000,25383
1787724278.8,1,0.5920,0.1360,0.2140,31718
1787724279.8,0,0.0000,0.0000,0.0000,25383
