ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1787724866.7,0,0.0000,0.0000,0.0000,164
1787724866.7,1,0.0000,0.0000,0.0000,17
1787724867.7,0,0.0000,0.0000,0.0000,164
1787724867.7,1,0.0000,0.0000,0.0000,17
1787724868.7,0,0.0000,0.0000,0.0000,164
1787724868.7,1,0.0000,0.0000,0.0000,17
1787724869.7,0,0.0000,0.0000,0.0000,164
1787724869.7,1,0.0000,0.0000,0.0000,17
1787724870.7,0,0.0000,0.0000,0.0000,164
1787724870.7,1,0.0000,0.0000,0.0000,17
1787724871.7,0,0.0000,0.0000,0.0000,164
1787724871.7,1,0.0000,0.0000,0.0000,17
1787724872.7,0,0.0000,0.0000,0.0000,164
1787724872.7,1,0.0000,0.0000,0.0000,17
1787724873.7,0,0.0000,0.0000,0.0000,164
1787724873.7,1,0.0000,0.0000,0.0000,17
1787724874.7,0,0.0000,0.0000,0.0000,164
1787724874.7,1,0.0000,0.0000,0.0000,17
1787724875.7,0,0.0000,0.0000,0.0000,164
1787724875.7,1,0.0000,0.0000,0.0000,17
1787724876.7,0,0.0000,0.0000,0.0000,821
1787724876.7,1,0.0000,0.0000,0.0000,695
1787724877.7,0,0.0000,0.0000,0.0000,16401
1787724877.7,1,0.0000,0.0000,0.0000,16015
1787724878.7,0,0.0000,0.0000,0.0010,16401
1787724878.7,1,0.0000,0.0000,0.0010,16015
1787724879.7,0,0.0000,0.0000,0.0010,16401
1787724879.7,1,0.0000,0.0000,0.0010,16015
1787724880.7,0,0.0000,0.0000,0.0010,16401
1787724880.7,1,0.0000,0.0000,0.0010,16015
1787724881.7,0,0.0000,0.0000,0.0010,16401
1787724881.7,1,0.0000,0.0000,0.0010,16015
1787724882.7,0,0.0000,0.0000,0.0010,16401
1787724882.7,1,0.0000,0.0000,0.0010,16015
1787724883.7,0,0.0000,0.0000,0.0010,16401
1787724883.7,1,0.0000,0.0000,0.0010,16015
1787724884.7,0,0.0000,0.0000,0.0010,16401
1787724884.7,1,0.0000,0.0000,0.0010,16015
1787724885.7,0,0.0000,0.0000,0.0010,16401
1787724885.7,1,0.0000,0.0000,0.0010,16015
1787724886.7,0,0.0000,0.0000,0.0010,16401
1787724886.7,1,0.0000,0.0000,0.0010,16015
1787724887.7,0,0.0000,0.0000,0.0000,16401
1787724887.7,1,0.0000,0.0000,0.0000,16015
1787724888.7,0,0.0000,0.0000,0.0000,16401
1787724888.7,1,0.0000,0.0000,0.0000,16015
1787724889.7,0,0.0000,0.0000,0.0000,16401
1787724889.7,1,0.0000,0.0000,0.0000,16015
1787724890.7,0,0.0000,0.0000,0.0000,16401
1787724890.7,1,0.0000,0.0000,0.0000,16015
1787724891.7,0,0.4290,0.0650,0.0620,21031
1787724891.7,1,0.1130,0.0160,0.0160,17287
1787724892.7,0,0.7590,0.1150,0.1120,21033
1787724892.7,1,0.0240,0.0050,0.0090,16087
1787724893.7,0,0.9400,0.1450,0.1450,21033
1787724893.7,1,0.0000,0.0000,0.0000,19427
1787724894.7,0,0.0020,0.0010,0.0050,16473
1787724894.7,1,0.3480,0.0480,0.0920,25271
1787724895.7,0,0.0000,0.0000,0.0000,16473
1787724895.7,1,0.5670,0.0720,0.2590,25405
1787724896.7,0,0.4550,0.0710,0.0680,27815
1787724896.7,1,0.4320,0.0470,0.2490,25471
1787724897.7,0,0.9840,0.1530,0.1520,27815
1787724897.7,1,0.2190,0.0200,0.1490,26665
1787724898.7,0,0.8680,0.1280,0.1700,23475
1787724898.7,1,0.0000,0.0000,0.0000,26665
1787724899.7,0,0.5830,0.0750,0.2200,23593
1787724899.7,1,0.0000,0.0000,0.0000,26665
1787724900.7,0,0.5100,0.0530,0.2660,23681
1787724900.7,1,0.0000,0.0000,0.0000,26665
1787724901.7,0,0.2800,0.0240,0.1720,24879
1787724901.7,1,0.0000,0.0000,0.0000,26665
1787724902.7,0,0.0000,0.0000,0.0000,24879
1787724902.7,1,0.0000,0.0000,0.0000,26665
1787724903.7,0,0.0000,0.0000,0.0000,24879
1787724903.7,1,0.0000,0.0000,0.0000,26665
1787724904.7,0,0.0000,0.0000,0.0000,24879
1787724904.7,1,0.0000,0.0000,0.0000,26665
1787724905.7,0,0.0000,0.0000,0.0000,24879
1787724905.7,1,0.0000,0.0000,0.0000,26665
1787724906.7,0,0.0000,0.0000,0.0000,24879
1787724906.7,1,0.0000,0.0000,0.0000,26665
1787724907.7,0,0.0000,0.0000,0.0000,24879
1787724907.7,1,0.0000,0.0000,0.0000,27168
1787724908.7,0,0.2860,0.0390,0.0390,24879
1787724908.7,1,0.0000,0.0000,0.0000,27168
1787724909.7,0,0.1930,0.0270,0.0270,24883
1787724909.7,1,0.4690,0.0650,0.0910,31712
1787724910.7,0,0.2770,0.0380,0.0380,24883
1787724910.7,1,0.1320,0.0270,0.0750,31716
1787724911.7,0,0.6900,0.0970,0.0970,25383
1787724911.7,1,0.1310,0.0330,0.0510,31716
1787724912.7,0,0.4390,0.0630,0.0620,25383
1787724912.7,1,0.1650,0.0410,0.0640,31716
1787724913.7,0,0.4760,0.0660,0.0660,25383
1787724913.7,1,0.2050,0.0410,0.1190,31716
1787724914.7,0,0.0000,0.0000,0.0000,25383
1787724914.7,1,0.2300,0.0380,0.1340,31718
1787724915.7,0,0.4760,0.0660,0.0660,25383
1787724915.7,1,0.3010,0.0570,0.0790,31718
1787724916.7,0,0.4700,0.0650,0.0650,25383
1787724916.7,1,0.4280,0.0680,0.1480,31718
1787724917.7,0,0.0260,0.0040,0.0040,25383
1787724917.7,1,0.6030,0.0920,0.1760,31718
1787724918.7,0,0.4480,0.0620,0.0630,25383
1787724918.7,1,0.3850,0.0670,0.0900,31718
1787724919.7,0,0.0000,0.0000,0.0000,25383
1787724919.7,1,0.3450,0.0570,0.1370,31718
1787724920.7,0,0.0000,0.0000,0.0000,25383
1787724920.7,1,0.1480,0.0380,0.0590,31718
1787724921.7,0,0.0000,0.0000,0.0000,25383
1787724921.7,1,0.1400,0.0350,0.0520,31718
1787724922.7,0,0.0000,0.0000,0.0000,25383
1787724922.7,1,0.1600,0.0410,0.0580,31718
1787724923.7,0,0.3750,0.0510,0.0510,25383
1787724923.7,1,0.1610,0.0410,0.0580,31718
1787724924.7,0,0.1050,0.0150,0.0150,25383
1787724924.7,1,0.5920,0.0880,0.1640,31718
1787724925.7,0,0.0000,0.0000,0.0000,25383
1787724925.7,1,0.1460,0.0360,0.0620,31718
1787724926.7,0,0.0000,0.0000,0.0000,25383
1787724926.7,1,0.1380,0.0350,0.0520,31718
1787724927.7,0,0.0000,0.0000,0.0000,25383
1787724927.7,1,0.1640,0.0420,0.0590,31718
1787724928.7,0,0.0000,0.0000,0.0000,25383
1787724928.7,1,0.1410,0.0360,0.0510,31718
1787724929.7,0,0.0000,0.0000,0.0000,25383
1787724929.7,1,0.1640,0.0420,0.0590,31718
1787724930.8,0,0.0000,0.0000,0.0000,25383
1787724930.8,1,0.1410,0.0360,0.0510,31718
1787724931.8,0,0.0000,0.0000,0.0000,25383
1787724931.8,1,0.1640,0.0420,0.0590,31718
1787724932.8,0,0.0000,0.0000,0.0000,25383
1787724932.8,1,0.1430,0.0360,0.0510,31718
1787724933.8,0,0.0000,0.0000,0.0000,25383
1787724933.8,1,0.1620,0.0420,0.0580,31718
1787724934.8,0,0.0000,0.0000,0.0000,25383
1787724934.8,1,0.1510,0.0390,0.0550,31718
1787724935.8,0,0.2620,0.0360,0.0350,25383
1787724935.8,1,0.1540,0.0390,0.0540,31718
1787724936.8,0,0.2190,0.0310,0.0310,25383
1787724936.8,1,0.5310,0.0840,0.1030,31718
1787724937.8,0,0.0000,0.0000,0.0000,25383
1787724937.8,1,0.2180,0.0440,0.1240,31718
1787724938.8,0,0.0000,0.0000,0.0000,25383
1787724938.8,1,0.1490,0.0380,0.0590,31718
1787724939.8,0,0.0000,0.0000,0.0000,25383
1787724939.8,1,0.1410,0.0360,0.0510,31718
1787724940.8,0,0.0000,0.0000,0.0000,25383
1787724940.8,1,0.1640,0.0420,0.0590,31718
1787724941.8,0,0.0000,0.0000,0.0000,25383
1787724941.8,1,0.1450,0.0370,0.0520,31718
1787724942.8,0,0.6820,0.0960,0.0950,25383
1787724942.8,1,0.1600,0.0410,0.0580,31718
1787724943.8,0,0.2360,0.0340,0.0370,25383
1787724943.8,1,0.4580,0.0760,0.0940,31718
1787724944.8,0,0.0000,0.0000,0.0000,25383
1787724944.8,1,0.2890,0.0480,0.1310,31718
1787724945.8,0,0.0000,0.0000,0.0000,25383
1787724945.8,1,0.1480,0.0380,0.0590,31718
1787724946.8,0,0.2520,0.0340,0.0340,25383
1787724946.8,1,0.1510,0.0390,0.0580,31718
1787724947.8,0,0.6130,0.0850,0.0880,25383
1787724947.8,1,0.1450,0.0370,0.0510,31718
1787724948.8,0,0.0750,0.0110,0.0110,25383
1787724948.8,1,0.3720,0.0640,0.0830,31718
1787724949.8,0,0.4760,0.0660,0.0660,25383
1787724949.8,1,0.5300,0.0800,0.1690,31718
1787724950.8,0,0.2680,0.0370,0.0370,25383
1787724950.8,1,0.4350,0.0690,0.1490,31718
1787724951.8,0,0.2060,0.0290,0.0290,25383
1787724951.8,1,0.4780,0.0770,0.0990,31718
1787724952.8,0,0.0000,0.0000,0.0000,25383
1787724952.8,1,0.2530,0.0470,0.1290,31718
1787724953.8,0,0.0000,0.0000,0.0000,25383
1787724953.8,1,0.1490,0.0380,0.0590,31718
1787724954.8,0,0.0000,0.0000,0.0000,25383
1787724954.8,1,0.1390,0.0350,0.0510,31718
1787724955.8,0,0.0000,0.0000,0.0000,25383
1787724955.8,1,0.1640,0.0420,0.0590,31718
1787724956.8,0,0.0000,0.0000,0.0000,25383
1787724956.8,1,0.1410,0.0360,0.0510,31718
1787724957.8,0,0.5820,0.0800,0.0810,25383
1787724957.8,1,0.3200,0.0600,0.0780,31718
1787724958.8,0,0.6110,0.0840,0.0860,25383
1787724958.8,1,0.4350,0.0690,0.1490,31718
1787724959.8,0,0.2250,0.0320,0.0320,25383
1787724959.8,1,0.1520,0.0360,0.0650,31718
1787724960.8,0,0.0000,0.0000,0.0000,25383
1787724960.8,1,0.2310,0.0430,0.1310,31718
1787724961.8,0,0.4700,0.0650,0.0660,25383
1787724961.8,1,0.1480,0.0380,0.0590,31718
1787724962.8,0,0.8060,0.1130,0.1140,25383
1787724962.8,1,0.1430,0.0360,0.0510,31718
1787724963.8,0,0.2340,0.0330,0.0330,25383
1787724963.8,1,0.2260,0.0460,0.0720,31718
1787724964.8,0,0.3610,0.0500,0.0510,25383
1787724964.8,1,0.3750,0.0620,0.0880,31718
1787724965.8,0,0.4720,0.0650,0.0660,25383
1787724965.8,1,0.2430,0.0420,0.1350,31718
1787724966.8,0,0.0000,0.0000,0.0000,25383
1787724966.8,1,0.5660,0.0850,0.1650,31718
1787724967.8,0,0.0000,0.0000,0.0000,25383
1787724967.8,1,0.1490,0.0380,0.0590,31718
1787724968.8,0,0.2340,0.0320,0.0320,25383
1787724968.8,1,0.1500,0.0380,0.0580,31718
1787724969.8,0,0.2420,0.0340,0.0350,25383
1787724969.8,1,0.4580,0.0760,0.0930,31718
1787724970.8,0,0.4680,0.0650,0.0660,25383
1787724970.8,1,0.2850,0.0500,0.1330,31718
1787724971.8,0,0.4740,0.0650,0.0650,25383
1787724971.8,1,0.1390,0.0350,0.0530,31718
1787724972.8,0,0.0030,0.0010,0.0010,25383
1787724972.8,1,0.3510,0.0610,0.0800,31718
1787724973.8,0,0.0000,0.0000,0.0000,25383
1787724973.8,1,0.3340,0.0550,0.1370,31718
1787724974.8,0,0.4770,0.0660,0.0660,25383
1787724974.8,1,0.1790,0.0420,0.0640,31718
1787724975.8,0,0.0000,0.0000,0.0000,25383
1787724975.8,1,0.5360,0.0810,0.1540,31718
1787724976.8,0,0.0000,0.0000,0.0000,25383
1787724976.8,1,0.1460,0.0370,0.0580,31718
1787724977.8,0,0.3140,0.0430,0.0430,25383
1787724977.8,1,0.1530,0.0390,0.0590,31718
1787724978.8,0,0.1990,0.0280,0.0280,25383
1787724978.8,1,0.4630,0.0760,0.0940,31718
1787724979.8,0,0.4370,0.0610,0.0620,25383
1787724979.8,1,0.2680,0.0500,0.1230,31718
1787724980.8,0,0.4750,0.0660,0.0660,25383
1787724980.8,1,0.1460,0.0370,0.0590,31718
1787724981.8,0,0.4760,0.0660,0.0660,25383
1787724981.8,1,0.1410,0.0360,0.0510,31718
1787724982.8,0,0.0000,0.0000,0.0000,25383
1787724982.8,1,0.1520,0.0360,0.0610,31718
1787724983.8,0,0.0000,0.0000,0.0000,25383
1787724983.8,1,0.1480,0.0380,0.0590,31718
1787724984.8,0,0.0000,0.0000,0.0000,25383
1787724984.8,1,0.1300,0.0330,0.0520,31718
1787724985.8,0,0.0000,0.0000,0.0000,25383
1787724985.8,1,0.1770,0.0410,0.0710,31718
1787724986.8,0,0.0000,0.0000,0.0000,25383
1787724986.8,1,0.1970,0.0360,0.1180,31718
1787724987.8,0,0.0020,0.0010,0.0020,25385
1787724987.8,1,0.1380,0.0350,0.0520,31718
1787724988.8,0,0.0260,0.0040,0.0100,25385
1787724988.8,1,0.2970,0.0460,0.1890,31718
1787724989.8,0,0.0180,0.0020,0.0100,25385
1787724989.8,1,0.8330,0.0670,0.7310,31718
1787724990.8,0,0.0280,0.0050,0.0120,25385
1787724990.8,1,0.4900,0.0530,0.3840,31718
1787724991.8,0,0.0770,0.0080,0.0380,25385
1787724991.8,1,0.2410,0.0380,0.1380,31718
1787724992.8,0,0.0330,0.0020,0.0180,25385
1787724992.8,1,0.1940,0.0380,0.0770,31718
1787724993.8,0,0.0680,0.0050,0.0370,25385
1787724993.8,1,0.6720,0.0570,0.5540,31718
1787724994.8,0,0.0500,0.0040,0.0270,25385
1787724994.8,1,0.8410,0.0670,0.7280,31718
1787724995.8,0,0.0000,0.0000,0.0000,25385
1787724995.8,1,0.5260,0.0490,0.4250,31718
1787724996.8,0,0.0350,0.0030,0.0190,25385
1787724996.8,1,0.2810,0.0410,0.1710,31718
1787724997.8,0,0.0180,0.0020,0.0100,25385
1787724997.8,1,0.3800,0.0460,0.2490,31718
1787724998.8,0,0.0170,0.0010,0.0090,25385
1787724998.8,1,0.7030,0.0570,0.5790,31718
1787724999.8,0,0.0180,0.0020,0.0100,25385
1787724999.8,1,0.7060,0.0520,0.6700,31718
1787725000.8,0,0.0420,0.0040,0.0240,25385
1787725000.8,1,0.5610,0.0550,0.4420,31718
1787725001.8,0,0.0270,0.0020,0.0150,25385
