ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1787726147.4,0,0.0000,0.0000,0.0000,224
1787726147.4,1,0.0000,0.0000,0.0000,78
1787726148.4,0,0.0000,0.0000,0.0000,224
1787726148.4,1,0.0000,0.0000,0.0000,78
1787726149.4,0,0.0000,0.0000,0.0000,224
1787726149.4,1,0.0000,0.0000,0.0000,78
1787726150.4,0,0.0000,0.0000,0.0000,224
1787726150.4,1,0.0000,0.0000,0.0000,78
1787726151.4,0,0.0000,0.0000,0.0000,224
1787726151.4,1,0.0000,0.0000,0.0000,78
1787726152.4,0,0.0000,0.0000,0.0000,224
1787726152.4,1,0.0000,0.0000,0.0000,78
1787726153.4,0,0.0000,0.0000,0.0000,224
1787726153.4,1,0.0000,0.0000,0.0000,78
1787726154.4,0,0.0000,0.0000,0.0000,224
1787726154.4,1,0.0000,0.0000,0.0000,78
1787726155.4,0,0.0000,0.0000,0.0000,224
1787726155.4,1,0.0000,0.0000,0.0000,78
1787726156.4,0,0.0000,0.0000,0.0000,224
1787726156.4,1,0.0000,0.0000,0.0000,78
1787726157.4,0,0.0000,0.0000,0.0000,224
1787726157.4,1,0.0000,0.0000,0.0000,78
1787726158.4,0,0.0000,0.0000,0.0000,1137
1787726158.4,1,0.0000,0.0000,0.0000,751
1787726159.4,0,0.0000,0.0000,0.0000,16457
1787726159.4,1,0.0000,0.0000,0.0000,16071
1787726160.4,0,0.0000,0.0000,0.0030,16457
1787726160.4,1,0.0000,0.0000,0.0030,16071
1787726161.4,0,0.0000,0.0000,0.0050,16457
1787726161.4,1,0.0000,0.0000,0.0050,16071
1787726162.4,0,0.0000,0.0000,0.0010,16457
1787726162.4,1,0.0000,0.0000,0.0020,16071
1787726163.4,0,0.0000,0.0000,0.0000,16457
1787726163.4,1,0.0000,0.0000,0.0000,16071
1787726164.4,0,0.0000,0.0000,0.0000,16457
1787726164.4,1,0.0000,0.0000,0.0000,16071
1787726165.4,0,0.0000,0.0000,0.0000,16457
1787726165.4,1,0.0000,0.0000,0.0000,16071
1787726166.4,0,0.0000,0.0000,0.0000,17687
1787726166.4,1,0.0000,0.0000,0.0000,16141
1787726167.4,0,0.8470,0.1290,0.1250,21089
1787726167.4,1,0.1380,0.0210,0.0250,17343
1787726168.4,0,0.7560,0.1160,0.1120,21089
1787726168.4,1,0.0000,0.0000,0.0010,16143
1787726169.4,0,0.5200,0.0810,0.0830,21089
1787726169.4,1,0.0060,0.0030,0.0050,25383
1787726170.4,0,0.0000,0.0000,0.0030,16529
1787726170.4,1,0.5440,0.0730,0.1570,25363
1787726171.4,0,0.0160,0.0040,0.0060,27769
1787726171.4,1,0.4460,0.0480,0.2520,25493
1787726172.4,0,0.9840,0.1520,0.1500,27871
1787726172.4,1,0.4960,0.0510,0.2880,25541
1787726173.4,0,0.9840,0.1520,0.1510,27871
1787726173.4,1,0.0630,0.0090,0.0480,26721
1787726174.4,0,0.6720,0.0940,0.1960,23571
1787726174.4,1,0.0000,0.0000,0.0000,26721
1787726175.4,0,0.4620,0.0430,0.2590,23729
1787726175.4,1,0.0000,0.0000,0.0000,26721
1787726176.4,0,0.5260,0.0510,0.2730,23753
1787726176.4,1,0.0000,0.0000,0.0000,26721
1787726177.4,0,0.0270,0.0060,0.0150,24935
1787726177.4,1,0.0000,0.0000,0.0000,26721
1787726178.4,0,0.0000,0.0000,0.0000,24935
1787726178.4,1,0.0000,0.0000,0.0000,26721
1787726179.4,0,0.0000,0.0000,0.0000,24935
1787726179.4,1,0.0000,0.0000,0.0000,26721
1787726180.4,0,0.0000,0.0000,0.0000,24935
1787726180.4,1,0.0000,0.0000,0.0000,26721
1787726181.4,0,0.0000,0.0000,0.0000,24935
1787726181.4,1,0.0000,0.0000,0.0000,26721
1787726182.4,0,0.0000,0.0000,0.0000,24935
1787726182.4,1,0.0000,0.0000,0.0000,26721
1787726183.4,0,0.0000,0.0000,0.0000,24935
1787726183.4,1,0.0000,0.0000,0.0000,26721
1787726184.4,0,0.0000,0.0000,0.0000,24935
1787726184.4,1,0.0000,0.0000,0.0000,26721
1787726185.4,0,0.2720,0.0370,0.0370,24935
1787726185.4,1,0.0000,0.0000,0.0000,26721
1787726186.4,0,0.2050,0.0290,0.0290,24939
1787726186.4,1,0.4700,0.0610,0.1090,26729
1787726187.4,0,0.2890,0.0390,0.0400,24939
1787726187.4,1,0.0140,0.0020,0.0090,26729
