ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1787728920.9,0,0.0000,0.0000,0.0000,285
1787728920.9,1,0.0000,0.0000,0.0000,139
1787728921.9,0,0.0000,0.0000,0.0000,285
1787728921.9,1,0.0000,0.0000,0.0000,139
1787728922.9,0,0.0000,0.0000,0.0000,285
1787728922.9,1,0.0000,0.0000,0.0000,139
1787728923.9,0,0.0000,0.0000,0.0000,285
1787728923.9,1,0.0000,0.0000,0.0000,139
1787728924.9,0,0.0000,0.0000,0.0000,285
1787728924.9,1,0.0000,0.0000,0.0000,139
1787728925.9,0,0.0000,0.0000,0.0000,285
1787728925.9,1,0.0000,0.0000,0.0000,139
1787728926.9,0,0.0000,0.0000,0.0000,285
1787728926.9,1,0.0000,0.0000,0.0000,139
1787728927.9,0,0.0000,0.0000,0.0000,285
1787728927.9,1,0.0000,0.0000,0.0000,139
1787728928.9,0,0.0000,0.0000,0.0000,285
1787728928.9,1,0.0000,0.0000,0.0000,139
1787728929.9,0,0.0000,0.0000,0.0000,285
1787728929.9,1,0.0000,0.0000,0.0000,139
1787728930.9,0,0.0000,0.0000,0.0000,867
1787728930.9,1,0.0000,0.0000,0.0000,721
1787728931.9,0,0.0000,0.0000,0.0000,16517
1787728931.9,1,0.0000,0.0000,0.0000,16131
1787728932.9,0,0.0000,0.0000,0.0000,16517
1787728932.9,1,0.0000,0.0000,0.0000,16131
1787728933.9,0,0.0000,0.0000,0.0010,16517
1787728933.9,1,0.0000,0.0000,0.0010,16131
1787728934.9,0,0.0000,0.0000,0.0010,16517
1787728934.9,1,0.0000,0.0000,0.0020,16131
1787728935.9,0,0.0000,0.0000,0.0030,16517
1787728935.9,1,0.0000,0.0000,0.0030,16131
1787728936.9,0,0.0000,0.0000,0.0020,16517
1787728936.9,1,0.0000,0.0000,0.0020,16131
1787728937.9,0,0.0000,0.0000,0.0010,16517
1787728937.9,1,0.0000,0.0000,0.0010,16131
1787728938.9,0,0.0000,0.0000,0.0000,16517
1787728938.9,1,0.0000,0.0000,0.0000,16131
1787728939.9,0,0.0000,0.0000,0.0000,16517
1787728939.9,1,0.0000,0.0000,0.0000,16131
1787728940.9,0,0.0000,0.0000,0.0000,16517
1787728940.9,1,0.0000,0.0000,0.0000,16131
1787728941.9,0,0.0000,0.0000,0.0000,16517
1787728941.9,1,0.0000,0.0000,0.0000,16131
1787728942.9,0,0.3460,0.0530,0.0500,21147
1787728942.9,1,0.0630,0.0090,0.0090,16443
1787728943.9,0,0.7430,0.1140,0.1110,21149
1787728943.9,1,0.0780,0.0130,0.0170,16203
1787728944.9,0,0.9610,0.1470,0.1450,21149
1787728944.9,1,0.0000,0.0000,0.0000,16203
1787728945.9,0,0.0690,0.0120,0.0170,16589
1787728945.9,1,0.2190,0.0330,0.0500,26369
1787728946.9,0,0.0000,0.0000,0.0000,16589
1787728946.9,1,0.6090,0.0820,0.2410,26513
1787728947.9,0,0.4540,0.0710,0.0680,27931
1787728947.9,1,0.3970,0.0440,0.2390,26593
1787728948.9,0,0.9840,0.1530,0.1530,27931
1787728948.9,1,0.3580,0.0300,0.2240,27801
1787728949.9,0,0.8680,0.1280,0.1690,23593
1787728949.9,1,0.0000,0.0000,0.0000,27801
1787728950.9,0,0.5910,0.0760,0.2270,23713
1787728950.9,1,0.0000,0.0000,0.0000,27801
1787728951.9,0,0.5000,0.0520,0.2610,23799
1787728951.9,1,0.0000,0.0000,0.0000,27801
1787728952.9,0,0.2780,0.0240,0.1720,24995
1787728952.9,1,0.0000,0.0000,0.0000,27801
1787728953.9,0,0.0000,0.0000,0.0000,24995
1787728953.9,1,0.0000,0.0000,0.0000,27801
1787728954.9,0,0.0000,0.0000,0.0000,24995
1787728954.9,1,0.0000,0.0000,0.0000,27801
1787728955.9,0,0.0000,0.0000,0.0000,24995
1787728955.9,1,0.0000,0.0000,0.0000,27801
1787728956.9,0,0.0000,0.0000,0.0000,24995
1787728956.9,1,0.0000,0.0000,0.0000,27801
1787728957.9,0,0.0000,0.0000,0.0000,24995
1787728957.9,1,0.0000,0.0000,0.0000,27801
1787728958.9,0,0.0000,0.0000,0.0000,24995
1787728958.9,1,0.0000,0.0000,0.0000,27801
1787728959.9,0,0.0000,0.0000,0.0000,24995
1787728959.9,1,0.0000,0.0000,0.0000,28298
1787728960.9,0,0.2320,0.0320,0.0310,24995
1787728960.9,1,0.0000,0.0000,0.0000,28572
1787728961.9,0,0.2440,0.0340,0.0350,24999
1787728961.9,1,0.4310,0.0580,0.0600,30114
1787728962.9,0,0.2490,0.0340,0.0340,24999
1787728962.9,1,0.4370,0.1160,0.1960,30114
1787728963.9,0,0.5610,0.0780,0.0790,25499
1787728963.9,1,0.1670,0.0490,0.0610,30114
1787728964.9,0,0.5840,0.0830,0.0850,25499
1787728964.9,1,0.0040,0.0010,0.0010,30114
1787728965.9,0,0.4680,0.0650,0.0660,25499
1787728965.9,1,0.4180,0.1080,0.1950,30114
1787728966.9,0,0.0000,0.0000,0.0000,25499
1787728966.9,1,0.4490,0.0590,0.0840,30114
1787728967.9,0,0.4660,0.0650,0.0660,25499
1787728967.9,1,0.3070,0.0500,0.1090,30114
1787728968.9,0,0.4720,0.0650,0.0650,25499
1787728968.9,1,0.3680,0.0570,0.1250,30114
1787728969.9,0,0.0050,0.0010,0.0010,25499
1787728969.9,1,0.6310,0.1050,0.1830,30114
1787728970.9,0,0.4660,0.0650,0.0660,25499
1787728970.9,1,0.2960,0.0430,0.0480,30114
1787728971.9,0,0.0000,0.0000,0.0000,25499
1787728971.9,1,0.6260,0.1470,0.2390,30114
1787728972.9,0,0.0000,0.0000,0.0000,25499
1787728972.9,1,0.5560,0.1610,0.2010,30114
1787728973.9,0,0.0000,0.0000,0.0000,25499
1787728973.9,1,0.5560,0.1620,0.2010,30114
1787728974.9,0,0.0000,0.0000,0.0000,25499
1787728974.9,1,0.5690,0.1650,0.2060,30114
1787728975.9,0,0.3510,0.0480,0.0480,25499
1787728975.9,1,0.3810,0.1110,0.1380,30114
1787728976.9,0,0.1300,0.0190,0.0190,25499
1787728976.9,1,0.5460,0.0810,0.1520,30114
1787728977.9,0,0.0000,0.0000,0.0000,25499
1787728977.9,1,0.5580,0.1620,0.2020,30114
1787728978.9,0,0.0000,0.0000,0.0000,25499
1787728978.9,1,0.5560,0.1620,0.2010,30114
1787728979.9,0,0.0000,0.0000,0.0000,25499
1787728979.9,1,0.5570,0.1620,0.2010,30114
1787728980.9,0,0.0000,0.0000,0.0000,25499
1787728980.9,1,0.5570,0.1620,0.2010,30114
1787728981.9,0,0.0000,0.0000,0.0000,25499
1787728981.9,1,0.5670,0.1650,0.2050,30114
1787728982.9,0,0.0000,0.0000,0.0000,25499
1787728982.9,1,0.5800,0.1680,0.2100,30114
1787728983.9,0,0.0000,0.0000,0.0000,25499
1787728983.9,1,0.5820,0.1690,0.2110,30114
1787728984.9,0,0.0000,0.0000,0.0000,25499
1787728984.9,1,0.5810,0.1690,0.2100,30114
1787728985.9,0,0.0000,0.0000,0.0000,25499
1787728985.9,1,0.5820,0.1690,0.2110,30114
1787728986.9,0,0.0000,0.0000,0.0000,25499
1787728986.9,1,0.5810,0.1690,0.2100,30114
1787728987.9,0,0.2330,0.0320,0.0320,25499
