ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1787729277.6,0,0.0000,0.0000,0.0000,285
1787729277.6,1,0.0000,0.0000,0.0000,139
1787729278.6,0,0.0000,0.0000,0.0000,285
1787729278.6,1,0.0000,0.0000,0.0000,139
1787729279.6,0,0.0000,0.0000,0.0000,285
1787729279.6,1,0.0000,0.0000,0.0000,139
1787729280.6,0,0.0000,0.0000,0.0000,285
1787729280.6,1,0.0000,0.0000,0.0000,139
1787729281.6,0,0.0000,0.0000,0.0000,285
1787729281.6,1,0.0000,0.0000,0.0000,139
1787729282.6,0,0.0000,0.0000,0.0000,285
1787729282.6,1,0.0000,0.0000,0.0000,139
1787729283.6,0,0.0000,0.0000,0.0000,285
1787729283.6,1,0.0000,0.0000,0.0000,139
1787729284.6,0,0.0000,0.0000,0.0000,285
1787729284.6,1,0.0000,0.0000,0.0000,139
1787729285.6,0,0.0000,0.0000,0.0000,285
1787729285.6,1,0.0000,0.0000,0.0000,139
1787729286.6,0,0.0000,0.0000,0.0000,285
1787729286.6,1,0.0000,0.0000,0.0000,139
1787729287.6,0,0.0000,0.0000,0.0000,311
1787729287.6,1,0.0000,0.0000,0.0000,165
1787729288.6,0,0.0000,0.0000,0.0000,16517
1787729288.6,1,0.0000,0.0000,0.0000,16131
1787729289.6,0,0.0000,0.0000,0.0000,16517
1787729289.6,1,0.0000,0.0000,0.0010,16131
1787729290.6,0,0.0000,0.0000,0.0020,16517
1787729290.6,1,0.0000,0.0000,0.0020,16131
1787729291.6,0,0.0000,0.0000,0.0010,16517
1787729291.6,1,0.0000,0.0000,0.0010,16131
1787729292.6,0,0.0000,0.0000,0.0010,16517
1787729292.6,1,0.0000,0.0000,0.0010,16131
1787729293.6,0,0.0000,0.0000,0.0010,16517
1787729293.6,1,0.0000,0.0000,0.0010,16131
1787729294.6,0,0.0000,0.0000,0.0010,16517
1787729294.6,1,0.0000,0.0000,0.0010,16131
1787729295.6,0,0.0000,0.0000,0.0010,16517
1787729295.6,1,0.0000,0.0000,0.0010,16131
1787729296.6,0,0.0000,0.0000,0.0010,16517
1787729296.6,1,0.0000,0.0000,0.0010,16131
1787729297.6,0,0.0000,0.0000,0.0010,16517
1787729297.6,1,0.0000,0.0000,0.0010,16131
1787729298.6,0,0.0000,0.0000,0.0000,16517
1787729298.6,1,0.0000,0.0000,0.0000,16131
1787729299.6,0,0.0000,0.0000,0.0000,16517
1787729299.6,1,0.0000,0.0000,0.0000,16131
1787729300.6,0,0.0000,0.0000,0.0000,16517
1787729300.6,1,0.0000,0.0000,0.0000,16131
1787729301.6,0,0.0000,0.0000,0.0000,16517
1787729301.6,1,0.0000,0.0000,0.0000,16131
1787729302.6,0,0.7770,0.1190,0.1150,21149
1787729302.6,1,0.1380,0.0210,0.0250,17403
1787729303.6,0,0.7410,0.1130,0.1120,21149
1787729303.6,1,0.0000,0.0000,0.0010,16203
1787729304.6,0,0.5860,0.0910,0.0940,21149
1787729304.6,1,0.0000,0.0000,0.0000,26223
1787729305.6,0,0.0000,0.0000,0.0030,16589
1787729305.6,1,0.3940,0.0540,0.1080,26423
1787729306.6,0,0.0040,0.0020,0.0040,23409
1787729306.6,1,0.5510,0.0680,0.2630,26547
1787729307.6,0,0.8890,0.1370,0.1330,27931
1787729307.6,1,0.4380,0.0470,0.2510,26613
1787729308.6,0,0.9840,0.1530,0.1550,27931
