ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1787730970.8,0,0.0000,0.0000,0.0000,285
1787730970.8,1,0.0000,0.0000,0.0000,138
1787730971.8,0,0.0000,0.0000,0.0000,285
1787730971.8,1,0.0000,0.0000,0.0000,138
1787730972.8,0,0.0000,0.0000,0.0000,285
1787730972.8,1,0.0000,0.0000,0.0000,138
1787730973.8,0,0.0000,0.0000,0.0000,285
1787730973.8,1,0.0000,0.0000,0.0000,138
1787730974.8,0,0.0000,0.0000,0.0000,285
1787730974.8,1,0.0000,0.0000,0.0000,138
1787730975.8,0,0.0000,0.0000,0.0000,285
1787730975.8,1,0.0000,0.0000,0.0000,138
1787730976.8,0,0.0000,0.0000,0.0000,285
1787730976.8,1,0.0000,0.0000,0.0000,138
1787730977.8,0,0.0000,0.0000,0.0000,285
1787730977.8,1,0.0000,0.0000,0.0000,138
1787730978.8,0,0.0000,0.0000,0.0000,285
1787730978.8,1,0.0000,0.0000,0.0000,138
1787730979.8,0,0.0000,0.0000,0.0000,285
1787730979.8,1,0.0000,0.0000,0.0000,138
1787730980.8,0,0.0000,0.0000,0.0000,865
1787730980.8,1,0.0000,0.0000,0.0000,719
1787730981.8,0,0.0000,0.0000,0.0000,16517
1787730981.8,1,0.0000,0.0000,0.0000,16131
1787730982.8,0,0.0000,0.0000,0.0010,16517
1787730982.8,1,0.0000,0.0000,0.0010,16131
1787730983.8,0,0.0000,0.0000,0.0020,16517
1787730983.8,1,0.0000,0.0000,0.0020,16131
1787730984.8,0,0.0000,0.0000,0.0030,16517
1787730984.8,1,0.0000,0.0000,0.0030,16131
1787730985.8,0,0.0000,0.0000,0.0020,16517
1787730985.8,1,0.0000,0.0000,0.0020,16131
1787730986.8,0,0.0000,0.0000,0.0000,16517
1787730986.8,1,0.0000,0.0000,0.0000,16131
1787730987.8,0,0.0000,0.0000,0.0000,16517
1787730987.8,1,0.0000,0.0000,0.0000,16131
1787730988.8,0,0.0000,0.0000,0.0000,16517
1787730988.8,1,0.0000,0.0000,0.0000,16131
1787730989.8,0,0.0000,0.0000,0.0000,16517
1787730989.8,1,0.0000,0.0000,0.0000,16131
1787730990.8,0,0.0000,0.0000,0.0000,16517
1787730990.8,1,0.0000,0.0000,0.0000,16131
1787730991.8,0,0.6020,0.0920,0.0870,21149
1787730991.8,1,0.1180,0.0170,0.0170,17403
1787730992.8,0,0.7330,0.1120,0.1110,21149
1787730992.8,1,0.0220,0.0050,0.0090,16203
1787730993.8,0,0.7730,0.1200,0.1230,21149
1787730993.8,1,0.0000,0.0000,0.0000,16203
1787730994.8,0,0.0000,0.0000,0.0030,16589
1787730994.8,1,0.3540,0.0490,0.0930,26405
1787730995.8,0,0.0000,0.0000,0.0000,23409
1787730995.8,1,0.5620,0.0710,0.2580,26529
1787730996.8,0,0.7120,0.1110,0.1080,27931
1787730996.8,1,0.4140,0.0450,0.2370,26599
1787730997.8,0,0.9840,0.1530,0.1530,27931
1787730997.8,1,0.2380,0.0210,0.1620,27801
1787730998.8,0,0.7880,0.1140,0.1790,23613
1787730998.8,1,0.0000,0.0000,0.0000,27801
1787730999.8,0,0.5410,0.0590,0.2500,23743
1787730999.8,1,0.0000,0.0000,0.0000,27801
1787731000.8,0,0.5240,0.0540,0.2690,23811
1787731000.8,1,0.0000,0.0000,0.0000,27801
1787731001.8,0,0.1270,0.0130,0.0900,24995
1787731001.8,1,0.0000,0.0000,0.0000,27801
1787731002.8,0,0.0000,0.0000,0.0000,24995
1787731002.8,1,0.0000,0.0000,0.0000,27801
1787731003.8,0,0.0000,0.0000,0.0000,24995
1787731003.8,1,0.0000,0.0000,0.0000,27801
1787731004.8,0,0.0000,0.0000,0.0000,24995
1787731004.8,1,0.0000,0.0000,0.0000,27801
1787731005.8,0,0.0000,0.0000,0.0000,24995
1787731005.8,1,0.0000,0.0000,0.0000,27801
1787731006.8,0,0.0000,0.0000,0.0000,24995
1787731006.8,1,0.0000,0.0000,0.0000,27801
1787731007.8,0,0.0000,0.0000,0.0000,24995
1787731007.8,1,0.0000,0.0000,0.0000,28310
1787731008.8,0,0.2940,0.0400,0.0400,24995
1787731008.8,1,0.0000,0.0000,0.0000,28584
1787731009.8,0,0.1850,0.0260,0.0270,24999
1787731009.8,1,0.4730,0.0630,0.1020,30112
1787731010.8,0,0.3050,0.0420,0.0420,24999
1787731010.8,1,0.3630,0.1010,0.1430,30126
1787731011.8,0,0.5950,0.0830,0.0840,25499
1787731011.8,1,0.1370,0.0400,0.0510,30126
1787731012.8,0,0.5030,0.0720,0.0720,25499
1787731012.8,1,0.0040,0.0010,0.0020,30126
1787731013.8,0,0.4730,0.0650,0.0660,25499
1787731013.8,1,0.1700,0.0360,0.1050,30126
1787731014.8,0,0.0000,0.0000,0.0000,25499
1787731014.8,1,0.4190,0.0560,0.0640,30126
1787731015.8,0,0.4690,0.0650,0.0660,25499
1787731015.8,1,0.6290,0.1320,0.2290,30126
