ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1787731273.3,0,0.0000,0.0000,0.0000,285
1787731273.3,1,0.0000,0.0000,0.0000,139
1787731274.3,0,0.0000,0.0000,0.0000,285
1787731274.3,1,0.0000,0.0000,0.0000,139
1787731275.3,0,0.0000,0.0000,0.0000,285
1787731275.3,1,0.0000,0.0000,0.0000,139
1787731276.3,0,0.0000,0.0000,0.0000,285
1787731276.3,1,0.0000,0.0000,0.0000,139
1787731277.3,0,0.0000,0.0000,0.0000,285
1787731277.3,1,0.0000,0.0000,0.0000,139
1787731278.3,0,0.0000,0.0000,0.0000,285
1787731278.3,1,0.0000,0.0000,0.0000,139
1787731279.3,0,0.0000,0.0000,0.0000,285
1787731279.3,1,0.0000,0.0000,0.0000,139
1787731280.3,0,0.0000,0.0000,0.0000,285
1787731280.3,1,0.0000,0.0000,0.0000,139
1787731281.3,0,0.0000,0.0000,0.0000,285
1787731281.3,1,0.0000,0.0000,0.0000,139
1787731282.3,0,0.0000,0.0000,0.0000,285
1787731282.3,1,0.0000,0.0000,0.0000,139
1787731283.3,0,0.0000,0.0000,0.0000,865
1787731283.3,1,0.0000,0.0000,0.0000,719
1787731284.3,0,0.0000,0.0000,0.0000,16517
1787731284.3,1,0.0000,0.0000,0.0000,16131
1787731285.3,0,0.0000,0.0000,0.0010,16517
1787731285.3,1,0.0000,0.0000,0.0010,16131
1787731286.3,0,0.0000,0.0000,0.0010,16517
1787731286.3,1,0.0000,0.0000,0.0010,16131
1787731287.3,0,0.0000,0.0000,0.0010,16517
1787731287.3,1,0.0000,0.0000,0.0010,16131
1787731288.3,0,0.0000,0.0000,0.0010,16517
1787731288.3,1,0.0000,0.0000,0.0010,16131
1787731289.3,0,0.0000,0.0000,0.0010,16517
1787731289.3,1,0.0000,0.0000,0.0010,16131
1787731290.3,0,0.0000,0.0000,0.0010,16517
1787731290.3,1,0.0000,0.0000,0.0010,16131
1787731291.3,0,0.0000,0.0000,0.0010,16517
1787731291.3,1,0.0000,0.0000,0.0010,16131
1787731292.3,0,0.0000,0.0000,0.0020,16517
