ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1787726903.0,0,0.0000,0.0000,0.0020,224
1787726903.0,1,0.0000,0.0000,0.0000,78
1787726904.0,0,0.0000,0.0000,0.0000,224
1787726904.0,1,0.0000,0.0000,0.0000,78
1787726905.0,0,0.0000,0.0000,0.0000,224
1787726905.0,1,0.0000,0.0000,0.0000,78
1787726906.0,0,0.0000,0.0000,0.0000,224
1787726906.0,1,0.0000,0.0000,0.0000,78
1787726907.0,0,0.0000,0.0000,0.0000,224
1787726907.0,1,0.0000,0.0000,0.0000,78
1787726908.0,0,0.0000,0.0000,0.0000,224
1787726908.0,1,0.0000,0.0000,0.0000,78
1787726909.0,0,0.0000,0.0000,0.0000,224
1787726909.0,1,0.0000,0.0000,0.0000,78
1787726910.0,0,0.0000,0.0000,0.0000,224
1787726910.0,1,0.0000,0.0000,0.0000,78
1787726911.0,0,0.0000,0.0000,0.0000,224
1787726911.0,1,0.0000,0.0000,0.0000,78
1787726912.0,0,0.0000,0.0000,0.0000,224
1787726912.0,1,0.0000,0.0000,0.0000,78
1787726913.0,0,0.0000,0.0000,0.0000,224
1787726913.0,1,0.0000,0.0000,0.0000,78
1787726914.0,0,0.0000,0.0000,0.0000,1137
1787726914.0,1,0.0000,0.0000,0.0000,751
1787726915.0,0,0.0000,0.0000,0.0000,16457
1787726915.0,1,0.0000,0.0000,0.0000,16071
1787726916.0,0,0.0000,0.0000,0.0020,16457
1787726916.0,1,0.0000,0.0000,0.0020,16071
1787726917.0,0,0.0000,0.0000,0.0010,16457
1787726917.0,1,0.0000,0.0000,0.0010,16071
1787726918.0,0,0.0000,0.0000,0.0010,16457
1787726918.0,1,0.0000,0.0000,0.0010,16071
1787726919.0,0,0.0000,0.0000,0.0040,16457
1787726919.0,1,0.0000,0.0000,0.0040,16071
1787726920.0,0,0.0000,0.0000,0.0010,16457
1787726920.0,1,0.0000,0.0000,0.0010,16071
1787726921.0,0,0.0000,0.0000,0.0000,16457
1787726921.0,1,0.0000,0.0000,0.0000,16071
1787726922.0,0,0.0000,0.0000,0.0000,16457
1787726922.0,1,0.0000,0.0000,0.0000,16071
1787726923.0,0,0.0000,0.0000,0.0000,16457
1787726923.0,1,0.0000,0.0000,0.0000,16071
1787726924.0,0,0.0000,0.0000,0.0000,20387
1787726924.0,1,0.0000,0.0000,0.0000,16381
1787726925.0,0,0.8830,0.1350,0.1300,21089
1787726925.0,1,0.1380,0.0210,0.0250,17343
1787726926.0,0,0.7510,0.1140,0.1100,21089
1787726926.0,1,0.0000,0.0000,0.0010,16143
1787726927.0,0,0.4970,0.0780,0.0810,21089
1787726927.0,1,0.0070,0.0030,0.0060,26423
1787726928.0,0,0.0000,0.0000,0.0030,16529
1787726928.0,1,0.5270,0.0710,0.1500,26383
1787726929.0,0,0.0040,0.0020,0.0040,27769
1787726929.0,1,0.4740,0.0510,0.2660,26513
1787726930.0,0,0.9760,0.1510,0.1480,27871
1787726930.0,1,0.4850,0.0510,0.2770,26561
1787726931.0,0,0.9830,0.1530,0.1530,27871
1787726931.0,1,0.0670,0.0090,0.0510,27741
1787726932.0,0,0.6770,0.0940,0.1960,23571
1787726932.0,1,0.0000,0.0000,0.0000,27741
