ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1788482212.4,0,0.0000,0.0000,0.0000,164
1788482212.4,1,0.0000,0.0000,0.0000,17
1788482213.4,0,0.0000,0.0000,0.0000,164
1788482213.4,1,0.0000,0.0000,0.0000,17
1788482214.4,0,0.0000,0.0000,0.0000,164
1788482214.4,1,0.0000,0.0000,0.0000,17
1788482215.4,0,0.0000,0.0000,0.0000,164
1788482215.4,1,0.0000,0.0000,0.0000,17
1788482216.4,0,0.0000,0.0000,0.0000,164
1788482216.4,1,0.0000,0.0000,0.0000,17
1788482217.4,0,0.0000,0.0000,0.0000,164
1788482217.4,1,0.0000,0.0000,0.0000,17
1788482218.4,0,0.0000,0.0000,0.0000,164
1788482218.4,1,0.0000,0.0000,0.0000,17
1788482219.4,0,0.0000,0.0000,0.0000,164
1788482219.4,1,0.0000,0.0000,0.0000,17
1788482220.4,0,0.0000,0.0000,0.0000,164
1788482220.4,1,0.0000,0.0000,0.0000,17
1788482221.4,0,0.0000,0.0000,0.0000,164
1788482221.4,1,0.0000,0.0000,0.0000,17
1788482222.4,0,0.0000,0.0000,0.0000,1081
1788482222.4,1,0.0000,0.0000,0.0000,695
1788482223.4,0,0.0000,0.0000,0.0000,16401
1788482223.4,1,0.0000,0.0000,0.0000,16015
1788482224.4,0,0.0000,0.0000,0.0010,16401
1788482224.4,1,0.0000,0.0000,0.0010,16015
1788482225.4,0,0.0000,0.0000,0.0010,16401
1788482225.4,1,0.0000,0.0000,0.0010,16015
1788482226.4,0,0.0000,0.0000,0.0010,16401
1788482226.4,1,0.0000,0.0000,0.0010,16015
1788482227.4,0,0.0000,0.0000,0.0050,16401
1788482227.4,1,0.0000,0.0000,0.0040,16015
1788482228.4,0,0.0000,0.0000,0.0020,16401
1788482228.4,1,0.0000,0.0000,0.0020,16015
1788482229.4,0,0.0000,0.0000,0.0000,16401
1788482229.4,1,0.0000,0.0000,0.0000,16015
1788482230.4,0,0.0000,0.0000,0.0000,16401
1788482230.4,1,0.0000,0.0000,0.0000,16015
1788482231.4,0,0.0000,0.0000,0.0000,16401
1788482231.4,1,0.0000,0.0000,0.0000,16015
1788482232.4,0,0.4160,0.0630,0.0600,21031
1788482232.4,1,0.0630,0.0090,0.0090,16327
1788482233.4,0,0.7470,0.1140,0.1110,21033
1788482233.4,1,0.0720,0.0120,0.0170,16087
1788482234.4,0,0.9540,0.1460,0.1450,21033
1788482234.4,1,0.0000,0.0000,0.0000,16087
1788482235.4,0,0.0070,0.0020,0.0080,16473
1788482235.4,1,0.2300,0.0330,0.0560,26297
1788482236.4,0,0.0000,0.0000,0.0000,16473
1788482236.4,1,0.5960,0.0800,0.2410,26403
1788482237.4,0,0.4600,0.0710,0.0690,27815
1788482237.4,1,0.4010,0.0440,0.2410,26487
1788482238.4,0,0.9840,0.1530,0.1520,27815
1788482238.4,1,0.3030,0.0260,0.2130,27685
1788482239.4,0,0.8670,0.1270,0.1700,23455
1788482239.4,1,0.0000,0.0000,0.0000,27685
1788482240.4,0,0.5790,0.0750,0.2200,23593
1788482240.4,1,0.0000,0.0000,0.0000,27685
1788482241.4,0,0.5080,0.0530,0.2640,23681
1788482241.4,1,0.0000,0.0000,0.0000,27685
1788482242.4,0,0.2800,0.0250,0.1720,24879
1788482242.4,1,0.0000,0.0000,0.0000,27685
1788482243.4,0,0.0000,0.0000,0.0000,24879
1788482243.4,1,0.0000,0.0000,0.0000,27685
1788482244.4,0,0.0000,0.0000,0.0000,24879
1788482244.4,1,0.0000,0.0000,0.0000,27685
1788482245.4,0,0.0000,0.0000,0.0000,24879
1788482245.4,1,0.0000,0.0000,0.0000,27685
1788482246.4,0,0.0000,0.0000,0.0000,24879
1788482246.4,1,0.0000,0.0000,0.0000,27685
1788482247.4,0,0.0000,0.0000,0.0000,24879
1788482247.4,1,0.0000,0.0000,0.0000,27685
1788482248.4,0,0.0000,0.0000,0.0000,24879
1788482248.4,1,0.0000,0.0000,0.0000,27685
1788482249.4,0,0.0000,0.0000,0.0000,24879
1788482249.4,1,0.0000,0.0000,0.0000,27685
1788482250.4,0,0.0000,0.0000,0.0000,24879
1788482250.4,1,0.0000,0.0000,0.0000,27685
1788482251.4,0,0.0000,0.0000,0.0000,24879
1788482251.4,1,0.0000,0.0000,0.0000,27685
1788482252.4,0,0.0000,0.0000,0.0000,24879
1788482252.4,1,0.0000,0.0000,0.0000,27685
1788482253.4,0,0.0000,0.0000,0.0000,24879
1788482253.4,1,0.0000,0.0000,0.0000,27685
1788482254.4,0,0.0000,0.0000,0.0000,24879
1788482254.4,1,0.0000,0.0000,0.0000,27685
1788482255.4,0,0.0000,0.0000,0.0000,24879
1788482255.4,1,0.0000,0.0000,0.0000,27685
1788482256.4,0,0.0000,0.0000,0.0000,24879
1788482256.4,1,0.0000,0.0000,0.0000,27685
1788482257.4,0,0.0000,0.0000,0.0000,24879
1788482257.4,1,0.0000,0.0000,0.0000,27685
1788482258.4,0,0.0000,0.0000,0.0000,24879
1788482258.4,1,0.0000,0.0000,0.0000,28270
1788482259.4,0,0.0000,0.0000,0.0000,24879
1788482259.4,1,0.0000,0.0000,0.0010,29302
1788482260.4,0,0.0000,0.0000,0.0000,24879
1788482260.4,1,0.0000,0.0000,0.0000,29302
1788482261.4,0,0.0000,0.0000,0.0000,24879
1788482261.4,1,0.0000,0.0000,0.0000,29302
1788482262.4,0,0.0000,0.0000,0.0000,24879
1788482262.4,1,0.0000,0.0000,0.0000,29302
1788482263.4,0,0.0000,0.0000,0.0000,24879
1788482263.4,1,0.0100,0.0020,0.0030,29794
1788482264.4,0,0.0000,0.0000,0.0000,24879
1788482264.4,1,0.0000,0.0000,0.0000,29334
1788482265.4,0,0.0000,0.0000,0.0000,24879
1788482265.4,1,0.0220,0.0030,0.0090,30502
1788482266.4,0,0.0000,0.0000,0.0000,24879
1788482266.4,1,0.0110,0.0010,0.0060,30972
1788482267.4,0,0.0000,0.0000,0.0000,24879
1788482267.4,1,0.0000,0.0000,0.0000,30972
1788482268.4,0,0.0000,0.0000,0.0000,24879
1788482268.4,1,0.0000,0.0000,0.0000,30972
1788482269.4,0,0.0000,0.0000,0.0000,24879
1788482269.4,1,0.0000,0.0000,0.0000,30972
1788482270.4,0,0.6530,0.0890,0.0160,24879
1788482270.4,1,0.0000,0.0000,0.0000,30972
1788482271.4,0,0.3510,0.0490,0.0500,24883
1788482271.4,1,0.4170,0.0560,0.0570,30980
1788482272.4,0,0.1230,0.0170,0.0170,24883
1788482272.4,1,0.0820,0.0100,0.0640,30980
1788482273.4,0,0.6680,0.0930,0.0950,25383
1788482273.4,1,0.0000,0.0000,0.0000,30980
1788482274.4,0,0.6020,0.0860,0.0860,25383
1788482274.4,1,0.0010,0.0000,0.0010,30980
1788482275.4,0,0.4670,0.0650,0.0660,25383
1788482275.4,1,0.0820,0.0090,0.0720,30980
1788482276.4,0,0.0000,0.0000,0.0000,25383
