ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1788482536.3,0,0.0000,0.0000,0.0000,164
1788482536.3,1,0.0000,0.0000,0.0000,17
1788482537.3,0,0.0000,0.0000,0.0000,164
1788482537.3,1,0.0000,0.0000,0.0000,17
1788482538.3,0,0.0000,0.0000,0.0000,164
1788482538.3,1,0.0000,0.0000,0.0000,17
1788482539.3,0,0.0000,0.0000,0.0000,164
1788482539.3,1,0.0000,0.0000,0.0000,17
1788482540.3,0,0.0000,0.0000,0.0000,164
1788482540.3,1,0.0000,0.0000,0.0000,17
1788482541.3,0,0.0000,0.0000,0.0000,164
1788482541.3,1,0.0000,0.0000,0.0000,17
1788482542.3,0,0.0000,0.0000,0.0000,164
1788482542.3,1,0.0000,0.0000,0.0000,17
1788482543.3,0,0.0000,0.0000,0.0000,164
1788482543.3,1,0.0000,0.0000,0.0000,17
1788482544.3,0,0.0000,0.0000,0.0000,164
1788482544.3,1,0.0000,0.0000,0.0000,17
1788482545.3,0,0.0000,0.0000,0.0000,164
1788482545.3,1,0.0000,0.0000,0.0000,17
1788482546.3,0,0.0000,0.0000,0.0000,164
1788482546.3,1,0.0000,0.0000,0.0000,17
1788482547.3,0,0.0000,0.0000,0.0000,2181
1788482547.3,1,0.0000,0.0000,0.0000,1795
1788482548.3,0,0.0000,0.0000,0.0010,16401
1788482548.3,1,0.0000,0.0000,0.0020,16015
1788482549.3,0,0.0000,0.0000,0.0010,16401
1788482549.3,1,0.0000,0.0000,0.0010,16015
1788482550.3,0,0.0000,0.0000,0.0010,16401
1788482550.3,1,0.0000,0.0000,0.0010,16015
1788482551.3,0,0.0000,0.0000,0.0030,16401
1788482551.3,1,0.0000,0.0000,0.0030,16015
1788482552.3,0,0.0000,0.0000,0.0020,16401
1788482552.3,1,0.0000,0.0000,0.0020,16015
1788482553.3,0,0.0000,0.0000,0.0000,16401
1788482553.3,1,0.0000,0.0000,0.0000,16015
1788482554.3,0,0.0000,0.0000,0.0000,16401
1788482554.3,1,0.0000,0.0000,0.0000,16015
1788482555.3,0,0.0000,0.0000,0.0000,16401
1788482555.3,1,0.0000,0.0000,0.0000,16015
1788482556.3,0,0.2120,0.0320,0.0300,21031
1788482556.3,1,0.0630,0.0090,0.0090,16327
1788482557.3,0,0.7760,0.1190,0.1190,21033
1788482557.3,1,0.0780,0.0130,0.0170,16087
