ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1788480901.6,0,0.0000,0.0000,0.0000,170
1788480901.6,1,0.0000,0.0000,0.0000,17
1788480902.6,0,0.0000,0.0000,0.0000,170
1788480902.6,1,0.0000,0.0000,0.0000,17
1788480903.6,0,0.0000,0.0000,0.0000,170
1788480903.6,1,0.0000,0.0000,0.0000,17
1788480904.6,0,0.0000,0.0000,0.0000,170
1788480904.6,1,0.0000,0.0000,0.0000,17
1788480905.6,0,0.0000,0.0000,0.0000,170
1788480905.6,1,0.0000,0.0000,0.0000,17
1788480906.6,0,0.0000,0.0000,0.0000,170
1788480906.6,1,0.0000,0.0000,0.0000,17
1788480907.6,0,0.0000,0.0000,0.0000,170
1788480907.6,1,0.0000,0.0000,0.0000,17
1788480908.6,0,0.0000,0.0000,0.0000,170
1788480908.6,1,0.0000,0.0000,0.0000,17
1788480909.6,0,0.0000,0.0000,0.0000,170
1788480909.6,1,0.0000,0.0000,0.0000,17
1788480910.6,0,0.0000,0.0000,0.0000,170
1788480910.6,1,0.0000,0.0000,0.0000,17
1788480911.6,0,0.0000,0.0000,0.0000,170
1788480911.6,1,0.0000,0.0000,0.0000,17
1788480912.6,0,0.0000,0.0000,0.0000,1087
1788480912.6,1,0.0000,0.0000,0.0000,695
1788480913.6,0,0.0000,0.0000,0.0010,16407
1788480913.6,1,0.0000,0.0000,0.0000,16015
1788480914.6,0,0.0000,0.0000,0.0010,16407
1788480914.6,1,0.0000,0.0000,0.0020,16015
1788480915.6,0,0.0000,0.0000,0.0010,16407
1788480915.6,1,0.0000,0.0000,0.0010,16015
1788480916.6,0,0.0000,0.0000,0.0010,16407
1788480916.6,1,0.0000,0.0000,0.0010,16015
1788480917.6,0,0.0000,0.0000,0.0010,16407
1788480917.6,1,0.0000,0.0000,0.0010,16015
1788480918.6,0,0.0000,0.0000,0.0010,16407
1788480918.6,1,0.0000,0.0000,0.0010,16015
1788480919.6,0,0.0000,0.0000,0.0010,16407
1788480919.6,1,0.0000,0.0000,0.0010,16015
1788480920.6,0,0.0000,0.0000,0.0010,16407
1788480920.6,1,0.0000,0.0000,0.0010,16015
1788480921.6,0,0.0000,0.0000,0.0010,16407
1788480921.6,1,0.0000,0.0000,0.0010,16015
1788480922.6,0,0.0000,0.0000,0.0010,16407
1788480922.6,1,0.0000,0.0000,0.0010,16015
1788480923.6,0,0.0000,0.0000,0.0000,16407
1788480923.6,1,0.0000,0.0000,0.0000,16015
1788480924.6,0,0.0000,0.0000,0.0000,16407
1788480924.6,1,0.0000,0.0000,0.0000,16015
1788480925.6,0,0.0000,0.0000,0.0000,16407
1788480925.6,1,0.0000,0.0000,0.0000,16015
1788480926.6,0,0.0000,0.0000,0.0000,16407
1788480926.6,1,0.0000,0.0000,0.0000,16015
1788480927.6,0,0.1800,0.0270,0.0250,21037
1788480927.6,1,0.0630,0.0090,0.0090,16327
1788480928.6,0,0.8260,0.1270,0.1240,21039
1788480928.6,1,0.0780,0.0130,0.0170,16047
1788480929.6,0,0.8750,0.1340,0.1300,21039
1788480929.6,1,0.0000,0.0000,0.0000,16087
1788480930.6,0,0.2500,0.0400,0.0450,16479
1788480930.6,1,0.1390,0.0220,0.0250,26367
1788480931.6,0,0.0000,0.0000,0.0000,16479
1788480931.6,1,0.5670,0.0810,0.2020,26337
1788480932.6,0,0.2550,0.0400,0.0390,27821
1788480932.6,1,0.4040,0.0380,0.2510,26463
1788480933.6,0,0.9840,0.1530,0.1520,27821
1788480933.6,1,0.4370,0.0410,0.2570,27685
1788480934.6,0,0.9270,0.1410,0.1610,23483
1788480934.6,1,0.0250,0.0060,0.0150,27685
1788480935.6,0,0.6120,0.0840,0.2050,23553
1788480935.6,1,0.0000,0.0000,0.0000,27685
1788480936.6,0,0.4850,0.0500,0.2610,23669
1788480936.6,1,0.0000,0.0000,0.0000,27685
1788480937.7,0,0.4110,0.0340,0.2310,24885
1788480937.7,1,0.0000,0.0000,0.0000,27685
1788480938.7,0,0.0000,0.0000,0.0000,24885
1788480938.7,1,0.0000,0.0000,0.0000,27685
1788480939.7,0,0.0000,0.0000,0.0000,24885
1788480939.7,1,0.0000,0.0000,0.0000,27685
1788480940.7,0,0.0000,0.0000,0.0000,24885
1788480940.7,1,0.0000,0.0000,0.0000,27685
1788480941.7,0,0.0000,0.0000,0.0000,24885
1788480941.7,1,0.0000,0.0000,0.0000,27685
1788480942.7,0,0.0000,0.0000,0.0000,24885
1788480942.7,1,0.0000,0.0000,0.0000,27685
1788480943.7,0,0.0000,0.0000,0.0000,24885
1788480943.7,1,0.0000,0.0000,0.0000,27685
1788480944.7,0,0.0000,0.0000,0.0000,24885
1788480944.7,1,0.0000,0.0000,0.0000,27685
1788480945.7,0,0.0000,0.0000,0.0000,24885
1788480945.7,1,0.0000,0.0000,0.0000,27685
1788480946.7,0,0.0000,0.0000,0.0000,24885
1788480946.7,1,0.0000,0.0000,0.0000,27685
1788480947.7,0,0.0000,0.0000,0.0000,24885
1788480947.7,1,0.0000,0.0000,0.0000,27685
1788480948.7,0,0.0000,0.0000,0.0000,24885
1788480948.7,1,0.0000,0.0000,0.0000,27685
1788480949.7,0,0.0000,0.0000,0.0000,24885
1788480949.7,1,0.0000,0.0000,0.0000,27685
1788480950.7,0,0.0000,0.0000,0.0000,24885
1788480950.7,1,0.0000,0.0000,0.0000,27685
1788480951.7,0,0.0000,0.0000,0.0000,24885
1788480951.7,1,0.0000,0.0000,0.0000,27685
1788480952.7,0,0.0000,0.0000,0.0000,24885
1788480952.7,1,0.0000,0.0000,0.0000,27691
1788480953.7,0,0.0000,0.0000,0.0000,26522
1788480953.7,1,0.0000,0.0000,0.0000,29302
1788480954.7,0,0.0000,0.0000,0.0010,26522
1788480954.7,1,0.0000,0.0000,0.0010,29302
1788480955.7,0,0.0000,0.0000,0.0000,26522
1788480955.7,1,0.0000,0.0000,0.0000,29302
1788480956.7,0,0.0000,0.0000,0.0000,26522
1788480956.7,1,0.0000,0.0000,0.0000,29302
1788480957.7,0,0.0000,0.0000,0.0000,26852
1788480957.7,1,0.0050,0.0010,0.0010,29794
1788480958.7,0,0.0350,0.0060,0.0090,26554
1788480958.7,1,0.0050,0.0010,0.0020,29334
1788480959.7,0,0.0000,0.0000,0.0000,26554
1788480959.7,1,0.0000,0.0000,0.0000,29334
1788480960.7,0,0.0550,0.0090,0.0200,27730
1788480960.7,1,0.0310,0.0040,0.0140,30510
1788480961.7,0,0.0020,0.0010,0.0020,28172
1788480961.7,1,0.0020,0.0010,0.0020,30972
1788480962.7,0,0.0000,0.0000,0.0000,28172
1788480962.7,1,0.0000,0.0000,0.0000,30972
1788480963.7,0,0.2190,0.0350,0.0310,28174
1788480963.7,1,0.0000,0.0000,0.0000,30972
1788480964.7,0,0.0750,0.0120,0.0120,24885
1788480964.7,1,0.0030,0.0000,0.0010,30974
1788480965.7,0,0.0000,0.0000,0.0000,24885
1788480965.7,1,0.0000,0.0000,0.0000,30974
1788480966.7,0,0.3700,0.0500,0.0290,24885
1788480966.7,1,0.0000,0.0000,0.0000,30974
1788480967.7,0,0.2580,0.0360,0.0370,24889
1788480967.7,1,0.4850,0.0640,0.1130,30982
1788480968.7,0,0.2410,0.0330,0.0330,24889
1788480968.7,1,0.0120,0.0010,0.0080,30982
1788480969.7,0,0.6530,0.0910,0.0920,25389
1788480969.7,1,0.0000,0.0000,0.0000,30982
1788480970.7,0,0.5040,0.0720,0.0720,25389
1788480970.7,1,0.0630,0.0070,0.0520,30982
1788480971.7,0,0.4670,0.0650,0.0660,25389
1788480971.7,1,0.0420,0.0040,0.0300,30982
1788480972.7,0,0.0000,0.0000,0.0000,25389
1788480972.7,1,0.1060,0.0090,0.0800,30984
1788480973.7,0,0.4670,0.0650,0.0660,25389
1788480973.7,1,0.2350,0.0320,0.0350,30984
1788480974.7,0,0.4720,0.0650,0.0650,25389
1788480974.7,1,0.2550,0.0320,0.0950,30984
1788480975.7,0,0.0050,0.0010,0.0010,25389
1788480975.7,1,0.4930,0.0640,0.1300,30984
1788480976.7,0,0.4710,0.0650,0.0660,25389
1788480976.7,1,0.3310,0.0450,0.0490,30984
1788480977.7,0,0.0000,0.0000,0.0000,25389
1788480977.7,1,0.1590,0.0190,0.0810,30984
1788480978.7,0,0.0000,0.0000,0.0000,25389
1788480978.7,1,0.0000,0.0000,0.0000,30984
1788480979.7,0,0.0000,0.0000,0.0000,25389
1788480979.7,1,0.0000,0.0000,0.0000,30984
1788480980.7,0,0.0000,0.0000,0.0000,25389
1788480980.7,1,0.0000,0.0000,0.0000,30984
1788480981.7,0,0.3400,0.0470,0.0460,25389
1788480981.7,1,0.0000,0.0000,0.0000,30984
1788480982.7,0,0.1410,0.0200,0.0200,25389
1788480982.7,1,0.5060,0.0660,0.1300,30984
1788480983.7,0,0.0000,0.0000,0.0000,25389
1788480983.7,1,0.0000,0.0000,0.0000,30984
1788480984.7,0,0.0000,0.0000,0.0000,25389
1788480984.7,1,0.0000,0.0000,0.0000,30984
1788480985.7,0,0.0000,0.0000,0.0000,25389
1788480985.7,1,0.0000,0.0000,0.0000,30984
1788480986.7,0,0.0000,0.0000,0.0000,25389
1788480986.7,1,0.0000,0.0000,0.0000,30984
1788480987.7,0,0.0000,0.0000,0.0000,25389
1788480987.7,1,0.0000,0.0000,0.0000,30984
1788480988.7,0,0.0000,0.0000,0.0000,25389
1788480988.7,1,0.0000,0.0000,0.0000,30984
1788480989.7,0,0.0000,0.0000,0.0000,25389
1788480989.7,1,0.0000,0.0000,0.0000,30984
1788480990.7,0,0.0000,0.0000,0.0000,25389
1788480990.7,1,0.0000,0.0000,0.0000,30984
1788480991.7,0,0.0000,0.0000,0.0000,25389
1788480991.7,1,0.0000,0.0000,0.0000,30984
1788480992.7,0,0.0000,0.0000,0.0000,25389
1788480992.7,1,0.0000,0.0000,0.0000,30984
1788480993.7,0,0.2310,0.0320,0.0310,25389
1788480993.7,1,0.0000,0.0000,0.0000,30984
1788480994.7,0,0.2450,0.0340,0.0350,25389
1788480994.7,1,0.5140,0.0670,0.1300,30984
1788480995.7,0,0.0000,0.0000,0.0000,25389
1788480995.7,1,0.0000,0.0000,0.0000,30984
1788480996.7,0,0.0000,0.0000,0.0000,25389
1788480996.7,1,0.0000,0.0000,0.0000,30984
1788480997.7,0,0.0000,0.0000,0.0000,25389
1788480997.7,1,0.0000,0.0000,0.0000,30984
1788480998.7,0,0.0000,0.0000,0.0000,25389
1788480998.7,1,0.0000,0.0000,0.0000,30984
1788480999.7,0,0.0000,0.0000,0.0000,25389
1788480999.7,1,0.0000,0.0000,0.0000,30984
1788481000.7,0,0.6550,0.0920,0.0910,25389
1788481000.7,1,0.0000,0.0000,0.0000,30984
1788481001.7,0,0.2890,0.0420,0.0410,25389
1788481001.7,1,0.3650,0.0490,0.0500,30984
1788481002.7,0,0.0000,0.0000,0.0000,25389
1788481002.7,1,0.1660,0.0180,0.0860,30984
1788481003.7,0,0.0000,0.0000,0.0000,25389
1788481003.7,1,0.0000,0.0000,0.0000,30984
1788481004.7,0,0.1230,0.0170,0.0170,25389
1788481004.7,1,0.0000,0.0000,0.0000,30984
1788481005.7,0,0.6560,0.0900,0.0920,25389
1788481005.7,1,0.0000,0.0000,0.0000,30984
1788481006.7,0,0.1680,0.0240,0.0240,25389
1788481006.7,1,0.2850,0.0390,0.0410,30984
1788481007.7,0,0.4670,0.0650,0.0660,25389
1788481007.7,1,0.3750,0.0460,0.1170,30984
1788481008.7,0,0.1400,0.0190,0.0190,25389
1788481008.7,1,0.3460,0.0440,0.1080,30984
1788481009.7,0,0.3360,0.0470,0.0470,25389
1788481009.7,1,0.3590,0.0480,0.0520,30984
1788481010.7,0,0.0000,0.0000,0.0000,25389
1788481010.7,1,0.1120,0.0140,0.0680,30984
1788481011.7,0,0.0000,0.0000,0.0000,25389
1788481011.7,1,0.0000,0.0000,0.0000,30984
1788481012.7,0,0.0000,0.0000,0.0000,25389
1788481012.7,1,0.0000,0.0000,0.0000,30984
1788481013.7,0,0.0000,0.0000,0.0000,25389
1788481013.7,1,0.0000,0.0000,0.0000,30984
1788481014.7,0,0.0000,0.0000,0.0000,25389
1788481014.7,1,0.0000,0.0000,0.0000,30984
1788481015.7,0,0.4680,0.0650,0.0660,25389
1788481015.7,1,0.1600,0.0220,0.0230,30984
1788481016.7,0,0.5870,0.0810,0.0810,25389
1788481016.7,1,0.3470,0.0440,0.1080,30984
1788481017.7,0,0.3610,0.0500,0.0510,25389
1788481017.7,1,0.1120,0.0160,0.0180,30984
1788481018.7,0,0.0000,0.0000,0.0000,25389
1788481018.7,1,0.3850,0.0470,0.1170,30984
1788481019.7,0,0.4750,0.0650,0.0650,25389
1788481019.7,1,0.0000,0.0000,0.0000,30984
1788481020.7,0,0.1210,0.0170,0.0170,25389
1788481020.7,1,0.0000,0.0000,0.0000,30984
1788481021.7,0,0.8020,0.1140,0.1140,25389
1788481021.7,1,0.0000,0.0000,0.0000,30984
1788481022.7,0,0.0020,0.0000,0.0010,25389
1788481022.7,1,0.0860,0.0100,0.0720,30984
1788481023.7,0,0.4260,0.0580,0.0590,25389
1788481023.7,1,0.0000,0.0000,0.0000,30984
1788481024.7,0,0.2790,0.0390,0.0390,25389
1788481024.7,1,0.0350,0.0030,0.0220,30984
1788481025.7,0,0.2400,0.0340,0.0340,25389
1788481025.7,1,0.4750,0.0590,0.1220,30984
1788481026.7,0,0.1030,0.0140,0.0140,25389
1788481026.7,1,0.1020,0.0100,0.0770,30984
1788481027.7,0,0.5540,0.0760,0.0780,25389
1788481027.7,1,0.3270,0.0440,0.0480,30984
1788481028.7,0,0.2840,0.0400,0.0400,25389
1788481028.7,1,0.4260,0.0560,0.1210,30984
1788481029.7,0,0.4760,0.0660,0.0660,25389
1788481029.7,1,0.1460,0.0190,0.0200,30984
1788481030.7,0,0.0000,0.0000,0.0000,25389
1788481030.7,1,0.0010,0.0000,0.0010,30984
1788481031.7,0,0.0000,0.0000,0.0000,25389
1788481031.7,1,0.0000,0.0000,0.0000,30984
1788481032.7,0,0.4650,0.0640,0.0650,25389
1788481032.7,1,0.0000,0.0000,0.0000,30984
1788481033.7,0,0.0050,0.0010,0.0010,25389
1788481033.7,1,0.2300,0.0280,0.0950,30984
1788481034.7,0,0.0000,0.0000,0.0000,25389
1788481034.7,1,0.3680,0.0470,0.1120,30984
1788481035.7,0,0.2200,0.0300,0.0300,25389
1788481035.7,1,0.0000,0.0000,0.0000,30984
1788481036.7,0,0.5530,0.0760,0.0780,25389
1788481036.7,1,0.4140,0.0550,0.0610,30984
1788481037.7,0,0.6230,0.0860,0.0880,25389
1788481037.7,1,0.0780,0.0090,0.0690,30984
1788481038.7,0,0.0150,0.0030,0.0020,25389
1788481038.7,1,0.1050,0.0080,0.0850,30984
1788481039.7,0,0.4730,0.0650,0.0660,25389
1788481039.7,1,0.0500,0.0070,0.0080,30984
1788481040.7,0,0.0000,0.0000,0.0000,25389
1788481040.7,1,0.4410,0.0570,0.1220,30984
1788481041.7,0,0.0000,0.0000,0.0000,25389
1788481041.7,1,0.0000,0.0000,0.0000,30984
1788481042.7,0,0.0000,0.0000,0.0000,25389
1788481042.7,1,0.0000,0.0000,0.0000,30984
1788481043.7,0,0.0000,0.0000,0.0000,25389
1788481043.7,1,0.0080,0.0010,0.0050,30984
1788481044.7,0,0.0000,0.0000,0.0000,25389
1788481044.7,1,0.0000,0.0000,0.0000,30984
1788481045.7,0,0.0000,0.0000,0.0000,25389
1788481045.7,1,0.0080,0.0010,0.0050,30984
1788481046.7,0,0.0000,0.0000,0.0000,25389
1788481046.7,1,0.0000,0.0000,0.0000,30984
1788481047.7,0,0.0000,0.0000,0.0000,25389
1788481047.7,1,0.0000,0.0000,0.0000,30984
1788481048.7,0,0.0000,0.0000,0.0000,25389
1788481048.7,1,0.0170,0.0020,0.0090,30984
1788481049.7,0,0.0000,0.0000,0.0000,25389
1788481049.7,1,0.0000,0.0000,0.0000,30984
1788481050.7,0,0.0000,0.0000,0.0000,25389
1788481050.7,1,0.0000,0.0000,0.0000,30984
1788481051.7,0,0.0000,0.0000,0.0000,25389
1788481051.7,1,0.0090,0.0010,0.0050,30984
1788481052.7,0,0.0000,0.0000,0.0000,25389
1788481052.7,1,0.0090,0.0010,0.0050,30984
1788481053.7,0,0.0000,0.0000,0.0000,25389
1788481053.7,1,0.0090,0.0010,0.0050,30984
1788481054.7,0,0.0000,0.0000,0.0000,25389
1788481054.7,1,0.0000,0.0000,0.0000,30984
1788481055.7,0,0.0000,0.0000,0.0000,25389
1788481055.7,1,0.0000,0.0000,0.0000,30984
1788481056.7,0,0.0000,0.0000,0.0000,25389
1788481056.7,1,0.0000,0.0000,0.0000,30984
1788481057.7,0,0.0000,0.0000,0.0000,25389
1788481057.7,1,0.0000,0.0000,0.0000,30984
1788481058.7,0,0.0000,0.0000,0.0000,25389
1788481058.7,1,0.0090,0.0010,0.0050,30984
1788481059.7,0,0.0500,0.0050,0.0200,25391
1788481059.7,1,0.3540,0.0270,0.2520,30984
1788481060.7,0,0.0000,0.0000,0.0000,25391
1788481060.7,1,0.3830,0.0270,0.3320,30984
1788481061.7,0,0.0000,0.0000,0.0000,25391
1788481061.7,1,0.7330,0.0470,0.6500,30984
1788481062.7,0,0.0460,0.0070,0.0220,25391
