ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1788483484.8,0,0.0000,0.0000,0.0000,164
1788483484.8,1,0.0000,0.0000,0.0000,17
1788483485.8,0,0.0000,0.0000,0.0000,164
1788483485.8,1,0.0000,0.0000,0.0000,17
1788483486.8,0,0.0000,0.0000,0.0000,164
1788483486.8,1,0.0000,0.0000,0.0000,17
1788483487.8,0,0.0000,0.0000,0.0000,164
1788483487.8,1,0.0000,0.0000,0.0000,17
1788483488.8,0,0.0000,0.0000,0.0000,164
1788483488.8,1,0.0000,0.0000,0.0000,17
1788483489.8,0,0.0000,0.0000,0.0000,164
1788483489.8,1,0.0000,0.0000,0.0000,17
1788483490.8,0,0.0000,0.0000,0.0000,164
1788483490.8,1,0.0000,0.0000,0.0000,17
1788483491.8,0,0.0000,0.0000,0.0000,164
1788483491.8,1,0.0000,0.0000,0.0000,17
1788483492.8,0,0.0000,0.0000,0.0000,164
1788483492.8,1,0.0000,0.0000,0.0000,17
1788483493.8,0,0.0000,0.0000,0.0000,164
1788483493.8,1,0.0000,0.0000,0.0000,17
1788483494.8,0,0.0000,0.0000,0.0000,749
1788483494.8,1,0.0000,0.0000,0.0000,603
1788483495.8,0,0.0000,0.0000,0.0000,16401
1788483495.8,1,0.0000,0.0000,0.0000,16015
1788483496.8,0,0.0000,0.0000,0.0010,16401
1788483496.8,1,0.0000,0.0000,0.0010,16015
1788483497.8,0,0.0000,0.0000,0.0020,16401
1788483497.8,1,0.0000,0.0000,0.0030,16015
1788483498.8,0,0.0000,0.0000,0.0020,16401
1788483498.8,1,0.0000,0.0000,0.0020,16015
1788483499.8,0,0.0000,0.0000,0.0010,16401
1788483499.8,1,0.0000,0.0000,0.0010,16015
1788483500.8,0,0.0000,0.0000,0.0010,16401
1788483500.8,1,0.0000,0.0000,0.0010,16015
1788483501.8,0,0.0000,0.0000,0.0010,16401
1788483501.8,1,0.0000,0.0000,0.0010,16015
1788483502.8,0,0.0000,0.0000,0.0010,16401
1788483502.8,1,0.0000,0.0000,0.0010,16015
1788483503.8,0,0.0000,0.0000,0.0010,16401
1788483503.8,1,0.0000,0.0000,0.0010,16015
1788483504.8,0,0.0000,0.0000,0.0000,16401
1788483504.8,1,0.0000,0.0000,0.0000,16015
1788483505.8,0,0.0000,0.0000,0.0000,16401
1788483505.8,1,0.0000,0.0000,0.0000,16015
1788483506.8,0,0.0000,0.0000,0.0000,16401
1788483506.8,1,0.0000,0.0000,0.0000,16015
1788483507.8,0,0.0000,0.0000,0.0000,16401
1788483507.8,1,0.0000,0.0000,0.0000,16015
1788483508.8,0,0.0000,0.0000,0.0000,17631
1788483508.8,1,0.0000,0.0000,0.0000,16105
1788483509.8,0,0.8870,0.1350,0.1300,21033
1788483509.8,1,0.1380,0.0210,0.0250,17287
1788483510.8,0,0.7520,0.1140,0.1100,21033
1788483510.8,1,0.0000,0.0000,0.0010,16087
1788483511.8,0,0.4940,0.0780,0.0800,21033
1788483511.8,1,0.0070,0.0030,0.0060,26107
1788483512.8,0,0.0000,0.0000,0.0030,16473
1788483512.8,1,0.5070,0.0690,0.1400,26313
1788483513.8,0,0.0170,0.0040,0.0060,27713
1788483513.8,1,0.4920,0.0540,0.2680,26451
1788483514.8,0,0.9840,0.1520,0.1490,27815
1788483514.8,1,0.4910,0.0510,0.2810,26503
1788483515.8,0,0.9840,0.1520,0.1510,27815
1788483515.8,1,0.0690,0.0090,0.0540,27685
1788483516.8,0,0.6650,0.0930,0.1930,23521
1788483516.8,1,0.0000,0.0000,0.0000,27685
1788483517.8,0,0.4690,0.0440,0.2610,23667
1788483517.8,1,0.0000,0.0000,0.0000,27685
1788483518.8,0,0.5310,0.0520,0.2740,23697
1788483518.8,1,0.0000,0.0000,0.0000,27685
1788483519.8,0,0.0270,0.0060,0.0150,24879
1788483519.8,1,0.0000,0.0000,0.0000,27685
1788483520.8,0,0.0000,0.0000,0.0000,24879
1788483520.8,1,0.0000,0.0000,0.0000,27685
1788483521.8,0,0.0000,0.0000,0.0000,24879
1788483521.8,1,0.0000,0.0000,0.0000,27685
1788483522.8,0,0.0000,0.0000,0.0000,24879
1788483522.8,1,0.0000,0.0000,0.0000,27685
1788483523.8,0,0.0000,0.0000,0.0000,24879
1788483523.8,1,0.0000,0.0000,0.0000,27685
1788483524.8,0,0.0000,0.0000,0.0000,24879
1788483524.8,1,0.0000,0.0000,0.0000,27685
1788483525.8,0,0.0000,0.0000,0.0000,24879
1788483525.8,1,0.0000,0.0000,0.0000,27685
1788483526.8,0,0.0000,0.0000,0.0000,24879
1788483526.8,1,0.0000,0.0000,0.0000,27685
1788483527.8,0,0.0000,0.0000,0.0000,24879
1788483527.8,1,0.0000,0.0000,0.0000,27685
1788483528.8,0,0.0000,0.0000,0.0000,24879
