ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1788483068.1,0,0.0000,0.0000,0.0000,164
1788483068.1,1,0.0000,0.0000,0.0000,17
1788483069.1,0,0.0000,0.0000,0.0000,164
1788483069.1,1,0.0000,0.0000,0.0000,17
1788483070.1,0,0.0000,0.0000,0.0000,164
1788483070.1,1,0.0000,0.0000,0.0000,17
1788483071.1,0,0.0000,0.0000,0.0000,164
1788483071.1,1,0.0000,0.0000,0.0000,17
1788483072.1,0,0.0000,0.0000,0.0000,164
1788483072.1,1,0.0000,0.0000,0.0000,17
1788483073.1,0,0.0000,0.0000,0.0000,164
1788483073.1,1,0.0000,0.0000,0.0000,17
1788483074.1,0,0.0000,0.0000,0.0000,164
1788483074.1,1,0.0000,0.0000,0.0000,17
1788483075.1,0,0.0000,0.0000,0.0000,164
1788483075.1,1,0.0000,0.0000,0.0000,17
1788483076.1,0,0.0000,0.0000,0.0000,164
1788483076.1,1,0.0000,0.0000,0.0000,17
1788483077.1,0,0.0000,0.0000,0.0000,164
1788483077.1,1,0.0000,0.0000,0.0000,17
1788483078.1,0,0.0000,0.0000,0.0000,1081
1788483078.1,1,0.0000,0.0000,0.0000,695
1788483079.1,0,0.0000,0.0000,0.0000,16401
1788483079.1,1,0.0000,0.0000,0.0000,16015
1788483080.1,0,0.0000,0.0000,0.0010,16401
1788483080.1,1,0.0000,0.0000,0.0010,16015
1788483081.1,0,0.0000,0.0000,0.0010,16401
1788483081.1,1,0.0000,0.0000,0.0010,16015
1788483082.1,0,0.0000,0.0000,0.0010,16401
1788483082.1,1,0.0000,0.0000,0.0010,16015
1788483083.1,0,0.0000,0.0000,0.0010,16401
1788483083.1,1,0.0000,0.0000,0.0010,16015
1788483084.1,0,0.0000,0.0000,0.0030,16401
1788483084.1,1,0.0000,0.0000,0.0020,16015
1788483085.1,0,0.0000,0.0000,0.0020,16401
1788483085.1,1,0.0000,0.0000,0.0020,16015
1788483086.1,0,0.0000,0.0000,0.0000,16401
1788483086.1,1,0.0000,0.0000,0.0000,16015
1788483087.1,0,0.0000,0.0000,0.0000,16401
1788483087.1,1,0.0000,0.0000,0.0000,16015
1788483088.1,0,0.0000,0.0000,0.0000,16401
1788483088.1,1,0.0000,0.0000,0.0000,16015
1788483089.1,0,0.0000,0.0000,0.0000,16401
1788483089.1,1,0.0000,0.0000,0.0000,16015
1788483090.1,0,0.5300,0.0810,0.0760,21031
1788483090.1,1,0.0630,0.0090,0.0090,16327
1788483091.1,0,0.7370,0.1130,0.1110,21033
1788483091.1,1,0.0780,0.0130,0.0170,16087
1788483092.1,0,0.8540,0.1320,0.1330,21033
1788483092.1,1,0.0000,0.0000,0.0000,16087
1788483093.1,0,0.0000,0.0000,0.0030,16473
1788483093.1,1,0.2460,0.0350,0.0600,26293
1788483094.1,0,0.0000,0.0000,0.0000,16473
1788483094.1,1,0.5930,0.0790,0.2420,26397
1788483095.1,0,0.6320,0.0990,0.0960,27815
1788483095.1,1,0.4090,0.0450,0.2430,26477
1788483096.1,0,0.9840,0.1520,0.1510,27815
1788483096.1,1,0.3190,0.0270,0.2040,27685
1788483097.1,0,0.8140,0.1180,0.1750,23483
1788483097.1,1,0.0000,0.0000,0.0000,27685
1788483098.1,0,0.5580,0.0650,0.2410,23605
1788483098.1,1,0.0000,0.0000,0.0000,27685
1788483099.1,0,0.5180,0.0540,0.2650,23691
1788483099.1,1,0.0000,0.0000,0.0000,27685
1788483100.1,0,0.1810,0.0170,0.1190,24879
1788483100.1,1,0.0000,0.0000,0.0000,27685
1788483101.1,0,0.0000,0.0000,0.0000,24879
1788483101.1,1,0.0000,0.0000,0.0000,27685
1788483102.1,0,0.0000,0.0000,0.0000,24879
1788483102.1,1,0.0000,0.0000,0.0000,27685
1788483103.1,0,0.0000,0.0000,0.0000,24879
1788483103.1,1,0.0000,0.0000,0.0000,27685
1788483104.1,0,0.0000,0.0000,0.0000,24879
1788483104.1,1,0.0000,0.0000,0.0000,27685
1788483105.1,0,0.0000,0.0000,0.0000,24879
1788483105.1,1,0.0000,0.0000,0.0000,27685
1788483106.1,0,0.0000,0.0000,0.0000,24879
1788483106.1,1,0.0000,0.0000,0.0000,27685
1788483107.1,0,0.0000,0.0000,0.0000,24879
1788483107.1,1,0.0000,0.0000,0.0000,27685
1788483108.1,0,0.0000,0.0000,0.0000,24879
1788483108.1,1,0.0000,0.0000,0.0000,27685
1788483109.1,0,0.0000,0.0000,0.0000,24879
1788483109.1,1,0.0000,0.0000,0.0000,27685
1788483110.1,0,0.0000,0.0000,0.0000,24879
1788483110.1,1,0.0000,0.0000,0.0000,27685
1788483111.1,0,0.0000,0.0000,0.0000,24879
1788483111.1,1,0.0000,0.0000,0.0000,27685
1788483112.1,0,0.0000,0.0000,0.0000,24879
1788483112.1,1,0.0000,0.0000,0.0000,27685
1788483113.1,0,0.0000,0.0000,0.0000,24879
1788483113.1,1,0.0000,0.0000,0.0000,27685
1788483114.1,0,0.0000,0.0000,0.0000,24879
1788483114.1,1,0.0000,0.0000,0.0000,27685
1788483115.1,0,0.0000,0.0000,0.0000,24879
1788483115.1,1,0.0000,0.0000,0.0000,27685
1788483116.1,0,0.0000,0.0000,0.0000,24879
1788483116.1,1,0.0000,0.0000,0.0000,27685
1788483117.1,0,0.0000,0.0000,0.0000,25836
1788483117.1,1,0.0000,0.0000,0.0000,28642
1788483118.1,0,0.0000,0.0000,0.0010,26516
1788483118.1,1,0.0000,0.0000,0.0010,29302
1788483119.1,0,0.0000,0.0000,0.0000,26516
1788483119.1,1,0.0000,0.0000,0.0000,29302
1788483120.1,0,0.0000,0.0000,0.0000,26516
1788483120.1,1,0.0000,0.0000,0.0000,29302
1788483121.1,0,0.0000,0.0000,0.0000,26566
1788483121.1,1,0.0000,0.0000,0.0000,29392
1788483122.1,0,0.0350,0.0060,0.0090,26548
1788483122.1,1,0.0100,0.0020,0.0030,29334
1788483123.1,0,0.0000,0.0000,0.0000,26548
1788483123.1,1,0.0000,0.0000,0.0000,29334
1788483124.1,0,0.0480,0.0080,0.0160,27722
1788483124.1,1,0.0230,0.0030,0.0090,30510
1788483125.1,0,0.0100,0.0010,0.0060,28166
1788483125.1,1,0.0100,0.0010,0.0060,30972
1788483126.1,0,0.0000,0.0000,0.0000,28166
1788483126.1,1,0.0000,0.0000,0.0000,30972
1788483127.1,0,0.2130,0.0330,0.0300,28168
1788483127.1,1,0.0000,0.0000,0.0000,30972
1788483128.1,0,0.0820,0.0130,0.0140,24879
1788483128.1,1,0.0030,0.0000,0.0010,30974
1788483129.1,0,0.0000,0.0000,0.0000,24879
1788483129.1,1,0.0000,0.0000,0.0000,30974
1788483130.1,0,0.3460,0.0470,0.0210,24879
1788483130.1,1,0.0000,0.0000,0.0000,30974
1788483131.1,0,0.3180,0.0440,0.0450,24883
1788483131.1,1,0.3570,0.0480,0.0490,30982
1788483132.1,0,0.2110,0.0290,0.0290,24883
1788483132.1,1,0.1400,0.0170,0.0720,30982
1788483133.1,0,0.6720,0.0940,0.0940,25383
1788483133.1,1,0.0000,0.0000,0.0000,30982
1788483134.1,0,0.5200,0.0740,0.0740,25383
1788483134.1,1,0.0010,0.0000,0.0010,30982
1788483135.1,0,0.4760,0.0660,0.0660,25383
1788483135.1,1,0.0820,0.0090,0.0720,30982
1788483136.1,0,0.0000,0.0000,0.0000,25383
1788483136.1,1,0.1220,0.0100,0.0900,30984
1788483137.1,0,0.4700,0.0650,0.0660,25383
1788483137.1,1,0.1240,0.0170,0.0190,30984
1788483138.1,0,0.4510,0.0620,0.0620,25383
1788483138.1,1,0.3650,0.0460,0.1110,30984
1788483139.1,0,0.0280,0.0040,0.0040,25383
1788483139.1,1,0.4720,0.0620,0.1210,30984
1788483140.1,0,0.4670,0.0650,0.0660,25383
1788483140.1,1,0.2380,0.0330,0.0360,30984
1788483141.1,0,0.0000,0.0000,0.0000,25383
1788483141.1,1,0.2520,0.0310,0.0940,30984
