ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1788481231.3,0,0.0000,0.0000,0.0000,164
1788481231.3,1,0.0000,0.0000,0.0000,17
1788481232.3,0,0.0000,0.0000,0.0000,164
1788481232.3,1,0.0000,0.0000,0.0000,17
1788481233.3,0,0.0000,0.0000,0.0000,164
1788481233.3,1,0.0000,0.0000,0.0000,17
1788481234.3,0,0.0000,0.0000,0.0000,164
1788481234.3,1,0.0000,0.0000,0.0000,17
1788481235.3,0,0.0000,0.0000,0.0000,164
1788481235.3,1,0.0000,0.0000,0.0000,17
1788481236.3,0,0.0000,0.0000,0.0000,164
1788481236.3,1,0.0000,0.0000,0.0000,17
1788481237.3,0,0.0000,0.0000,0.0000,164
1788481237.3,1,0.0000,0.0000,0.0000,17
1788481238.3,0,0.0000,0.0000,0.0000,164
1788481238.3,1,0.0000,0.0000,0.0000,17
1788481239.3,0,0.0000,0.0000,0.0000,164
1788481239.3,1,0.0000,0.0000,0.0000,17
1788481240.3,0,0.0000,0.0000,0.0000,164
1788481240.3,1,0.0000,0.0000,0.0000,17
1788481241.3,0,0.0000,0.0000,0.0000,164
1788481241.3,1,0.0000,0.0000,0.0000,17
1788481242.3,0,0.0000,0.0000,0.0000,1081
1788481242.3,1,0.0000,0.0000,0.0000,695
1788481243.3,0,0.0000,0.0000,0.0000,16401
1788481243.3,1,0.0000,0.0000,0.0000,16015
1788481244.3,0,0.0000,0.0000,0.0010,16401
1788481244.3,1,0.0000,0.0000,0.0010,16015
1788481245.3,0,0.0000,0.0000,0.0010,16401
1788481245.3,1,0.0000,0.0000,0.0010,16015
1788481246.3,0,0.0000,0.0000,0.0020,16401
1788481246.3,1,0.0000,0.0000,0.0020,16015
1788481247.3,0,0.0000,0.0000,0.0050,16401
1788481247.3,1,0.0000,0.0000,0.0050,16015
1788481248.3,0,0.0000,0.0000,0.0000,16401
1788481248.3,1,0.0000,0.0000,0.0000,16015
1788481249.3,0,0.0000,0.0000,0.0000,16401
1788481249.3,1,0.0000,0.0000,0.0000,16015
1788481250.3,0,0.0000,0.0000,0.0000,16401
1788481250.3,1,0.0000,0.0000,0.0000,16015
1788481251.3,0,0.0000,0.0000,0.0000,16401
1788481251.3,1,0.0000,0.0000,0.0000,16015
1788481252.3,0,0.4310,0.0660,0.0620,21031
1788481252.3,1,0.0980,0.0140,0.0140,16327
1788481253.3,0,0.7470,0.1140,0.1100,21033
1788481253.3,1,0.0420,0.0080,0.0120,16087
1788481254.3,0,0.9400,0.1450,0.1470,21033
1788481254.3,1,0.0000,0.0000,0.0000,16087
1788481255.3,0,0.0020,0.0010,0.0050,16473
1788481255.3,1,0.3390,0.0470,0.0890,26297
1788481256.3,0,0.0000,0.0000,0.0000,16473
1788481256.3,1,0.5670,0.0730,0.2530,26409
1788481257.3,0,0.5460,0.0860,0.0830,27815
1788481257.3,1,0.4110,0.0450,0.2360,26487
1788481258.3,0,0.9840,0.1530,0.1520,27815
1788481258.3,1,0.2540,0.0230,0.1710,27685
1788481259.3,0,0.8380,0.1210,0.1700,23477
1788481259.3,1,0.0000,0.0000,0.0000,27685
1788481260.3,0,0.5700,0.0710,0.2300,23601
1788481260.3,1,0.0000,0.0000,0.0000,27685
1788481261.3,0,0.5150,0.0530,0.2650,23687
1788481261.3,1,0.0000,0.0000,0.0000,27685
1788481262.3,0,0.2330,0.0210,0.1490,24879
1788481262.3,1,0.0000,0.0000,0.0000,27685
1788481263.3,0,0.0000,0.0000,0.0000,24879
1788481263.3,1,0.0000,0.0000,0.0000,27685
1788481264.3,0,0.0000,0.0000,0.0000,24879
1788481264.3,1,0.0000,0.0000,0.0000,27685
1788481265.3,0,0.0000,0.0000,0.0000,24879
1788481265.3,1,0.0000,0.0000,0.0000,27685
1788481266.3,0,0.0000,0.0000,0.0000,24879
1788481266.3,1,0.0000,0.0000,0.0000,27685
1788481267.3,0,0.0000,0.0000,0.0000,24879
1788481267.3,1,0.0000,0.0000,0.0000,27685
1788481268.3,0,0.0000,0.0000,0.0000,24879
1788481268.3,1,0.0000,0.0000,0.0000,27685
1788481269.3,0,0.0000,0.0000,0.0000,24879
1788481269.3,1,0.0000,0.0000,0.0000,27685
1788481270.3,0,0.0000,0.0000,0.0000,24879
1788481270.3,1,0.0000,0.0000,0.0000,27685
1788481271.3,0,0.0000,0.0000,0.0000,24879
1788481271.3,1,0.0000,0.0000,0.0000,27685
1788481272.3,0,0.0000,0.0000,0.0000,24879
1788481272.3,1,0.0000,0.0000,0.0000,27685
1788481273.3,0,0.0000,0.0000,0.0000,24879
1788481273.3,1,0.0000,0.0000,0.0000,27685
1788481274.4,0,0.0000,0.0000,0.0000,24879
1788481274.4,1,0.0000,0.0000,0.0000,27685
1788481275.4,0,0.0000,0.0000,0.0000,24879
1788481275.4,1,0.0000,0.0000,0.0000,27685
1788481276.4,0,0.0000,0.0000,0.0000,24879
1788481276.4,1,0.0000,0.0000,0.0000,27685
1788481277.4,0,0.0000,0.0000,0.0000,24879
1788481277.4,1,0.0000,0.0000,0.0000,27685
1788481278.4,0,0.0000,0.0000,0.0000,24883
1788481278.4,1,0.0000,0.0000,0.0000,27701
1788481279.4,0,0.0000,0.0000,0.0000,26516
1788481279.4,1,0.0000,0.0000,0.0000,29302
1788481280.4,0,0.0000,0.0000,0.0010,26516
1788481280.4,1,0.0000,0.0000,0.0010,29302
1788481281.4,0,0.0000,0.0000,0.0000,26516
1788481281.4,1,0.0000,0.0000,0.0000,29302
1788481282.4,0,0.0000,0.0000,0.0000,26516
1788481282.4,1,0.0000,0.0000,0.0000,29302
1788481283.4,0,0.0020,0.0000,0.0000,26848
1788481283.4,1,0.0020,0.0000,0.0000,29394
1788481284.4,0,0.0330,0.0060,0.0080,26548
1788481284.4,1,0.0080,0.0020,0.0030,29334
1788481285.4,0,0.0000,0.0000,0.0000,26548
1788481285.4,1,0.0000,0.0000,0.0000,29334
1788481286.4,0,0.0530,0.0090,0.0190,27724
1788481286.4,1,0.0310,0.0040,0.0140,30510
1788481287.4,0,0.0050,0.0010,0.0030,28166
1788481287.4,1,0.0020,0.0010,0.0020,30972
1788481288.4,0,0.0000,0.0000,0.0000,28166
1788481288.4,1,0.0000,0.0000,0.0000,30972
1788481289.4,0,0.2200,0.0350,0.0310,28168
1788481289.4,1,0.0000,0.0000,0.0000,30972
1788481290.4,0,0.4420,0.0690,0.0620,28168
1788481290.4,1,0.0000,0.0000,0.0000,30972
1788481291.4,0,0.4350,0.0680,0.0610,28168
1788481291.4,1,0.0000,0.0000,0.0000,30972
1788481292.4,0,0.4210,0.0660,0.0590,28168
