ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1788477292.9,0,0.0000,0.0000,0.0000,164
1788477292.9,1,0.0000,0.0000,0.0000,17
1788477293.9,0,0.0000,0.0000,0.0000,164
1788477293.9,1,0.0000,0.0000,0.0000,17
1788477294.9,0,0.0000,0.0000,0.0000,164
1788477294.9,1,0.0000,0.0000,0.0000,17
1788477295.9,0,0.0000,0.0000,0.0000,164
1788477295.9,1,0.0000,0.0000,0.0000,17
1788477296.9,0,0.0000,0.0000,0.0000,164
1788477296.9,1,0.0000,0.0000,0.0000,17
1788477297.9,0,0.0000,0.0000,0.0000,164
1788477297.9,1,0.0000,0.0000,0.0000,17
1788477298.9,0,0.0000,0.0000,0.0000,164
1788477298.9,1,0.0000,0.0000,0.0000,17
1788477299.9,0,0.0000,0.0000,0.0000,164
1788477299.9,1,0.0000,0.0000,0.0000,17
1788477300.9,0,0.0000,0.0000,0.0000,164
1788477300.9,1,0.0000,0.0000,0.0000,17
1788477301.9,0,0.0000,0.0000,0.0000,164
1788477301.9,1,0.0000,0.0000,0.0000,17
1788477302.9,0,0.0000,0.0000,0.0000,164
1788477302.9,1,0.0000,0.0000,0.0000,17
1788477303.9,0,0.0000,0.0000,0.0000,164
1788477303.9,1,0.0000,0.0000,0.0000,17
1788477304.9,0,0.0000,0.0000,0.0000,1081
1788477304.9,1,0.0000,0.0000,0.0000,695
1788477305.9,0,0.0000,0.0000,0.0000,16401
1788477305.9,1,0.0000,0.0000,0.0000,16015
1788477306.9,0,0.0000,0.0000,0.0010,16401
1788477306.9,1,0.0000,0.0000,0.0010,16015
1788477307.9,0,0.0000,0.0000,0.0010,16401
1788477307.9,1,0.0000,0.0000,0.0010,16015
1788477308.9,0,0.0000,0.0000,0.0010,16401
1788477308.9,1,0.0000,0.0000,0.0010,16015
1788477309.9,0,0.0000,0.0000,0.0010,16401
1788477309.9,1,0.0000,0.0000,0.0010,16015
1788477310.9,0,0.0000,0.0000,0.0010,16401
1788477310.9,1,0.0000,0.0000,0.0010,16015
1788477311.9,0,0.0000,0.0000,0.0010,16401
1788477311.9,1,0.0000,0.0000,0.0010,16015
1788477312.9,0,0.0000,0.0000,0.0010,16401
1788477312.9,1,0.0000,0.0000,0.0010,16015
1788477313.9,0,0.0000,0.0000,0.0010,16401
1788477313.9,1,0.0000,0.0000,0.0010,16015
1788477314.9,0,0.0000,0.0000,0.0020,16401
1788477314.9,1,0.0000,0.0000,0.0020,16015
1788477315.9,0,0.0000,0.0000,0.0010,16401
1788477315.9,1,0.0000,0.0000,0.0010,16015
1788477316.9,0,0.0000,0.0000,0.0010,16401
1788477316.9,1,0.0000,0.0000,0.0010,16015
1788477317.9,0,0.0000,0.0000,0.0000,16401
1788477317.9,1,0.0000,0.0000,0.0000,16015
1788477318.9,0,0.0000,0.0000,0.0000,16401
1788477318.9,1,0.0000,0.0000,0.0000,16015
1788477319.9,0,0.0000,0.0000,0.0000,16401
1788477319.9,1,0.0000,0.0000,0.0000,16015
1788477320.9,0,0.0000,0.0000,0.0000,16401
1788477320.9,1,0.0000,0.0000,0.0000,16015
1788477321.9,0,0.0000,0.0000,0.0000,16401
1788477321.9,1,0.0000,0.0000,0.0000,16015
1788477322.9,0,0.6450,0.0980,0.0930,21033
1788477322.9,1,0.1380,0.0210,0.0250,17287
1788477323.9,0,0.7590,0.1160,0.1130,21033
1788477323.9,1,0.0000,0.0000,0.0010,16087
1788477324.9,0,0.7200,0.1120,0.1150,21033
1788477324.9,1,0.0000,0.0000,0.0000,26107
1788477325.9,0,0.0000,0.0000,0.0030,16473
1788477325.9,1,0.4170,0.0580,0.1160,26295
1788477326.9,0,0.0040,0.0020,0.0040,23293
1788477326.9,1,0.5500,0.0650,0.2710,26429
1788477327.9,0,0.7950,0.1230,0.1190,27815
1788477327.9,1,0.4140,0.0450,0.2380,26495
1788477328.9,0,0.9840,0.1530,0.1520,27815
1788477328.9,1,0.1820,0.0170,0.1260,27685
1788477329.9,0,0.7590,0.1070,0.1830,23483
1788477329.9,1,0.0000,0.0000,0.0000,27685
1788477330.9,0,0.5210,0.0550,0.2630,23643
1788477330.9,1,0.0000,0.0000,0.0000,27685
1788477332.0,0,0.5390,0.0550,0.2710,23695
1788477332.0,1,0.0000,0.0000,0.0000,27685
1788477333.0,0,0.0760,0.0100,0.0560,24879
1788477333.0,1,0.0000,0.0000,0.0000,27685
