ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1788477718.2,0,0.0000,0.0000,0.0020,164
1788477718.2,1,0.0000,0.0000,0.0020,17
1788477719.2,0,0.0000,0.0000,0.0000,164
1788477719.2,1,0.0000,0.0000,0.0000,17
1788477720.2,0,0.0000,0.0000,0.0000,164
1788477720.2,1,0.0000,0.0000,0.0000,17
1788477721.2,0,0.0000,0.0000,0.0000,164
1788477721.2,1,0.0000,0.0000,0.0000,17
1788477722.2,0,0.0000,0.0000,0.0000,164
1788477722.2,1,0.0000,0.0000,0.0000,17
1788477723.2,0,0.0000,0.0000,0.0000,164
1788477723.2,1,0.0000,0.0000,0.0000,17
1788477724.2,0,0.0000,0.0000,0.0000,164
1788477724.2,1,0.0000,0.0000,0.0000,17
1788477725.2,0,0.0000,0.0000,0.0000,164
1788477725.2,1,0.0000,0.0000,0.0000,17
1788477726.2,0,0.0000,0.0000,0.0000,164
1788477726.2,1,0.0000,0.0000,0.0000,17
1788477727.2,0,0.0000,0.0000,0.0000,164
1788477727.2,1,0.0000,0.0000,0.0000,17
1788477728.2,0,0.0000,0.0000,0.0000,164
1788477728.2,1,0.0000,0.0000,0.0000,17
1788477729.2,0,0.0000,0.0000,0.0000,1081
1788477729.2,1,0.0000,0.0000,0.0000,695
1788477730.3,0,0.0000,0.0000,0.0010,16401
1788477730.3,1,0.0000,0.0000,0.0010,16015
1788477731.3,0,0.0000,0.0000,0.0050,16401
1788477731.3,1,0.0000,0.0000,0.0060,16015
1788477732.3,0,0.0000,0.0000,0.0020,16401
1788477732.3,1,0.0000,0.0000,0.0020,16015
1788477733.3,0,0.0000,0.0000,0.0010,16401
1788477733.3,1,0.0000,0.0000,0.0010,16015
1788477734.3,0,0.0000,0.0000,0.0000,16401
1788477734.3,1,0.0000,0.0000,0.0000,16015
1788477735.3,0,0.0000,0.0000,0.0000,16401
1788477735.3,1,0.0000,0.0000,0.0000,16015
1788477736.3,0,0.0000,0.0000,0.0000,16401
1788477736.3,1,0.0000,0.0000,0.0000,16015
1788477737.3,0,0.0000,0.0000,0.0000,16401
1788477737.3,1,0.0000,0.0000,0.0000,16015
1788477738.3,0,0.6690,0.1020,0.0970,21033
1788477738.3,1,0.1390,0.0210,0.0250,17287
1788477739.3,0,0.7480,0.1140,0.1110,21033
1788477739.3,1,0.0000,0.0000,0.0010,16087
1788477740.3,0,0.7100,0.1100,0.1120,21033
1788477740.3,1,0.0000,0.0000,0.0000,26107
1788477741.3,0,0.0000,0.0000,0.0030,16473
1788477741.3,1,0.4110,0.0570,0.1120,26295
1788477742.3,0,0.0040,0.0020,0.0040,23293
1788477742.3,1,0.5310,0.0650,0.2550,26421
1788477743.3,0,0.7990,0.1230,0.1200,27815
1788477743.3,1,0.4720,0.0500,0.2730,26497
1788477744.3,0,0.9840,0.1530,0.1520,27815
1788477744.3,1,0.1560,0.0160,0.1100,27685
1788477745.3,0,0.7600,0.1070,0.1830,23515
1788477745.3,1,0.0000,0.0000,0.0000,27685
1788477746.3,0,0.5200,0.0550,0.2620,23667
1788477746.3,1,0.0000,0.0000,0.0000,27685
1788477747.3,0,0.5350,0.0550,0.2670,23697
1788477747.3,1,0.0000,0.0000,0.0000,27685
1788477748.3,0,0.0810,0.0100,0.0610,24879
1788477748.3,1,0.0000,0.0000,0.0000,27685
1788477749.3,0,0.0000,0.0000,0.0000,24879
1788477749.3,1,0.0000,0.0000,0.0000,27685
1788477750.3,0,0.0000,0.0000,0.0000,24879
1788477750.3,1,0.0000,0.0000,0.0000,27685
1788477751.3,0,0.0000,0.0000,0.0000,24879
1788477751.3,1,0.0000,0.0000,0.0000,27685
1788477752.3,0,0.0000,0.0000,0.0000,24879
1788477752.3,1,0.0000,0.0000,0.0000,27685
1788477753.3,0,0.0000,0.0000,0.0000,24879
1788477753.3,1,0.0000,0.0000,0.0000,27685
1788477754.3,0,0.0000,0.0000,0.0000,24879
1788477754.3,1,0.0000,0.0000,0.0000,27685
1788477755.3,0,0.0000,0.0000,0.0000,24879
1788477755.3,1,0.0000,0.0000,0.0000,27685
1788477756.3,0,0.0000,0.0000,0.0000,24879
1788477756.3,1,0.0000,0.0000,0.0000,27685
1788477757.3,0,0.0000,0.0000,0.0000,24879
1788477757.3,1,0.0000,0.0000,0.0000,27685
1788477758.3,0,0.0000,0.0000,0.0000,24879
1788477758.3,1,0.0000,0.0000,0.0000,27685
1788477759.3,0,0.0000,0.0000,0.0000,24879
1788477759.3,1,0.0000,0.0000,0.0000,27685
1788477760.3,0,0.0000,0.0000,0.0000,24879
1788477760.3,1,0.0000,0.0000,0.0000,27685
1788477761.3,0,0.0000,0.0000,0.0000,24879
1788477761.3,1,0.0000,0.0000,0.0000,27685
1788477762.3,0,0.0000,0.0000,0.0000,24879
1788477762.3,1,0.0000,0.0000,0.0000,27685
