ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1788480429.4,0,0.0000,0.0000,0.0000,164
1788480429.4,1,0.0000,0.0000,0.0000,17
1788480430.4,0,0.0000,0.0000,0.0000,164
1788480430.4,1,0.0000,0.0000,0.0000,17
1788480431.4,0,0.0000,0.0000,0.0000,164
1788480431.4,1,0.0000,0.0000,0.0000,17
1788480432.4,0,0.0000,0.0000,0.0000,164
1788480432.4,1,0.0000,0.0000,0.0000,17
1788480433.4,0,0.0000,0.0000,0.0000,164
1788480433.4,1,0.0000,0.0000,0.0000,17
1788480434.4,0,0.0000,0.0000,0.0000,164
1788480434.4,1,0.0000,0.0000,0.0000,17
1788480435.4,0,0.0000,0.0000,0.0000,164
1788480435.4,1,0.0000,0.0000,0.0000,17
1788480436.4,0,0.0000,0.0000,0.0000,164
1788480436.4,1,0.0000,0.0000,0.0000,17
1788480437.4,0,0.0000,0.0000,0.0000,164
1788480437.4,1,0.0000,0.0000,0.0000,17
1788480438.4,0,0.0000,0.0000,0.0000,164
1788480438.4,1,0.0000,0.0000,0.0000,17
1788480439.4,0,0.0000,0.0000,0.0000,164
1788480439.4,1,0.0000,0.0000,0.0000,17
1788480440.4,0,0.0000,0.0000,0.0000,1121
1788480440.4,1,0.0000,0.0000,0.0000,975
1788480441.4,0,0.0000,0.0000,0.0010,1801
1788480441.4,1,0.0000,0.0000,0.0010,1635
1788480442.4,0,0.0000,0.0000,0.0000,1801
1788480442.4,1,0.0000,0.0000,0.0000,1635
1788480443.4,0,0.0000,0.0000,0.0000,1801
1788480443.4,1,0.0000,0.0000,0.0000,1635
1788480444.4,0,0.0000,0.0000,0.0000,1801
1788480444.4,1,0.0000,0.0000,0.0000,1665
1788480445.4,0,0.0350,0.0060,0.0090,1833
1788480445.4,1,0.0100,0.0020,0.0030,1667
1788480446.4,0,0.0000,0.0000,0.0000,1833
1788480446.4,1,0.0000,0.0000,0.0000,1667
1788480447.4,0,0.0000,0.0000,0.0000,1833
1788480447.4,1,0.0000,0.0000,0.0000,1667
1788480448.4,0,0.0000,0.0000,0.0000,1833
1788480448.4,1,0.0000,0.0000,0.0000,1667
1788480449.4,0,0.0340,0.0070,0.0080,3193
1788480449.4,1,0.0090,0.0020,0.0020,2807
1788480450.4,0,0.0230,0.0030,0.0140,3451
1788480450.4,1,0.0240,0.0030,0.0140,3305
1788480451.4,0,0.0000,0.0000,0.0000,3451
1788480451.4,1,0.0000,0.0000,0.0000,3305
1788480452.4,0,0.0000,0.0000,0.0000,3451
1788480452.4,1,0.0000,0.0000,0.0000,3305
1788480453.4,0,0.0000,0.0000,0.0000,3451
1788480453.4,1,0.0000,0.0000,0.0000,3305
1788480454.4,0,0.2950,0.0460,0.0410,3453
1788480454.4,1,0.0010,0.0000,0.0000,3307
1788480455.4,0,0.0000,0.0000,0.0020,164
1788480455.4,1,0.0020,0.0000,0.0010,3307
1788480456.4,0,0.0000,0.0000,0.0000,164
1788480456.4,1,0.0000,0.0000,0.0000,3307
1788480457.4,0,0.0000,0.0000,0.0000,164
1788480457.4,1,0.0000,0.0000,0.0000,3307
1788480458.4,0,0.0000,0.0000,0.0000,164
1788480458.4,1,0.0080,0.0010,0.0040,3307
1788480459.4,0,0.0000,0.0000,0.0000,164
1788480459.4,1,0.0000,0.0000,0.0000,3307
1788480460.4,0,0.0000,0.0000,0.0000,164
1788480460.4,1,0.0090,0.0010,0.0050,3307
1788480461.4,0,0.0000,0.0000,0.0000,164
1788480461.4,1,0.0000,0.0000,0.0000,3307
1788480462.4,0,0.0000,0.0000,0.0000,164
1788480462.4,1,0.0000,0.0000,0.0000,3307
1788480463.4,0,0.0000,0.0000,0.0000,164
1788480463.4,1,0.0090,0.0010,0.0050,3307
1788480464.4,0,0.0000,0.0000,0.0000,164
1788480464.4,1,0.0090,0.0010,0.0050,3307
1788480465.4,0,0.0000,0.0000,0.0000,164
1788480465.4,1,0.0000,0.0000,0.0000,3307
1788480466.4,0,0.0000,0.0000,0.0000,164
1788480466.4,1,0.0030,0.0000,0.0020,3307
1788480467.4,0,0.0000,0.0000,0.0000,164
1788480467.4,1,0.0150,0.0010,0.0080,3307
1788480468.4,0,0.0000,0.0000,0.0000,164
1788480468.4,1,0.0000,0.0000,0.0000,3307
1788480469.4,0,0.0000,0.0000,0.0000,164
1788480469.4,1,0.0090,0.0010,0.0050,3307
1788480470.4,0,0.0000,0.0000,0.0000,164
1788480470.4,1,0.0000,0.0000,0.0000,3307
1788480471.4,0,0.0000,0.0000,0.0000,164
1788480471.4,1,0.0000,0.0000,0.0000,3307
1788480472.4,0,0.0000,0.0000,0.0000,164
1788480472.4,1,0.0000,0.0000,0.0000,3307
1788480473.4,0,0.0000,0.0000,0.0000,164
1788480473.4,1,0.0090,0.0010,0.0050,3307
1788480474.4,0,0.0000,0.0000,0.0000,164
1788480474.4,1,0.2760,0.0220,0.1880,3307
1788480475.4,0,0.0000,0.0000,0.0000,164
1788480475.4,1,0.1410,0.0110,0.1020,3307
1788480476.4,0,0.0000,0.0000,0.0000,164
