ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1788480349.1,0,0.0000,0.0000,0.0000,164
1788480349.1,1,0.0000,0.0000,0.0000,17
1788480350.1,0,0.0000,0.0000,0.0000,164
1788480350.1,1,0.0000,0.0000,0.0000,17
1788480351.1,0,0.0000,0.0000,0.0000,164
1788480351.1,1,0.0000,0.0000,0.0000,17
1788480352.1,0,0.0000,0.0000,0.0000,164
1788480352.1,1,0.0000,0.0000,0.0000,17
1788480353.1,0,0.0000,0.0000,0.0000,164
1788480353.1,1,0.0000,0.0000,0.0000,17
1788480354.1,0,0.0000,0.0000,0.0000,164
1788480354.1,1,0.0000,0.0000,0.0000,17
1788480355.1,0,0.0000,0.0000,0.0000,164
1788480355.1,1,0.0000,0.0000,0.0000,17
1788480356.1,0,0.0000,0.0000,0.0000,164
1788480356.1,1,0.0000,0.0000,0.0000,17
1788480357.1,0,0.0000,0.0000,0.0000,164
1788480357.1,1,0.0000,0.0000,0.0000,17
1788480358.1,0,0.0000,0.0000,0.0000,164
1788480358.1,1,0.0000,0.0000,0.0000,17
1788480359.1,0,0.0000,0.0000,0.0000,164
1788480359.1,1,0.0000,0.0000,0.0000,17
1788480360.1,0,0.0000,0.0000,0.0000,1121
1788480360.1,1,0.0000,0.0000,0.0000,975
1788480361.1,0,0.0000,0.0000,0.0010,1801
1788480361.1,1,0.0000,0.0000,0.0010,1635
1788480362.1,0,0.0000,0.0000,0.0000,1801
1788480362.1,1,0.0000,0.0000,0.0000,1635
1788480363.1,0,0.0000,0.0000,0.0000,1801
1788480363.1,1,0.0000,0.0000,0.0000,1635
1788480364.1,0,0.0000,0.0000,0.0000,1801
1788480364.1,1,0.0000,0.0000,0.0000,1635
1788480365.1,0,0.0110,0.0020,0.0020,2133
1788480365.1,1,0.0010,0.0000,0.0000,1727
1788480366.1,0,0.0240,0.0040,0.0060,1833
1788480366.1,1,0.0090,0.0020,0.0030,1667
1788480367.1,0,0.0000,0.0000,0.0000,1833
1788480367.1,1,0.0000,0.0000,0.0000,1667
1788480368.1,0,0.0560,0.0090,0.0200,3009
1788480368.1,1,0.0290,0.0040,0.0130,2843
1788480369.1,0,0.0020,0.0010,0.0020,3451
1788480369.1,1,0.0050,0.0010,0.0030,3305
1788480370.1,0,0.0000,0.0000,0.0000,3451
1788480370.1,1,0.0000,0.0000,0.0000,3305
1788480371.1,0,0.0000,0.0000,0.0000,3451
1788480371.1,1,0.0000,0.0000,0.0000,3305
1788480372.1,0,0.0000,0.0000,0.0000,3451
1788480372.1,1,0.0000,0.0000,0.0000,3305
1788480373.1,0,0.2740,0.0430,0.0380,3453
1788480373.1,1,0.0000,0.0000,0.0000,3305
1788480374.1,0,0.0210,0.0030,0.0050,164
1788480374.1,1,0.0030,0.0000,0.0010,3307
1788480375.1,0,0.0000,0.0000,0.0000,164
1788480375.1,1,0.0000,0.0000,0.0000,3307
1788480376.1,0,0.0000,0.0000,0.0000,164
1788480376.1,1,0.0000,0.0000,0.0000,3307
1788480377.1,0,0.0000,0.0000,0.0000,164
1788480377.1,1,0.0080,0.0010,0.0040,3307
1788480378.1,0,0.0000,0.0000,0.0000,164
1788480378.1,1,0.0000,0.0000,0.0000,3307
1788480379.1,0,0.0000,0.0000,0.0000,164
1788480379.1,1,0.0090,0.0010,0.0050,3307
1788480380.1,0,0.0000,0.0000,0.0000,164
1788480380.1,1,0.0000,0.0000,0.0000,3307
1788480381.1,0,0.0000,0.0000,0.0000,164
1788480381.1,1,0.0000,0.0000,0.0000,3307
1788480382.1,0,0.0000,0.0000,0.0000,164
1788480382.1,1,0.0090,0.0010,0.0050,3307
1788480383.1,0,0.0000,0.0000,0.0000,164
1788480383.1,1,0.0090,0.0010,0.0050,3307
1788480384.1,0,0.0000,0.0000,0.0000,164
1788480384.1,1,0.0000,0.0000,0.0000,3307
1788480385.1,0,0.0000,0.0000,0.0000,164
1788480385.1,1,0.0000,0.0000,0.0000,3307
1788480386.1,0,0.0000,0.0000,0.0000,164
1788480386.1,1,0.0170,0.0020,0.0090,3307
1788480387.1,0,0.0000,0.0000,0.0000,164
1788480387.1,1,0.0000,0.0000,0.0000,3307
1788480388.1,0,0.0000,0.0000,0.0000,164
1788480388.1,1,0.0090,0.0010,0.0050,3307
1788480389.1,0,0.0000,0.0000,0.0000,164
1788480389.1,1,0.0000,0.0000,0.0000,3307
1788480390.1,0,0.0000,0.0000,0.0000,164
1788480390.1,1,0.0000,0.0000,0.0000,3307
1788480391.1,0,0.0000,0.0000,0.0000,164
1788480391.1,1,0.0000,0.0000,0.0000,3307
1788480392.1,0,0.0000,0.0000,0.0000,164
1788480392.1,1,0.0090,0.0010,0.0050,3307
1788480393.1,0,0.0000,0.0000,0.0000,164
1788480393.1,1,0.1790,0.0130,0.1270,3307
1788480394.1,0,0.0000,0.0000,0.0000,164
