ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1788480631.3,0,0.0000,0.0000,0.0000,170
1788480631.3,1,0.0000,0.0000,0.0000,17
1788480632.3,0,0.0000,0.0000,0.0000,170
1788480632.3,1,0.0000,0.0000,0.0000,17
1788480633.3,0,0.0000,0.0000,0.0000,170
1788480633.3,1,0.0000,0.0000,0.0000,17
1788480634.3,0,0.0000,0.0000,0.0000,170
1788480634.3,1,0.0000,0.0000,0.0000,17
1788480635.3,0,0.0000,0.0000,0.0000,170
1788480635.3,1,0.0000,0.0000,0.0000,17
1788480636.3,0,0.0000,0.0000,0.0000,170
1788480636.3,1,0.0000,0.0000,0.0000,17
1788480637.3,0,0.0000,0.0000,0.0000,170
1788480637.3,1,0.0000,0.0000,0.0000,17
1788480638.3,0,0.0000,0.0000,0.0000,170
1788480638.3,1,0.0000,0.0000,0.0000,17
1788480639.3,0,0.0000,0.0000,0.0000,170
1788480639.3,1,0.0000,0.0000,0.0000,17
1788480640.3,0,0.0000,0.0000,0.0000,170
1788480640.3,1,0.0000,0.0000,0.0000,17
1788480641.3,0,0.0000,0.0000,0.0000,170
1788480641.3,1,0.0000,0.0000,0.0000,17
1788480642.3,0,0.0000,0.0000,0.0000,1127
1788480642.3,1,0.0000,0.0000,0.0000,975
1788480643.3,0,0.0000,0.0000,0.0010,1807
1788480643.3,1,0.0000,0.0000,0.0010,1635
1788480644.3,0,0.0000,0.0000,0.0000,1807
1788480644.3,1,0.0000,0.0000,0.0000,1635
1788480645.3,0,0.0000,0.0000,0.0000,1807
1788480645.3,1,0.0000,0.0000,0.0000,1635
1788480646.3,0,0.0000,0.0000,0.0000,1877
1788480646.3,1,0.0000,0.0000,0.0000,1635
1788480647.3,0,0.0350,0.0060,0.0090,1839
1788480647.3,1,0.0100,0.0020,0.0030,1667
1788480648.3,0,0.0000,0.0000,0.0000,1839
1788480648.3,1,0.0000,0.0000,0.0000,1667
1788480649.3,0,0.0550,0.0090,0.0200,3015
1788480649.3,1,0.0220,0.0030,0.0090,2837
1788480650.3,0,0.0030,0.0010,0.0020,3457
1788480650.3,1,0.0110,0.0010,0.0060,3305
1788480651.3,0,0.0000,0.0000,0.0000,3457
1788480651.3,1,0.0000,0.0000,0.0000,3305
1788480652.3,0,0.0000,0.0000,0.0000,3457
1788480652.3,1,0.0000,0.0000,0.0000,3305
1788480653.3,0,0.0000,0.0000,0.0000,3457
1788480653.3,1,0.0000,0.0000,0.0000,3305
1788480654.3,0,0.3160,0.0500,0.0440,3459
1788480654.3,1,0.0000,0.0000,0.0000,3305
1788480655.3,0,0.4350,0.0680,0.0610,3459
1788480655.3,1,0.0000,0.0000,0.0000,3305
1788480656.3,0,0.4300,0.0670,0.0610,3459
1788480656.3,1,0.0000,0.0000,0.0000,3305
1788480657.3,0,0.4390,0.0690,0.0620,3459
1788480657.3,1,0.0000,0.0000,0.0000,3305
1788480658.3,0,0.1470,0.0230,0.0230,170
1788480658.3,1,0.0030,0.0000,0.0010,3307
1788480659.3,0,0.0000,0.0000,0.0000,170
1788480659.3,1,0.0000,0.0000,0.0000,3307
1788480660.3,0,0.0000,0.0000,0.0000,170
1788480660.3,1,0.0000,0.0000,0.0000,3307
1788480661.3,0,0.0000,0.0000,0.0000,170
1788480661.3,1,0.0000,0.0000,0.0000,3307
1788480662.3,0,0.0000,0.0000,0.0000,170
1788480662.3,1,0.0080,0.0010,0.0040,3307
1788480663.3,0,0.0000,0.0000,0.0000,170
1788480663.3,1,0.0090,0.0010,0.0050,3307
1788480664.3,0,0.0000,0.0000,0.0000,170
1788480664.3,1,0.0000,0.0000,0.0000,3307
1788480665.3,0,0.0000,0.0000,0.0000,170
1788480665.3,1,0.0000,0.0000,0.0000,3307
1788480666.3,0,0.0000,0.0000,0.0000,170
1788480666.3,1,0.0000,0.0000,0.0000,3307
1788480667.3,0,0.0000,0.0000,0.0000,170
1788480667.3,1,0.0170,0.0020,0.0090,3307
1788480668.3,0,0.0000,0.0000,0.0000,170
1788480668.3,1,0.0000,0.0000,0.0000,3307
1788480669.3,0,0.0000,0.0000,0.0000,170
1788480669.3,1,0.0000,0.0000,0.0000,3307
1788480670.3,0,0.0000,0.0000,0.0000,170
1788480670.3,1,0.0090,0.0010,0.0050,3307
1788480671.3,0,0.0000,0.0000,0.0000,170
1788480671.3,1,0.0090,0.0010,0.0050,3307
1788480672.3,0,0.0000,0.0000,0.0000,170
1788480672.3,1,0.0090,0.0010,0.0050,3307
1788480673.3,0,0.0000,0.0000,0.0000,170
1788480673.3,1,0.0000,0.0000,0.0000,3307
1788480674.3,0,0.0000,0.0000,0.0000,170
1788480674.3,1,0.0000,0.0000,0.0000,3307
1788480675.3,0,0.0000,0.0000,0.0000,170
1788480675.3,1,0.0000,0.0000,0.0000,3307
1788480676.3,0,0.0000,0.0000,0.0000,170
1788480676.3,1,0.0000,0.0000,0.0000,3307
1788480677.3,0,0.0000,0.0000,0.0000,170
1788480677.3,1,0.0090,0.0010,0.0050,3307
1788480678.3,0,0.0000,0.0000,0.0000,170
1788480678.3,1,0.0090,0.0010,0.0050,3307
1788480679.3,0,0.0000,0.0000,0.0000,170
