ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1787711644.3,0,0.0000,0.0000,0.0000,164
1787711644.3,1,0.0000,0.0000,0.0000,17
1787711645.3,0,0.0000,0.0000,0.0000,164
1787711645.3,1,0.0000,0.0000,0.0000,17
1787711646.3,0,0.0000,0.0000,0.0000,164
1787711646.3,1,0.0000,0.0000,0.0000,17
1787711647.3,0,0.0000,0.0000,0.0000,164
1787711647.3,1,0.0000,0.0000,0.0000,17
1787711648.3,0,0.0000,0.0000,0.0000,164
1787711648.3,1,0.0000,0.0000,0.0000,17
1787711649.3,0,0.0000,0.0000,0.0000,164
1787711649.3,1,0.0000,0.0000,0.0000,17
1787711650.3,0,0.0000,0.0000,0.0000,164
1787711650.3,1,0.0000,0.0000,0.0000,17
1787711651.3,0,0.0000,0.0000,0.0000,164
1787711651.3,1,0.0000,0.0000,0.0000,17
1787711652.3,0,0.0000,0.0000,0.0000,164
1787711652.3,1,0.0000,0.0000,0.0000,17
1787711653.3,0,0.0000,0.0000,0.0000,164
1787711653.3,1,0.0000,0.0000,0.0000,17
1787711654.3,0,0.0000,0.0000,0.0000,164
1787711654.3,1,0.0000,0.0000,0.0000,17
1787711655.3,0,0.0000,0.0000,0.0000,2181
1787711655.3,1,0.0000,0.0000,0.0000,1795
1787711656.3,0,0.0000,0.0000,0.0000,16401
1787711656.3,1,0.0000,0.0000,0.0000,16015
1787711657.3,0,0.0000,0.0000,0.0040,16401
1787711657.3,1,0.0000,0.0000,0.0060,16015
1787711658.3,0,0.0000,0.0000,0.0050,16401
1787711658.3,1,0.0000,0.0000,0.0030,16015
1787711659.3,0,0.0000,0.0000,0.0000,16401
1787711659.3,1,0.0000,0.0000,0.0000,16015
1787711660.3,0,0.0000,0.0000,0.0000,16401
1787711660.3,1,0.0000,0.0000,0.0000,16015
1787711661.3,0,0.0000,0.0000,0.0000,16401
1787711661.3,1,0.0000,0.0000,0.0000,16015
1787711662.3,0,0.0000,0.0000,0.0000,17631
1787711662.3,1,0.0500,0.0070,0.0070,16327
1787711663.3,0,0.8750,0.1340,0.1310,21033
1787711663.3,1,0.0890,0.0140,0.0180,17287
1787711664.3,0,0.7470,0.1130,0.1100,21033
1787711664.3,1,0.0000,0.0000,0.0010,16087
1787711665.3,0,0.4930,0.0780,0.0800,21033
1787711665.3,1,0.1000,0.0160,0.0190,24307
1787711666.3,0,0.0000,0.0000,0.0030,16473
1787711666.3,1,0.5530,0.0780,0.1850,24255
1787711667.3,0,0.0040,0.0020,0.0040,27713
1787711667.3,1,0.3950,0.0350,0.2480,24397
1787711668.3,0,0.9480,0.1460,0.1430,27815
1787711668.3,1,0.4930,0.0510,0.2830,24445
1787711669.3,0,0.9840,0.1530,0.1520,27815
1787711669.3,1,0.0250,0.0060,0.0150,25645
1787711670.3,0,0.6930,0.0960,0.1900,23521
1787711670.3,1,0.0000,0.0000,0.0000,25645
1787711671.3,0,0.4760,0.0450,0.2650,23669
1787711671.3,1,0.0000,0.0000,0.0000,25645
1787711672.3,0,0.5470,0.0550,0.2800,23697
1787711672.3,1,0.0000,0.0000,0.0000,25645
1787711673.3,0,0.0270,0.0060,0.0150,24879
1787711673.3,1,0.0000,0.0000,0.0000,25645
1787711674.3,0,0.0000,0.0000,0.0000,24879
1787711674.3,1,0.0000,0.0000,0.0000,25645
1787711675.3,0,0.0000,0.0000,0.0000,24879
1787711675.3,1,0.0000,0.0000,0.0000,25645
1787711676.3,0,0.0000,0.0000,0.0000,24879
1787711676.3,1,0.0000,0.0000,0.0000,25645
1787711677.3,0,0.0000,0.0000,0.0000,24879
1787711677.3,1,0.0000,0.0000,0.0000,25645
1787711678.3,0,0.0000,0.0000,0.0000,24879
1787711678.3,1,0.0000,0.0000,0.0000,25645
