ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1788483879.6,0,0.0000,0.0000,0.0000,164
1788483879.6,1,0.0000,0.0000,0.0000,17
1788483880.6,0,0.0000,0.0000,0.0000,164
1788483880.6,1,0.0000,0.0000,0.0000,17
1788483881.6,0,0.0000,0.0000,0.0000,164
1788483881.6,1,0.0000,0.0000,0.0000,17
1788483882.6,0,0.0000,0.0000,0.0000,164
1788483882.6,1,0.0000,0.0000,0.0000,17
1788483883.6,0,0.0000,0.0000,0.0000,164
1788483883.6,1,0.0000,0.0000,0.0000,17
1788483884.6,0,0.0000,0.0000,0.0000,164
1788483884.6,1,0.0000,0.0000,0.0000,17
1788483885.6,0,0.0000,0.0000,0.0000,164
1788483885.6,1,0.0000,0.0000,0.0000,17
1788483886.6,0,0.0000,0.0000,0.0000,164
1788483886.6,1,0.0000,0.0000,0.0000,17
1788483887.6,0,0.0000,0.0000,0.0000,164
1788483887.6,1,0.0000,0.0000,0.0000,17
1788483888.6,0,0.0000,0.0000,0.0000,164
1788483888.6,1,0.0000,0.0000,0.0000,17
1788483889.6,0,0.0000,0.0000,0.0000,749
1788483889.6,1,0.0000,0.0000,0.0000,603
1788483890.6,0,0.0000,0.0000,0.0000,16401
1788483890.6,1,0.0000,0.0000,0.0000,16015
1788483891.6,0,0.0000,0.0000,0.0010,16401
1788483891.6,1,0.0000,0.0000,0.0010,16015
1788483892.6,0,0.0000,0.0000,0.0010,16401
1788483892.6,1,0.0000,0.0000,0.0010,16015
1788483893.6,0,0.0000,0.0000,0.0010,16401
1788483893.6,1,0.0000,0.0000,0.0010,16015
1788483894.6,0,0.0000,0.0000,0.0010,16401
1788483894.6,1,0.0000,0.0000,0.0010,16015
1788483895.6,0,0.0000,0.0000,0.0010,16401
1788483895.6,1,0.0000,0.0000,0.0010,16015
1788483896.6,0,0.0000,0.0000,0.0030,16401
1788483896.6,1,0.0000,0.0000,0.0030,16015
1788483897.6,0,0.0000,0.0000,0.0020,16401
1788483897.6,1,0.0000,0.0000,0.0030,16015
1788483898.6,0,0.0000,0.0000,0.0010,16401
1788483898.6,1,0.0000,0.0000,0.0000,16015
1788483899.6,0,0.0000,0.0000,0.0000,16401
1788483899.6,1,0.0000,0.0000,0.0000,16015
1788483900.6,0,0.0000,0.0000,0.0000,16401
1788483900.6,1,0.0000,0.0000,0.0000,16015
1788483901.6,0,0.0000,0.0000,0.0000,16401
1788483901.6,1,0.0000,0.0000,0.0000,16015
1788483902.6,0,0.0000,0.0000,0.0000,17311
1788483902.6,1,0.0000,0.0000,0.0000,16085
1788483903.6,0,0.7780,0.1180,0.1130,21033
1788483903.6,1,0.1370,0.0210,0.0250,17287
1788483904.6,0,0.7510,0.1150,0.1120,21033
1788483904.6,1,0.0000,0.0000,0.0010,16087
1788483905.6,0,0.6030,0.0940,0.0960,21033
1788483905.6,1,0.0070,0.0030,0.0060,26367
1788483906.6,0,0.0000,0.0000,0.0030,16473
1788483906.6,1,0.5220,0.0710,0.1480,26323
1788483907.6,0,0.0040,0.0020,0.0040,27713
1788483907.6,1,0.4780,0.0520,0.2680,26457
1788483908.6,0,0.9030,0.1390,0.1360,27815
1788483908.6,1,0.4900,0.0510,0.2830,26505
1788483909.6,0,0.9840,0.1530,0.1520,27815
1788483909.6,1,0.0610,0.0090,0.0460,27685
1788483910.6,0,0.7140,0.0990,0.1860,23507
1788483910.6,1,0.0000,0.0000,0.0000,27685
1788483911.6,0,0.4970,0.0490,0.2730,23669
1788483911.6,1,0.0000,0.0000,0.0000,27685
1788483912.6,0,0.5520,0.0560,0.2820,23697
