ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1787717780.3,0,0.0000,0.0000,0.0000,164
1787717780.3,1,0.0000,0.0000,0.0000,17
1787717781.3,0,0.0000,0.0000,0.0000,164
1787717781.3,1,0.0000,0.0000,0.0000,17
1787717782.3,0,0.0000,0.0000,0.0000,164
1787717782.3,1,0.0000,0.0000,0.0000,17
1787717783.3,0,0.0000,0.0000,0.0000,164
1787717783.3,1,0.0000,0.0000,0.0000,17
1787717784.3,0,0.0000,0.0000,0.0000,164
1787717784.3,1,0.0000,0.0000,0.0000,17
1787717785.3,0,0.0000,0.0000,0.0000,164
1787717785.3,1,0.0000,0.0000,0.0000,17
1787717786.3,0,0.0000,0.0000,0.0000,164
1787717786.3,1,0.0000,0.0000,0.0000,17
1787717787.3,0,0.0000,0.0000,0.0000,164
1787717787.3,1,0.0000,0.0000,0.0000,17
1787717788.3,0,0.0000,0.0000,0.0000,164
1787717788.3,1,0.0000,0.0000,0.0000,17
1787717789.3,0,0.0000,0.0000,0.0000,164
1787717789.3,1,0.0000,0.0000,0.0000,17
1787717790.3,0,0.0000,0.0000,0.0000,164
1787717790.3,1,0.0000,0.0000,0.0000,17
1787717791.3,0,0.0000,0.0000,0.0000,1081
1787717791.3,1,0.0000,0.0000,0.0000,1795
1787717792.3,0,0.0000,0.0000,0.0000,16401
1787717792.3,1,0.0000,0.0000,0.0000,16015
1787717793.3,0,0.0000,0.0000,0.0010,16401
1787717793.3,1,0.0000,0.0000,0.0010,16015
1787717794.3,0,0.0000,0.0000,0.0010,16401
1787717794.3,1,0.0000,0.0000,0.0010,16015
1787717795.3,0,0.0000,0.0000,0.0010,16401
1787717795.3,1,0.0000,0.0000,0.0010,16015
1787717796.3,0,0.0000,0.0000,0.0020,16401
1787717796.3,1,0.0000,0.0000,0.0020,16015
1787717797.3,0,0.0000,0.0000,0.0040,16401
1787717797.3,1,0.0000,0.0000,0.0030,16015
1787717798.3,0,0.0000,0.0000,0.0010,16401
1787717798.3,1,0.0000,0.0000,0.0010,16015
1787717799.3,0,0.0000,0.0000,0.0000,16401
1787717799.3,1,0.0000,0.0000,0.0000,16015
1787717800.3,0,0.0000,0.0000,0.0000,16401
1787717800.3,1,0.0000,0.0000,0.0000,16015
1787717801.3,0,0.0000,0.0000,0.0000,16401
1787717801.3,1,0.0000,0.0000,0.0000,16015
1787717802.3,0,0.0000,0.0000,0.0000,16401
1787717802.3,1,0.0000,0.0000,0.0000,16015
1787717803.3,0,0.4540,0.0690,0.0640,21031
1787717803.3,1,0.1030,0.0150,0.0150,17287
1787717804.3,0,0.7560,0.1160,0.1130,21033
1787717804.3,1,0.0380,0.0070,0.0110,16087
1787717805.3,0,0.9080,0.1410,0.1430,21033
1787717805.3,1,0.0000,0.0000,0.0000,16087
1787717806.3,0,0.0000,0.0000,0.0030,16473
1787717806.3,1,0.3200,0.0440,0.0830,26297
1787717807.3,0,0.0000,0.0000,0.0000,16473
1787717807.3,1,0.5770,0.0740,0.2550,26409
1787717808.3,0,0.5810,0.0900,0.0870,27815
1787717808.3,1,0.4290,0.0460,0.2470,26487
1787717809.3,0,0.9840,0.1530,0.1520,27815
1787717809.3,1,0.2410,0.0220,0.1640,27685
1787717810.3,0,0.8280,0.1200,0.1710,23483
1787717810.3,1,0.0000,0.0000,0.0000,27685
1787717811.3,0,0.5690,0.0690,0.2350,23605
1787717811.3,1,0.0000,0.0000,0.0000,27685
1787717812.3,0,0.5120,0.0530,0.2630,23689
1787717812.3,1,0.0000,0.0000,0.0000,27685
1787717813.3,0,0.2190,0.0200,0.1400,24879
1787717813.3,1,0.0000,0.0000,0.0000,27685
1787717814.3,0,0.0000,0.0000,0.0000,24879
1787717814.3,1,0.0000,0.0000,0.0000,27685
1787717815.3,0,0.0000,0.0000,0.0000,24879
1787717815.3,1,0.0000,0.0000,0.0000,27685
1787717816.3,0,0.0000,0.0000,0.0000,24879
1787717816.3,1,0.0000,0.0000,0.0000,27685
1787717817.3,0,0.0000,0.0000,0.0000,24879
1787717817.3,1,0.0000,0.0000,0.0000,27685
1787717818.3,0,0.0000,0.0000,0.0000,24879
1787717818.3,1,0.0000,0.0000,0.0000,27685
1787717819.3,0,0.0000,0.0000,0.0000,24879
1787717819.3,1,0.0000,0.0000,0.0000,27685
1787717820.3,0,0.0000,0.0000,0.0000,24879
1787717820.3,1,0.0000,0.0000,0.0000,27685
1787717821.3,0,0.2830,0.0390,0.0380,24879
1787717821.3,1,0.0000,0.0000,0.0000,27685
1787717822.3,0,0.1950,0.0270,0.0280,24883
1787717822.3,1,0.4960,0.0650,0.1210,27693
1787717823.3,0,0.3030,0.0410,0.0410,24883
1787717823.3,1,0.0000,0.0000,0.0000,27693
1787717824.3,0,0.6790,0.0950,0.0950,25383
1787717824.3,1,0.0000,0.0000,0.0000,27693
1787717825.3,0,0.4250,0.0610,0.0610,25383
1787717825.3,1,0.0910,0.0100,0.0720,27693
1787717826.3,0,0.4680,0.0650,0.0660,25383
1787717826.3,1,0.0010,0.0000,0.0010,27693
1787717827.3,0,0.0000,0.0000,0.0000,25383
1787717827.3,1,0.4940,0.0610,0.1290,27693
1787717828.3,0,0.4700,0.0650,0.0660,25383
1787717828.3,1,0.2590,0.0350,0.0390,27693
1787717829.3,0,0.4750,0.0660,0.0660,25383
1787717829.3,1,0.2320,0.0280,0.0920,27693
1787717830.3,0,0.0550,0.0070,0.0080,25383
1787717830.3,1,0.4920,0.0640,0.1300,27693
1787717831.3,0,0.4160,0.0580,0.0590,25383
