ts,gpu,sm_active,sm_occupancy,dram_active,fb_used_mib
1787713336.9,0,0.0000,0.0000,0.0000,164
1787713336.9,1,0.0000,0.0000,0.0000,17
1787713337.9,0,0.0000,0.0000,0.0000,164
1787713337.9,1,0.0000,0.0000,0.0000,17
1787713338.9,0,0.0000,0.0000,0.0000,164
1787713338.9,1,0.0000,0.0000,0.0000,17
1787713339.9,0,0.0000,0.0000,0.0000,164
1787713339.9,1,0.0000,0.0000,0.0000,17
1787713340.9,0,0.0000,0.0000,0.0000,164
1787713340.9,1,0.0000,0.0000,0.0000,17
1787713341.9,0,0.0000,0.0000,0.0000,164
1787713341.9,1,0.0000,0.0000,0.0000,17
1787713342.9,0,0.0000,0.0000,0.0000,164
1787713342.9,1,0.0000,0.0000,0.0000,17
1787713343.9,0,0.0000,0.0000,0.0000,164
1787713343.9,1,0.0000,0.0000,0.0000,17
1787713344.9,0,0.0000,0.0000,0.0000,164
1787713344.9,1,0.0000,0.0000,0.0000,17
1787713345.9,0,0.0000,0.0000,0.0000,164
1787713345.9,1,0.0000,0.0000,0.0000,17
1787713346.9,0,0.0000,0.0000,0.0000,1081
1787713346.9,1,0.0000,0.0000,0.0000,695
1787713347.9,0,0.0000,0.0000,0.0000,16401
1787713347.9,1,0.0000,0.0000,0.0000,16015
1787713348.9,0,0.0000,0.0000,0.0010,16401
1787713348.9,1,0.0000,0.0000,0.0010,16015
1787713349.9,0,0.0000,0.0000,0.0020,16401
1787713349.9,1,0.0000,0.0000,0.0020,16015
1787713350.9,0,0.0000,0.0000,0.0050,16401
1787713350.9,1,0.0000,0.0000,0.0050,16015
1787713351.9,0,0.0000,0.0000,0.0010,16401
1787713351.9,1,0.0000,0.0000,0.0010,16015
1787713352.9,0,0.0000,0.0000,0.0010,16401
1787713352.9,1,0.0000,0.0000,0.0010,16015
1787713353.9,0,0.0000,0.0000,0.0000,16401
1787713353.9,1,0.0000,0.0000,0.0000,16015
1787713354.9,0,0.0000,0.0000,0.0000,16401
1787713354.9,1,0.0000,0.0000,0.0000,16015
1787713355.9,0,0.0000,0.0000,0.0000,16401
1787713355.9,1,0.0000,0.0000,0.0000,16015
1787713356.9,0,0.0000,0.0000,0.0000,16401
1787713356.9,1,0.0000,0.0000,0.0000,16015
1787713357.9,0,0.3250,0.0490,0.0470,21031
1787713357.9,1,0.0630,0.0090,0.0090,16327
1787713358.9,0,0.7460,0.1140,0.1140,21033
1787713358.9,1,0.0780,0.0130,0.0170,16087
1787713359.9,0,0.9610,0.1470,0.1420,21033
1787713359.9,1,0.0000,0.0000,0.0000,16087
1787713360.9,0,0.1940,0.0310,0.0360,16473
1787713360.9,1,0.1840,0.0290,0.0420,30387
1787713361.9,0,0.0000,0.0000,0.0000,16473
1787713361.9,1,0.6140,0.0840,0.2390,30473
1787713362.9,0,0.3550,0.0560,0.0540,27815
1787713362.9,1,0.3920,0.0420,0.2370,30571
1787713363.9,0,0.9840,0.1530,0.1510,27815
1787713363.9,1,0.3780,0.0330,0.2340,31785
1787713364.9,0,0.8980,0.1340,0.1660,23449
1787713364.9,1,0.0000,0.0000,0.0000,31785
1787713365.9,0,0.6010,0.0800,0.2130,23579
1787713365.9,1,0.0000,0.0000,0.0000,31785
1787713366.9,0,0.5010,0.0520,0.2650,23677
1787713366.9,1,0.0000,0.0000,0.0000,31785
1787713367.9,0,0.3370,0.0290,0.1980,24879
1787713367.9,1,0.0000,0.0000,0.0000,31785
1787713368.9,0,0.0000,0.0000,0.0000,24879
1787713368.9,1,0.0000,0.0000,0.0000,31785
1787713369.9,0,0.0000,0.0000,0.0000,24879
1787713369.9,1,0.0000,0.0000,0.0000,31785
1787713370.9,0,0.0000,0.0000,0.0000,24879
1787713370.9,1,0.0000,0.0000,0.0000,31785
1787713371.9,0,0.0000,0.0000,0.0000,24879
1787713371.9,1,0.0000,0.0000,0.0000,31785
1787713372.9,0,0.0000,0.0000,0.0000,24879
1787713372.9,1,0.0000,0.0000,0.0000,31785
1787713373.9,0,0.0000,0.0000,0.0000,24879
1787713373.9,1,0.0000,0.0000,0.0000,31785
1787713374.9,0,0.2360,0.0320,0.0320,24879
1787713374.9,1,0.0000,0.0000,0.0000,31785
1787713375.9,0,0.2400,0.0340,0.0340,24883
1787713375.9,1,0.4910,0.0650,0.1190,31793
1787713376.9,0,0.2580,0.0350,0.0350,24883
1787713376.9,1,0.0060,0.0010,0.0020,31793
1787713377.9,0,0.6410,0.0900,0.0910,25383
1787713377.9,1,0.0000,0.0000,0.0000,31793
1787713378.9,0,0.5000,0.0720,0.0710,25383
1787713378.9,1,0.0700,0.0080,0.0580,31793
1787713379.9,0,0.4730,0.0650,0.0660,25383
1787713379.9,1,0.0190,0.0020,0.0140,31793
1787713380.9,0,0.0000,0.0000,0.0000,25383
1787713380.9,1,0.2310,0.0250,0.0990,31795
1787713381.9,0,0.4670,0.0650,0.0660,25383
1787713381.9,1,0.2410,0.0330,0.0360,31795
1787713382.9,0,0.4730,0.0650,0.0650,25383
1787713382.9,1,0.2490,0.0310,0.0940,31795
1787713383.9,0,0.0110,0.0020,0.0020,25383
1787713383.9,1,0.4920,0.0640,0.1300,31795
1787713384.9,0,0.4610,0.0640,0.0650,25383
1787713384.9,1,0.3380,0.0460,0.0500,31795
1787713385.9,0,0.0000,0.0000,0.0000,25383
1787713385.9,1,0.1520,0.0180,0.0810,31795
1787713386.9,0,0.0000,0.0000,0.0000,25383
1787713386.9,1,0.0000,0.0000,0.0000,31795
1787713387.9,0,0.0000,0.0000,0.0000,25383
1787713387.9,1,0.0000,0.0000,0.0000,31795
1787713388.9,0,0.0000,0.0000,0.0000,25383
1787713388.9,1,0.0000,0.0000,0.0000,31795
1787713389.9,0,0.3570,0.0490,0.0480,25383
1787713389.9,1,0.0000,0.0000,0.0000,31795
1787713390.9,0,0.1260,0.0180,0.0180,25383
1787713390.9,1,0.5070,0.0660,0.1300,31795
1787713391.9,0,0.0000,0.0000,0.0000,25383
1787713391.9,1,0.0000,0.0000,0.0000,31795
1787713392.9,0,0.0000,0.0000,0.0000,25383
1787713392.9,1,0.0000,0.0000,0.0000,31795
1787713393.9,0,0.0000,0.0000,0.0000,25383
1787713393.9,1,0.0000,0.0000,0.0000,31795
1787713394.9,0,0.0000,0.0000,0.0000,25383
1787713394.9,1,0.0000,0.0000,0.0000,31795
1787713395.9,0,0.0000,0.0000,0.0000,25383
1787713395.9,1,0.0000,0.0000,0.0000,31795
1787713396.9,0,0.0000,0.0000,0.0000,25383
1787713396.9,1,0.0000,0.0000,0.0000,31795
1787713397.9,0,0.0000,0.0000,0.0000,25383
1787713397.9,1,0.0000,0.0000,0.0000,31795
1787713398.9,0,0.0000,0.0000,0.0000,25383
1787713398.9,1,0.0000,0.0000,0.0000,31795
1787713399.9,0,0.0000,0.0000,0.0000,25383
1787713399.9,1,0.0000,0.0000,0.0000,31795
1787713400.9,0,0.0000,0.0000,0.0000,25383
1787713400.9,1,0.0000,0.0000,0.0000,31795
1787713401.9,0,0.2440,0.0330,0.0330,25383
1787713401.9,1,0.0000,0.0000,0.0000,31795
1787713402.9,0,0.2320,0.0330,0.0330,25383
1787713402.9,1,0.5140,0.0670,0.1300,31795
1787713403.9,0,0.0000,0.0000,0.0000,25383
1787713403.9,1,0.0000,0.0000,0.0000,31795
1787713404.9,0,0.0000,0.0000,0.0000,25383
1787713404.9,1,0.0000,0.0000,0.0000,31795
1787713405.9,0,0.0000,0.0000,0.0000,25383
1787713405.9,1,0.0000,0.0000,0.0000,31795
1787713406.9,0,0.0000,0.0000,0.0000,25383
1787713406.9,1,0.0000,0.0000,0.0000,31795
1787713407.9,0,0.0000,0.0000,0.0000,25383
1787713407.9,1,0.0000,0.0000,0.0000,31795
1787713408.9,0,0.4700,0.0650,0.0660,25383
1787713408.9,1,0.0000,0.0000,0.0000,31795
1787713409.9,0,0.4740,0.0660,0.0660,25383
1787713409.9,1,0.0010,0.0000,0.0010,31795
1787713410.9,0,0.0000,0.0000,0.0000,25383
1787713410.9,1,0.4970,0.0620,0.1340,31795
1787713411.9,0,0.0000,0.0000,0.0000,25383
1787713411.9,1,0.0000,0.0000,0.0000,31795
1787713413.0,0,0.1410,0.0190,0.0190,25383
1787713413.0,1,0.0000,0.0000,0.0000,31795
1787713414.0,0,0.5590,0.0770,0.0780,25383
1787713414.0,1,0.0000,0.0000,0.0000,31795
1787713415.0,0,0.2490,0.0350,0.0350,25383
1787713415.0,1,0.1550,0.0150,0.0760,31795
1787713416.0,0,0.4670,0.0650,0.0660,25383
1787713416.0,1,0.2550,0.0340,0.0490,31795
1787713417.0,0,0.1580,0.0210,0.0210,25383
1787713417.0,1,0.2520,0.0310,0.0950,31795
1787713418.0,0,0.3200,0.0450,0.0450,25383
1787713418.0,1,0.4280,0.0570,0.0830,31795
1787713419.0,0,0.0000,0.0000,0.0000,25383
1787713419.0,1,0.0440,0.0050,0.0380,31795
1787713420.0,0,0.0000,0.0000,0.0000,25383
1787713420.0,1,0.0000,0.0000,0.0000,31795
1787713421.0,0,0.0000,0.0000,0.0000,25383
1787713421.0,1,0.0000,0.0000,0.0000,31795
1787713422.0,0,0.0000,0.0000,0.0000,25383
1787713422.0,1,0.0000,0.0000,0.0000,31795
1787713423.0,0,0.0000,0.0000,0.0000,25383
1787713423.0,1,0.0000,0.0000,0.0000,31795
1787713424.0,0,0.4680,0.0650,0.0660,25383
1787713424.0,1,0.2550,0.0350,0.0350,31795
1787713425.0,0,0.5600,0.0770,0.0780,25383
1787713425.0,1,0.2590,0.0320,0.0950,31795
1787713426.0,0,0.3820,0.0530,0.0540,25383
1787713426.0,1,0.1430,0.0200,0.0240,31795
1787713427.0,0,0.0000,0.0000,0.0000,25383
1787713427.0,1,0.3530,0.0420,0.1110,31795
1787713428.0,0,0.4760,0.0660,0.0650,25383
1787713428.0,1,0.0000,0.0000,0.0000,31795
1787713429.0,0,0.6870,0.0960,0.0960,25383
1787713429.0,1,0.0000,0.0000,0.0000,31795
1787713430.0,0,0.2560,0.0370,0.0360,25383
1787713430.0,1,0.1470,0.0200,0.0210,31795
1787713431.0,0,0.4760,0.0660,0.0660,25383
1787713431.0,1,0.4490,0.0580,0.0730,31795
1787713432.0,0,0.4690,0.0650,0.0660,25383
1787713432.0,1,0.2570,0.0300,0.0960,31795
1787713433.0,0,0.0000,0.0000,0.0000,25383
1787713433.0,1,0.4390,0.0570,0.1220,31795
1787713434.0,0,0.0000,0.0000,0.0000,25383
1787713434.0,1,0.0000,0.0000,0.0000,31795
1787713435.0,0,0.1210,0.0170,0.0170,25383
1787713435.0,1,0.0000,0.0000,0.0000,31795
1787713436.0,0,0.5450,0.0750,0.0760,25383
1787713436.0,1,0.4350,0.0580,0.0590,31795
1787713437.0,0,0.5290,0.0730,0.0750,25383
1787713437.0,1,0.5580,0.0710,0.1870,31795
1787713438.0,0,0.2180,0.0310,0.0310,25383
1787713438.0,1,0.5100,0.0660,0.1450,31795
1787713439.0,0,0.0000,0.0000,0.0000,25383
1787713439.0,1,0.0000,0.0000,0.0000,31795
1787713440.0,0,0.0000,0.0000,0.0000,25383
1787713440.0,1,0.0000,0.0000,0.0000,31795
1787713441.0,0,0.4720,0.0650,0.0660,25383
1787713441.0,1,0.1360,0.0190,0.0190,31795
1787713442.0,0,0.0000,0.0000,0.0000,25383
1787713442.0,1,0.3710,0.0470,0.1120,31795
1787713443.0,0,0.0000,0.0000,0.0000,25383
1787713443.0,1,0.0000,0.0000,0.0000,31795
1787713444.0,0,0.2390,0.0330,0.0320,25383
1787713444.0,1,0.0000,0.0000,0.0000,31795
1787713445.0,0,0.2380,0.0330,0.0340,25383
1787713445.0,1,0.4840,0.0630,0.1070,31795
1787713446.0,0,0.3850,0.0530,0.0530,25383
1787713446.0,1,0.0290,0.0030,0.0230,31795
1787713447.0,0,0.0910,0.0130,0.0130,25383
1787713447.0,1,0.0000,0.0000,0.0000,31795
1787713448.0,0,0.4770,0.0660,0.0660,25383
1787713448.0,1,0.0010,0.0000,0.0010,31795
1787713449.0,0,0.4740,0.0650,0.0650,25383
1787713449.0,1,0.0810,0.0090,0.0710,31795
1787713450.0,0,0.0030,0.0010,0.0010,25383
1787713450.0,1,0.2330,0.0250,0.0950,31795
1787713451.0,0,0.0000,0.0000,0.0000,25383
1787713451.0,1,0.0000,0.0000,0.0000,31795
1787713452.0,0,0.0280,0.0050,0.0120,25385
1787713452.0,1,0.0170,0.0020,0.0100,31795
1787713453.0,0,0.0000,0.0000,0.0000,25385
1787713453.0,1,0.7730,0.0510,0.7090,31795
1787713454.0,0,0.0180,0.0020,0.0100,25385
1787713454.0,1,0.5260,0.0350,0.4830,31795
1787713455.0,0,0.0280,0.0050,0.0120,25385
1787713455.0,1,0.0180,0.0020,0.0110,31795
1787713456.0,0,0.0780,0.0080,0.0390,25385
1787713456.0,1,0.2430,0.0180,0.2000,31795
1787713457.0,0,0.0340,0.0020,0.0180,25385
1787713457.0,1,0.3570,0.0250,0.2760,31795
1787713458.0,0,0.0510,0.0040,0.0280,25385
1787713458.0,1,0.4650,0.0290,0.3920,31795
1787713459.0,0,0.0670,0.0050,0.0360,25385
1787713459.0,1,0.2810,0.0190,0.2090,31795
1787713460.0,0,0.0000,0.0000,0.0000,25385
1787713460.0,1,0.8070,0.0550,0.7600,31795
1787713461.0,0,0.0350,0.0030,0.0190,25385
1787713461.0,1,0.5400,0.0330,0.4730,31795
1787713462.0,0,0.0180,0.0020,0.0100,25385
1787713462.0,1,0.6610,0.0390,0.5960,31795
1787713463.0,0,0.0170,0.0010,0.0090,25385
1787713463.0,1,0.7490,0.0500,0.6880,31795
1787713464.0,0,0.0180,0.0020,0.0100,25385
1787713464.0,1,0.7250,0.0680,0.6710,31795
1787713465.0,0,0.0360,0.0030,0.0200,25385
1787713465.0,1,0.5380,0.0470,0.4850,31795
1787713466.0,0,0.0330,0.0020,0.0180,25385
1787713466.0,1,0.4910,0.0300,0.4210,31795
1787713467.0,0,0.0000,0.0000,0.0000,25385
1787713467.0,1,0.8670,0.0520,0.7940,31795
1787713468.0,0,0.0000,0.0000,0.0000,25385
1787713468.0,1,0.1590,0.0100,0.1440,31795
1787713469.0,0,0.0000,0.0000,0.0000,25385
1787713469.0,1,0.0000,0.0000,0.0000,31795
1787713470.0,0,0.0340,0.0020,0.0180,25385
1787713470.0,1,0.3420,0.0230,0.2950,31795
1787713471.0,0,0.0170,0.0010,0.0090,25385
1787713471.0,1,0.7420,0.0490,0.6780,31795
1787713472.0,0,0.0180,0.0020,0.0100,25385
1787713472.0,1,0.8810,0.0900,0.8220,31795
1787713473.0,0,0.0510,0.0040,0.0280,25385
