ts,step,dt_ms,tok_per_s,loss,peak_gib
1787724909.152,1,309.4,3309,13.6184,3.98
1787724910.118,2,36.9,27731,13.4368,4.01
1787724910.266,3,36.9,27752,13.3045,4.01
1787724910.414,4,36.8,27855,13.1868,4.01
1787724910.561,5,36.4,28148,13.0995,4.01
1787724910.707,6,36.6,27984,13.0103,4.01
1787724910.854,7,37.4,27347,12.8896,4.01
1787724911.005,8,38.2,26795,12.8395,4.01
1787724911.158,9,37.7,27169,12.7809,4.01
1787724911.308,10,36.5,28045,12.7030,4.01
1787724911.454,11,36.8,27818,12.6822,4.01
1787724911.602,12,37.0,27706,12.5716,4.01
1787724911.750,13,36.9,27763,12.4623,4.01
1787724911.897,14,36.3,28217,12.4606,4.01
1787724912.043,15,36.8,27855,12.4395,4.01
1787724912.198,16,44.4,23078,12.4212,4.01
1787724912.376,17,44.1,23194,12.3685,4.01
1787724912.551,18,42.0,24408,12.3202,4.01
1787724912.717,19,39.3,26081,12.2733,4.01
1787724912.873,20,38.1,26864,12.2558,4.01
1787724913.024,21,36.8,27852,12.2736,4.01
1787724913.172,22,36.9,27774,12.2543,4.01
1787724913.324,23,41.5,24676,12.2591,4.01
1787724913.502,24,52.7,19444,12.1740,4.01
1787724913.700,25,39.5,25939,12.1755,4.01
1787724913.865,26,45.6,22479,12.1460,4.01
1787724914.047,27,45.7,22405,12.1662,4.01
1787724914.259,28,73.6,13905,12.1462,4.01
1787724914.517,29,36.8,27793,12.1372,4.01
1787724914.665,30,36.8,27795,12.1103,4.01
1787724914.812,31,36.8,27790,12.0904,4.01
1787724914.960,32,36.7,27894,12.0977,4.01
1787724915.107,33,36.6,27957,12.1150,4.01
1787724915.254,34,36.9,27768,12.1049,4.01
1787724915.444,35,77.6,13190,12.0912,4.01
1787724915.718,36,40.1,25509,12.1080,4.01
1787724915.918,37,77.6,13197,12.0864,4.01
1787724916.188,38,37.1,27591,12.0754,4.01
1787724916.337,39,36.7,27899,12.0622,4.01
1787724916.484,40,36.7,27886,12.0602,4.01
1787724916.633,41,39.4,25969,12.1059,4.01
1787724916.819,42,65.2,15694,12.0553,4.01
1787724917.056,43,40.8,25076,12.0438,4.01
1787724917.258,44,77.6,13189,12.0692,4.01
1787724917.528,45,36.9,27720,12.0529,4.01
1787724917.677,46,36.9,27734,12.0584,4.01
1787724917.824,47,36.7,27922,12.0681,4.01
1787724917.971,48,36.6,27963,12.0516,4.01
1787724918.118,49,37.0,27676,12.0583,4.01
1787724918.308,50,77.6,13197,12.0398,4.01
1787724918.581,51,40.3,25422,12.0434,4.01
1787724918.781,52,77.8,13165,12.0371,4.01
1787724919.051,53,37.1,27574,12.0220,4.01
1787724919.200,54,37.0,27657,12.0113,4.01
1787724919.349,55,36.9,27735,12.0188,4.01
1787724919.497,56,36.8,27811,12.0159,4.01
1787724919.645,57,36.8,27853,12.0215,4.01
1787724919.792,58,37.0,27667,12.0174,4.01
