ts,step,dt_ms,tok_per_s,loss,peak_gib,gated_ms
1787728961.792,1,740.9,1382,12.2742,1.50,434.9
1787728961.809,2,15.7,65371,12.3231,1.52,0.0
1787728961.823,3,14.5,70547,12.1514,1.52,0.0
1787728961.838,4,14.5,70619,12.1293,1.52,0.0
1787728961.852,5,14.5,70496,12.0301,1.52,0.0
1787728961.867,6,14.5,70643,12.0983,1.52,0.0
1787728961.882,7,14.5,70771,12.0297,1.52,0.0
1787728961.896,8,14.5,70639,11.9911,1.52,0.0
1787728961.911,9,14.5,70591,11.8919,1.52,0.0
1787728961.925,10,14.5,70657,11.7974,1.52,0.0
1787728961.940,11,14.5,70697,11.8606,1.52,0.0
1787728961.955,12,14.5,70559,11.7393,1.52,0.0
1787728961.969,13,14.5,70555,11.7073,1.52,0.0
1787728961.984,14,14.5,70697,11.6954,1.52,0.0
1787728961.998,15,14.5,70588,11.6062,1.52,0.0
1787728962.013,16,14.5,70693,11.5442,1.52,0.0
1787728962.028,17,14.5,70549,11.5781,1.52,0.0
1787728962.042,18,14.5,70610,11.5290,1.52,0.0
1787728962.057,19,14.8,69410,11.4841,1.52,0.0
1787728962.072,20,14.5,70539,11.4607,1.52,0.0
1787728962.086,21,14.5,70618,11.4278,1.52,0.0
1787728962.101,22,14.5,70737,11.4418,1.52,0.0
1787728962.116,23,14.5,70814,11.3792,1.52,0.0
1787728962.130,24,14.5,70845,11.3967,1.52,0.0
1787728962.145,25,14.5,70560,11.3677,1.52,0.0
1787728962.159,26,14.5,70635,11.2715,1.52,0.0
1787728962.174,27,14.5,70721,11.2977,1.52,0.0
1787728962.189,28,14.5,70728,11.3135,1.52,0.0
1787728962.203,29,14.5,70649,11.2500,1.52,0.0
1787728962.218,30,14.5,70675,11.2403,1.52,0.0
1787728962.232,31,14.5,70741,11.1755,1.52,0.0
1787728962.247,32,14.5,70707,11.1660,1.52,0.0
1787728962.261,33,14.5,70725,11.1832,1.52,0.0
1787728962.276,34,14.5,70683,11.1991,1.52,0.0
1787728962.291,35,14.5,70686,11.1459,1.52,0.0
1787728962.305,36,14.5,70673,11.0949,1.52,0.0
1787728962.320,37,14.5,70643,11.1617,1.52,0.0
1787728962.334,38,14.5,70719,11.1589,1.52,0.0
1787728962.349,39,14.5,70556,11.0982,1.52,0.0
1787728962.364,40,14.5,70640,11.1360,1.52,0.0
1787728962.378,41,14.5,70650,11.1466,1.52,0.0
1787728962.393,42,14.5,70636,11.1111,1.52,0.0
1787728962.407,43,14.5,70565,11.1013,1.52,0.0
1787728962.422,44,14.5,70732,11.1278,1.52,0.0
1787728962.437,45,14.5,70627,11.1177,1.52,0.0
1787728963.028,46,591.4,1732,11.0867,1.52,580.7
1787728963.044,47,15.7,65410,11.0583,1.52,0.0
1787728963.059,48,15.1,67971,11.0658,1.52,0.0
1787728963.075,49,15.1,67964,11.0461,1.52,0.0
1787728963.090,50,15.0,68371,11.0568,1.52,0.0
1787728963.106,51,15.6,65607,11.1013,1.52,0.0
1787728963.122,52,15.9,64479,11.0809,1.52,0.0
1787728963.138,53,15.7,65113,11.0596,1.52,0.0
1787728963.153,54,15.6,65447,11.0388,1.52,0.0
1787728963.169,55,15.4,66500,11.0662,1.52,0.0
1787728963.184,56,14.8,69214,11.0476,1.52,0.0
1787728963.199,57,15.0,68494,11.0484,1.52,0.0
1787728963.214,58,15.0,68406,11.0686,1.52,0.0
1787728963.229,59,15.0,68264,11.0211,1.52,0.0
1787728963.245,60,15.3,66924,11.0162,1.52,0.0
1787728963.260,61,15.1,67733,11.0453,1.52,0.0
1787728963.276,62,15.8,64631,11.0118,1.52,0.0
1787728963.292,63,15.7,65138,11.0327,1.52,0.0
1787728963.308,64,15.8,64841,11.0564,1.52,0.0
1787728963.324,65,15.7,65423,11.0031,1.52,0.0
1787728963.341,66,16.1,63493,11.0279,1.52,0.0
1787728964.501,67,1159.9,883,11.0113,1.52,1144.0
1787728964.840,68,338.3,3027,11.0192,1.52,312.4
1787728964.892,69,51.5,19890,11.0019,1.52,1.8
1787728964.931,70,39.0,26290,10.9904,1.52,0.8
1787728964.946,71,14.9,68702,11.0359,1.52,0.0
1787728964.961,72,14.6,70340,10.9846,1.52,0.0
1787728964.975,73,14.5,70574,10.9560,1.52,0.0
1787728964.990,74,14.5,70564,10.9980,1.52,0.0
1787728965.004,75,14.5,70513,10.9872,1.52,0.0
1787728965.019,76,14.5,70713,11.0157,1.52,0.0
1787728965.034,77,14.5,70625,10.9837,1.52,0.0
1787728965.049,78,14.9,68789,10.9945,1.52,0.0
1787728965.063,79,14.5,70819,11.0021,1.52,0.0
1787728965.078,80,14.5,70503,10.9866,1.52,0.0
1787728965.093,81,14.5,70532,11.0028,1.52,0.0
1787728965.107,82,14.5,70690,11.0211,1.52,0.0
1787728965.122,83,14.5,70642,10.9757,1.52,0.0
1787728965.137,84,14.9,68554,11.0236,1.52,0.0
1787728965.151,85,14.5,70630,11.0123,1.52,0.0
1787728965.166,86,14.5,70535,10.9849,1.52,0.0
1787728965.181,87,14.5,70725,10.9909,1.52,0.0
1787728965.195,88,14.5,70767,10.9652,1.52,0.0
1787728965.210,89,14.5,70646,11.0045,1.52,0.0
1787728965.225,90,14.7,69696,10.9914,1.52,0.0
1787728965.239,91,14.5,70678,10.9726,1.52,0.0
1787728965.254,92,14.5,70782,10.9977,1.52,0.0
1787728965.268,93,14.5,70633,10.9851,1.52,0.0
1787728965.283,94,14.5,70545,10.9576,1.52,0.0
1787728965.298,95,14.5,70457,11.0140,1.52,0.0
1787728965.312,96,14.5,70670,10.9757,1.52,0.0
1787728965.327,97,14.5,70675,10.9979,1.52,0.0
1787728965.341,98,14.5,70646,11.0000,1.52,0.0
1787728965.356,99,14.5,70713,10.9935,1.52,0.0
1787728965.371,100,14.5,70591,11.0156,1.52,0.0
