ts,step,dt_ms,tok_per_s,loss,peak_gib,gated_ms
1787731318.321,1,772.8,1325,12.2742,1.50,0.0
1787731318.341,2,19.3,53042,12.3265,1.52,0.0
1787731318.359,3,18.2,56382,12.1404,1.52,0.0
1787731318.377,4,17.9,57322,12.1284,1.52,0.0
1787731318.395,5,18.0,56804,12.0235,1.52,0.0
1787731318.413,6,17.8,57630,12.1020,1.52,0.0
1787731318.431,7,18.0,56861,12.0232,1.52,0.0
1787731318.449,8,17.3,59199,11.9962,1.52,0.0
1787731318.466,9,17.6,58191,11.8844,1.52,0.0
1787731318.484,10,17.8,57595,11.8014,1.52,0.0
1787731318.502,11,17.7,57772,11.8579,1.52,0.0
1787731318.520,12,18.0,56799,11.7482,1.52,0.0
1787731318.538,13,17.9,57050,11.7012,1.52,0.0
1787731318.556,14,17.8,57569,11.7030,1.52,0.0
1787731318.574,15,17.9,57057,11.5982,1.52,0.0
1787731318.592,16,17.8,57491,11.5524,1.52,0.0
1787731318.610,17,18.0,56978,11.5808,1.52,0.0
1787731318.628,18,17.8,57556,11.5282,1.52,0.0
1787731318.646,19,18.0,56908,11.4766,1.52,0.0
1787731318.664,20,17.8,57490,11.4567,1.52,0.0
1787731318.682,21,18.0,56950,11.4271,1.52,0.0
1787731318.700,22,17.8,57473,11.4381,1.52,0.0
1787731318.718,23,17.9,57207,11.3752,1.52,0.0
1787731318.736,24,17.8,57505,11.4026,1.52,0.0
1787731318.754,25,18.0,56929,11.3575,1.52,0.0
1787731318.772,26,17.4,58937,11.2801,1.52,0.0
1787731318.790,27,18.2,56288,11.2932,1.52,0.0
1787731318.808,28,17.8,57393,11.3073,1.52,0.0
1787731318.826,29,18.3,55843,11.2463,1.52,0.0
1787731318.844,30,17.8,57555,11.2460,1.52,0.0
1787731318.862,31,17.8,57653,11.1647,1.52,0.0
1787731318.881,32,19.0,53943,11.1603,1.52,0.0
1787731319.480,33,598.8,1710,11.1716,1.52,0.0
1787731319.502,34,21.1,48482,11.1997,1.52,0.0
1787731319.523,35,20.8,49277,11.1401,1.52,0.0
1787731319.543,36,20.4,50123,11.0994,1.52,0.0
1787731319.564,37,20.7,49563,11.1605,1.52,0.0
1787731319.585,38,20.3,50524,11.1551,1.52,0.0
1787731319.605,39,20.7,49545,11.1052,1.52,0.0
1787731319.626,40,20.2,50595,11.1234,1.52,0.0
1787731319.647,41,20.4,50230,11.1365,1.52,0.0
1787731319.667,42,19.8,51755,11.1156,1.52,0.0
1787731319.688,43,20.7,49378,11.0991,1.52,0.0
1787731319.709,44,20.8,49268,11.1219,1.52,0.0
1787731319.730,45,21.1,48632,11.1347,1.52,0.0
1787731319.751,46,20.7,49441,11.0922,1.52,0.0
1787731321.233,47,1482.2,691,11.0523,1.52,0.0
1787731321.289,48,55.3,18503,11.0598,1.52,0.0
1787731321.337,49,48.3,21179,11.0353,1.52,0.0
1787731321.359,50,22.0,46600,11.0609,1.52,0.0
1787731322.785,51,1425.3,718,11.0999,1.52,0.0
1787731322.831,52,46.2,22155,11.0817,1.52,0.0
1787731322.871,53,39.9,25669,11.0571,1.52,0.0
1787731322.911,54,39.6,25866,11.0410,1.52,0.0
1787731322.930,55,19.1,53570,11.0721,1.52,0.0
1787731322.948,56,17.5,58437,11.0505,1.52,0.0
1787731322.966,57,18.4,55626,11.0406,1.52,0.0
1787731322.984,58,17.8,57469,11.0637,1.52,0.0
1787731323.002,59,17.9,57283,11.0257,1.52,0.0
1787731323.020,60,17.8,57519,11.0104,1.52,0.0
1787731323.038,61,18.0,56936,11.0374,1.52,0.0
1787731323.056,62,17.8,57586,11.0009,1.52,0.0
1787731323.074,63,17.9,57097,11.0332,1.52,0.0
1787731323.092,64,17.8,57550,11.0650,1.52,0.0
1787731323.110,65,17.9,57127,10.9925,1.52,0.0
1787731323.128,66,17.8,57637,11.0338,1.52,0.0
1787731323.146,67,17.9,57154,11.0065,1.52,0.0
1787731323.164,68,17.8,57644,11.0260,1.52,0.0
1787731323.182,69,18.0,56905,11.0022,1.52,0.0
1787731323.200,70,17.9,57318,10.9854,1.52,0.0
