ts,step,dt_ms,tok_per_s,loss,peak_gib
1787726391.518,1,200.5,5108,12.2768,1.50
1787726391.574,2,55.3,18507,12.3271,1.52
1787726391.629,3,55.2,18536,12.1884,1.52
1787726391.693,4,62.7,16331,12.2751,1.52
1787726391.838,5,144.8,7072,12.0775,1.52
1787726391.954,6,116.3,8806,12.1735,1.52
1787726392.062,7,106.9,9576,11.9552,1.52
1787726392.210,8,148.6,6890,12.0561,1.52
1787726392.318,9,107.6,9519,11.8977,1.52
1787726392.388,10,69.8,14663,11.8112,1.52
1787726392.444,11,55.8,18343,11.8379,1.52
1787726392.500,12,55.7,18389,11.6765,1.52
1787726392.556,13,55.6,18403,11.6745,1.52
1787726392.612,14,55.7,18401,11.7275,1.52
1787726392.668,15,55.7,18394,11.5672,1.52
1787726392.723,16,55.7,18391,11.5134,1.52
1787726392.779,17,55.7,18400,11.5846,1.52
1787726392.835,18,55.6,18406,11.5117,1.52
1787726392.891,19,55.6,18416,11.5378,1.52
1787726392.946,20,55.7,18392,11.4207,1.52
1787726393.002,21,55.7,18384,11.4435,1.52
1787726393.058,22,55.7,18393,11.4425,1.52
1787726393.114,23,55.7,18387,11.3803,1.52
1787726393.170,24,55.6,18409,11.3530,1.52
1787726393.225,25,55.7,18392,11.3758,1.52
1787726393.281,26,55.6,18405,11.2825,1.52
1787726393.337,27,55.7,18380,11.2821,1.52
1787726393.393,28,55.6,18402,11.2776,1.52
1787726393.448,29,55.6,18418,11.2473,1.52
1787726393.504,30,55.6,18410,11.2352,1.52
1787726393.560,31,55.7,18388,11.2062,1.52
1787726393.616,32,55.7,18386,11.1683,1.52
1787726393.672,33,55.6,18433,11.1884,1.52
1787726393.728,34,55.5,18460,11.1835,1.52
1787726393.783,35,55.3,18503,11.1693,1.52
1787726393.839,36,55.4,18480,11.1022,1.52
1787726393.894,37,55.3,18515,11.1798,1.52
1787726393.950,38,55.1,18589,11.1373,1.52
1787726394.005,39,55.1,18576,11.1014,1.52
1787726394.060,40,55.1,18586,11.1343,1.52
1787726394.115,41,55.1,18593,11.1289,1.52
1787726394.171,42,55.2,18562,11.0992,1.52
1787726394.226,43,55.1,18588,11.0966,1.52
1787726394.281,44,55.1,18578,11.1114,1.52
1787726394.336,45,55.2,18555,11.1226,1.52
1787726394.392,46,55.1,18591,11.0662,1.52
1787726394.447,47,55.1,18575,11.0437,1.52
1787726394.502,48,55.1,18586,11.0550,1.52
1787726394.557,49,55.1,18584,11.0535,1.52
1787726394.613,50,55.1,18586,11.0561,1.52
1787726394.668,51,55.1,18589,11.0929,1.52
1787726394.723,52,55.2,18563,11.0630,1.52
1787726394.778,53,55.1,18582,11.0459,1.52
1787726394.834,54,55.1,18573,11.0547,1.52
1787726394.889,55,55.1,18580,11.0334,1.52
1787726394.945,56,55.4,18469,11.0617,1.52
1787726395.001,57,55.5,18466,11.0332,1.52
1787726395.057,58,55.8,18357,11.0708,1.52
1787726395.115,59,57.4,17828,11.0107,1.52
1787726395.175,60,59.0,17350,11.0186,1.52
1787726395.234,61,58.7,17440,11.0688,1.52
1787726395.328,62,94.2,10867,11.0104,1.52
1787726395.396,63,67.1,15255,11.0314,1.52
1787726395.452,64,56.1,18265,11.0355,1.52
