ts,step,dt_ms,tok_per_s,loss,peak_gib
1787726013.487,1,201.3,5086,12.2768,1.50
1787726013.543,2,55.4,18482,12.3298,1.52
1787726013.599,3,55.2,18554,12.1798,1.52
1787726013.654,4,55.2,18552,12.2715,1.52
1787726013.709,5,55.2,18565,12.0781,1.52
1787726013.765,6,55.3,18518,12.1683,1.52
1787726013.820,7,55.2,18566,11.9728,1.52
1787726013.875,8,55.2,18566,12.0569,1.52
1787726013.931,9,55.2,18563,11.9001,1.52
1787726013.986,10,55.2,18553,11.8065,1.52
1787726014.041,11,55.1,18570,11.8363,1.52
1787726014.096,12,55.1,18576,11.6755,1.52
1787726014.152,13,55.1,18578,11.6758,1.52
1787726014.207,14,55.2,18564,11.7184,1.52
1787726014.262,15,55.2,18550,11.5772,1.52
1787726014.317,16,55.1,18569,11.5085,1.52
1787726014.373,17,55.1,18570,11.5702,1.52
1787726014.428,18,55.1,18571,11.5184,1.52
1787726014.483,19,55.2,18563,11.5320,1.52
1787726014.539,20,55.2,18566,11.4217,1.52
1787726014.594,21,55.2,18558,11.4345,1.52
1787726014.649,22,55.2,18553,11.4510,1.52
1787726014.704,23,55.1,18570,11.3851,1.52
1787726014.760,24,55.1,18573,11.3591,1.52
1787726014.815,25,55.1,18580,11.3705,1.52
1787726014.870,26,55.1,18598,11.2867,1.52
1787726014.925,27,55.1,18579,11.2912,1.52
1787726014.981,28,55.2,18552,11.2807,1.52
1787726015.036,29,55.1,18568,11.2458,1.52
1787726015.091,30,55.1,18579,11.2317,1.52
1787726015.146,31,55.1,18573,11.2044,1.52
1787726015.202,32,55.2,18561,11.1588,1.52
1787726015.257,33,55.2,18562,11.1963,1.52
1787726015.312,34,55.1,18571,11.1993,1.52
1787726015.368,35,55.1,18575,11.1680,1.52
1787726015.423,36,55.3,18531,11.1032,1.52
1787726015.478,37,55.1,18576,11.1734,1.52
1787726015.533,38,55.1,18588,11.1460,1.52
1787726015.589,39,55.1,18575,11.0988,1.52
1787726015.644,40,55.2,18563,11.1375,1.52
1787726015.699,41,55.2,18560,11.1410,1.52
1787726015.754,42,55.1,18576,11.0912,1.52
1787726015.810,43,55.1,18588,11.0956,1.52
1787726015.865,44,55.1,18576,11.1039,1.52
1787726015.920,45,55.1,18574,11.1274,1.52
1787726015.975,46,55.2,18563,11.0537,1.52
1787726016.031,47,55.2,18566,11.0405,1.52
1787726016.086,48,55.1,18581,11.0649,1.52
1787726016.141,49,55.1,18586,11.0515,1.52
1787726016.196,50,55.2,18567,11.0506,1.52
1787726016.252,51,55.1,18568,11.1044,1.52
1787726016.307,52,55.1,18581,11.0621,1.52
1787726016.362,53,55.1,18574,11.0541,1.52
1787726016.417,54,55.1,18580,11.0489,1.52
1787726016.473,55,55.2,18558,11.0308,1.52
1787726016.528,56,55.1,18570,11.0586,1.52
1787726016.583,57,55.2,18565,11.0383,1.52
1787726016.639,58,55.2,18564,11.0741,1.52
1787726016.694,59,55.1,18587,11.0175,1.52
1787726016.749,60,55.1,18575,11.0286,1.52
