ts,step,dt_ms,tok_per_s,loss,peak_gib
1787725487.154,1,204.3,5013,12.2742,1.50
1787725487.169,2,14.2,72139,12.3215,1.52
1787725487.183,3,13.5,75859,12.1391,1.52
1787725487.196,4,13.5,75753,12.1338,1.52
1787725487.210,5,13.5,75880,12.0285,1.52
1787725487.223,6,13.5,75782,12.0980,1.52
1787725487.237,7,13.5,75927,12.0263,1.52
1787725487.251,8,13.5,75865,12.0011,1.52
1787725487.264,9,13.5,75857,11.8929,1.52
1787725487.278,10,13.5,75877,11.7838,1.52
1787725487.291,11,13.5,75950,11.8534,1.52
1787725487.305,12,13.5,75902,11.7452,1.52
1787725487.319,13,13.5,75857,11.6998,1.52
1787725487.332,14,13.5,75880,11.6944,1.52
1787725487.346,15,13.5,76012,11.6052,1.52
1787725487.359,16,13.5,75946,11.5529,1.52
1787725487.373,17,13.5,75738,11.5807,1.52
1787725487.387,18,13.5,75749,11.5290,1.52
1787725487.400,19,13.5,75955,11.4728,1.52
1787725487.414,20,13.5,75690,11.4516,1.52
1787725487.428,21,13.5,75815,11.4307,1.52
1787725487.441,22,13.5,75853,11.4363,1.52
1787725487.455,23,13.5,75894,11.3762,1.52
1787725487.468,24,13.5,75903,11.3936,1.52
1787725487.482,25,13.5,75798,11.3645,1.52
1787725487.496,26,13.5,76014,11.2846,1.52
1787725487.509,27,13.5,75890,11.2888,1.52
1787725487.523,28,13.5,75904,11.3077,1.52
1787725487.536,29,13.5,75880,11.2474,1.52
1787725487.550,30,13.5,75808,11.2414,1.52
1787725487.564,31,13.5,75793,11.1809,1.52
1787725487.577,32,13.5,75923,11.1602,1.52
1787725487.591,33,13.5,75871,11.1700,1.52
1787725487.604,34,13.5,75950,11.1948,1.52
1787725487.618,35,13.5,75904,11.1358,1.52
1787725487.632,36,13.5,75978,11.1057,1.52
1787725487.645,37,13.5,75947,11.1630,1.52
1787725487.659,38,13.5,75848,11.1594,1.52
1787725487.672,39,13.5,75978,11.1027,1.52
1787725487.686,40,13.5,75709,11.1273,1.52
1787725487.700,41,13.5,75721,11.1421,1.52
1787725487.713,42,13.5,75943,11.1056,1.52
1787725487.727,43,13.5,75789,11.0909,1.52
1787725487.740,44,13.5,75967,11.1229,1.52
1787725487.754,45,13.5,75837,11.1264,1.52
1787725487.768,46,13.5,75784,11.0959,1.52
1787725487.781,47,13.5,75967,11.0555,1.52
1787725487.795,48,13.5,75860,11.0612,1.52
1787725487.809,49,13.6,75499,11.0362,1.52
1787725487.822,50,13.5,75990,11.0623,1.52
1787725487.836,51,13.5,75732,11.1056,1.52
1787725487.849,52,13.5,76060,11.0785,1.52
1787725487.863,53,13.5,75825,11.0544,1.52
1787725487.877,54,13.5,75809,11.0391,1.52
1787725487.890,55,13.5,75810,11.0679,1.52
1787725487.904,56,13.5,75895,11.0524,1.52
1787725487.917,57,13.5,76033,11.0514,1.52
1787725487.931,58,13.5,75837,11.0669,1.52
1787725487.945,59,13.5,75887,11.0292,1.52
1787725487.958,60,13.5,75978,11.0133,1.52
