name,ok,hung,hung_phase,skew,arm,budget_gib,util,gpu_kv_gib,gpu_kv_tokens,gpu_kv_frac_of_ws,sessions_resident,ttft_p50_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,ttft_mean_ms,itl_p50_ms,e2e_p50_ms,output_tok_per_s,req_per_s,duration_s,n_ok,n_failed,gpu_hit_rate,dram_hit_rate,prefix_queries,prefix_hits,external_queries,external_hits,preemptions,kv_load_gib,kv_load_gib_derived,kv_load_gbps_derived,kv_store_gib,kv_load_s,kv_store_s,kv_load_gbps,kv_store_gbps,gpu_mem_used_gib
zipf_b30_offload_lmcache,True,False,,zipf,offload,30.0,0.9568,13.768,112784,0.5737,18.36,56.28,207.33,216.5,341.06,97.3,13.59,1910.64,254.76,1.99,150.73,300,0,0.751,0.2286,1881600.0,1413088.0,1881600.0,430112.0,0.0,0.0,52.504,0.374,0.0,0,0,,,31.232
zipf_b28_offload_lmcache,True,False,,zipf,offload,28.0,0.893,11.768,96400,0.4903,15.69,57.24,195.59,204.43,312.99,97.78,13.57,1904.73,254.74,1.99,150.74,300,0,0.7291,0.2505,1881600.0,1371888.0,1881600.0,471312.0,0.0,0.0,57.533,0.41,0.0,0,0,,,29.232
zipf_b26_offload_lmcache,True,False,,zipf,offload,26.0,0.8293,9.77,80032,0.4071,13.03,58.35,199.94,232.47,337.58,107.04,13.64,1959.46,254.75,1.99,150.74,300,0,0.687,0.2926,1881600.0,1292656.0,1881600.0,550544.0,0.0,0.0,67.205,0.479,0.0,0,0,,,27.232
zipf_b24_offload_lmcache,True,False,,zipf,offload,24.0,0.7655,7.77,63648,0.3237,10.36,64.39,225.51,337.04,359.12,128.32,13.72,2042.32,254.75,1.99,150.74,300,0,0.6262,0.3534,1881600.0,1178192.0,1881600.0,665008.0,0.0,0.0,81.178,0.578,0.0,0,0,,,25.232
zipf_b22_offload_lmcache,True,False,,zipf,offload,22.0,0.7017,5.77,47264,0.2404,7.69,108.27,320.91,360.52,584.46,152.28,13.84,2150.01,254.52,1.988,150.87,300,0,0.4876,0.4286,2126208.0,1036720.0,1881600.0,806480.0,0.0,0.0,98.447,0.701,0.0,0,0,,,23.232
zipf_b20_offload_lmcache,True,False,,zipf,offload,20.0,0.6379,3.77,30880,0.1571,5.03,250.29,1484.4,1714.51,2239.8,565.78,13.72,2286.6,254.15,1.986,151.07,300,0,0.1076,0.5284,21795200.0,2346080.0,1881600.0,994272.0,0.0,0.0,121.371,0.863,0.0,0,0,,,21.232
zipf_b19_offload_lmcache,True,False,,zipf,offload,19.0,0.606,2.768,22672,0.1153,3.69,4803.77,10661.1,11792.25,13665.67,5404.86,12.42,6420.14,236.65,1.849,162.26,300,0,0.0445,0.6101,62042624.0,2759584.0,1881600.0,1147888.0,0.0,0.0,140.123,0.927,0.0,0,0,,,20.232
zipf_b18_offload_lmcache,True,False,,zipf,offload,18.0,0.5741,1.768,14480,0.0737,2.36,31186.0,62994.58,69638.96,72775.11,32695.72,11.97,32745.86,172.39,1.347,222.75,300,0,0.0331,0.7103,98940800.0,3273728.0,1881600.0,1336576.0,0.0,0.0,163.156,0.786,0.0,0,0,,,19.232
uniform_b30_offload_lmcache,True,False,,uniform,offload,30.0,0.9568,13.768,112784,0.5737,18.36,125.73,233.9,320.77,341.96,137.09,14.19,2158.33,254.49,1.988,150.89,300,0,0.5564,0.4232,1881600.0,1046960.0,1881600.0,796240.0,0.0,0.0,97.197,0.692,0.0,0,0,,,31.232
uniform_b28_offload_lmcache,True,False,,uniform,offload,28.0,0.893,11.768,96400,0.4903,15.69,184.2,323.45,342.18,447.71,158.86,14.22,2256.0,254.48,1.988,150.89,300,0,0.4679,0.5117,1881600.0,880336.0,1881600.0,962864.0,0.0,0.0,117.537,0.836,0.0,0,0,,,29.232
