name,ok,hung,hung_phase,skew,arm,budget_gib,util,gpu_kv_gib,gpu_kv_tokens,gpu_kv_frac_of_ws,sessions_resident,ttft_p50_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,ttft_mean_ms,itl_p50_ms,e2e_p50_ms,output_tok_per_s,req_per_s,duration_s,n_ok,n_failed,gpu_hit_rate,dram_hit_rate,prefix_queries,prefix_hits,external_queries,external_hits,preemptions,kv_load_gib,kv_store_gib,kv_load_s,kv_store_s,kv_load_gbps,kv_store_gbps,gpu_mem_used_gib
zipf_b30_offload,True,False,,zipf,offload,30.0,0.9568,13.768,112784,0.5737,18.36,54.49,142.52,304.79,578.37,92.06,12.84,1821.87,254.73,1.99,150.73,300,0,0.751,0.2008,1881600.0,1413024.0,1881600.0,377824.0,0.0,0.0,0.0,0,0,,,31.213
zipf_b30_nooffload,True,False,,zipf,nooffload,30.0,0.9568,13.768,112784,0.5737,18.36,61.46,700.97,924.58,1174.0,277.67,13.82,2376.1,254.75,1.99,150.74,300,0,0.7511,,1881600.0,1413216.0,0.0,0.0,0.0,0.0,0.0,0,0,,,31.195
zipf_b28_offload,True,False,,zipf,offload,28.0,0.893,11.768,96400,0.4903,15.69,55.33,144.35,301.63,580.24,93.83,13.19,1829.88,254.76,1.99,150.73,300,0,0.7291,0.2227,1881600.0,1371888.0,1881600.0,418960.0,0.0,0.0,0.0,0,0,,,29.213
zipf_b28_nooffload,True,False,,zipf,nooffload,28.0,0.893,11.768,96400,0.4903,15.69,66.24,732.9,958.82,1174.98,302.87,13.94,2404.56,254.75,1.99,150.73,300,0,0.7293,,1881600.0,1372192.0,0.0,0.0,0.0,0.0,0.0,0,0,,,29.195
zipf_b26_offload,True,False,,zipf,offload,26.0,0.8293,9.77,80032,0.4071,13.03,56.66,148.87,303.31,581.83,98.69,13.23,1833.08,254.76,1.99,150.73,300,0,0.686,0.2658,1881600.0,1290784.0,1881600.0,500064.0,0.0,0.0,0.0,0,0,,,27.221
zipf_b26_nooffload,True,False,,zipf,nooffload,26.0,0.8293,9.77,80032,0.4071,13.03,90.84,922.31,1069.83,1298.79,358.13,14.1,2738.28,254.76,1.99,150.73,300,0,0.6874,,1881600.0,1293344.0,0.0,0.0,0.0,0.0,0.0,0,0,,,27.201
zipf_b24_offload,True,False,,zipf,offload,24.0,0.7655,7.77,63648,0.3237,10.36,58.65,154.4,314.73,594.33,105.58,13.29,1850.44,254.73,1.99,150.73,300,0,0.6289,0.3229,1881600.0,1183360.0,1881600.0,607488.0,0.0,0.0,0.0,0,0,,,25.221
zipf_b24_nooffload,True,False,,zipf,nooffload,24.0,0.7655,7.77,63648,0.3237,10.36,437.08,1027.47,1171.73,1391.06,449.33,14.29,3229.92,254.73,1.99,150.75,300,0,0.6263,,1881600.0,1178432.0,0.0,0.0,7.0,0.0,0.0,0,0,,,25.195
zipf_b22_offload,True,False,,zipf,offload,22.0,0.7017,5.77,47264,0.2404,7.69,72.83,161.44,332.21,611.4,115.69,13.33,1874.51,254.62,1.989,150.8,300,0,0.5493,0.402,1887872.0,1036976.0,1881600.0,756496.0,0.0,0.0,0.0,0,0,,,23.215
zipf_b22_nooffload,True,False,,zipf,nooffload,22.0,0.7017,5.77,47264,0.2404,7.69,665.9,1991.08,2214.13,2708.94,815.21,14.99,4147.02,253.63,1.981,151.4,300,0,0.3604,,3537408.0,1274752.0,0.0,0.0,20.0,0.0,0.0,0,0,,,23.195
zipf_b20_offload,True,False,,zipf,offload,20.0,0.6379,3.77,30880,0.1571,5.03,134.98,1156.12,1528.33,2027.81,393.3,12.83,1975.34,254.59,1.989,150.81,300,0,0.0928,0.5097,16501632.0,1530608.0,1881600.0,959040.0,4.0,0.0,0.0,0,0,,,21.215
